Sequence	CB_Domain	Between_CB_and_CAT_Domains	CAT_Domain	Total_Length
umbilicaria.freyi.1_tyr2107	23	15	209	274
umbilicaria.freyi.3_tyr3881	23	15	209	274
usnea.hakonensis.1_tyr1059	53	13	278	649
pseudevernia.furfuracea.2_tyr1279	0	0	181	228
pseudevernia.furfuracea.3_tyr1486	0	0	181	228
pseudevernia.furfuracea.1_tyr3916	0	0	181	228
ochrolechia.trochophora.1_tyr784	53	15	242	617
umbilicaria.hispanica.1_tyr1614	53	29	243	638
umbilicaria.hispanica.2_tyr2278	53	29	243	638
umbilicaria.hispanica.3_tyr2280	53	29	243	638
trapelia.coarctata.2_tyr1443	53	29	243	422
trapelia.coarctata.1_tyr2449	53	29	243	631
baeomycetales.sp..4_tyr2128	52	29	195	407
bryoria.fremontii.1_tyr2985	0	0	178	225
pseudevernia.furfuracea.1_tyr327	0	0	167	214
imshaugia.aleurites.1_tyr2162	0	0	182	229
fuscopannaria.leucosticta.1_tyr817	52	14	243	610
biatora.pontica.1_tyr1294	0	0	227	230
protoblastenia.rupestris.1_tyr3083	3	20	243	570
brianaria.bauschiana.1_tyr3821	53	29	243	629
cladonia.squamosa.1_tyr159	26	29	239	600
cladonia.squamosa.4_tyr3051	26	29	239	588
ochrolechia.trochophora.1_tyr1000	72	29	241	397
nephroma.helveticum.1_tyr1188	91	15	228	417
imshaugia.aleurites.1_tyr304	43	15	185	534
imshaugia.aleurites.2_tyr1162	43	15	185	534
umbilicaria.crustulosa.2_tyr2371	0	14	218	264
letrouitia.transgressa.2_tyr37	22	15	203	246
letrouitia.transgressa.1_tyr741	68	29	241	357
letrouitia.transgressa.1_tyr1835	68	29	242	641
letrouitia.subvulpina.1_tyr2785	68	29	243	651
letrouitia.transgressa.2_tyr670	68	21	178	286
letrouitia.sp..1_tyr120	68	29	243	629
phaeophyscia.rubropulchra.1_tyr537	33	24	230	294
lecanora.subimmergens.1_tyr531	0	13	243	555
lecanoromycetes.sp..5_tyr2729	0	13	243	555
xanthoria.aureola.1_tyr4090	53	30	243	333
umbilicaria.crustulosa.2_tyr1223	53	30	243	629
umbilicaria.crustulosa.1_tyr2611	53	30	243	629
stereocaulon.dactylophyllum.1_tyr2574	53	30	243	629
lecanora.strobilina.1_tyr1096	59	30	243	635
mycoblastus.sanguinarius.1_tyr1766	53	32	243	631
mycoblastus.sanguinarius.2_tyr3880	53	32	243	631
bacidia.gigantensis.1_tyr1202	53	30	243	629
psora.crenata.1_tyr1714	31	18	203	338
sticta.canariensis.1_tyr4091	90	29	243	709
byssoloma.subdiscordans.1_tyr3807	63	29	243	639
lecanoromycetes.sp..5_tyr214	93	30	228	698
lecanora.subimmergens.1_tyr3127	93	30	228	698
bacidia.rubella.1_tyr2101	59	28	149	264
dimelaena.oreina.1_tyr4064	91	0	221	659
niebla.homalea.1_tyr2552	53	29	249	493
wetmoreana.sp..1_tyr2867	42	30	219	330
fulgogasparrea.decipioides.1_tyr2952	42	30	219	330
porpidia.albocaerulescens.1_tyr665	0	0	212	219
lecanorales.sp..1_tyr3277	15	29	235	532
micareopsis.irriguata.1_tyr82	8	47	187	249
cladonia.uncialis.4_tyr103	57	29	204	327
cladonia.sp..9_tyr1278	57	29	199	322
flavocetraria.cucullata.1_tyr3192	9	28	213	278
cornicularia.normoerica.2_tyr176	0	0	198	284
letrouitia.subvulpina.1_tyr3600	0	14	217	238
cladonia.rangiferina.3_tyr774	18	13	190	227
solorina.crocea.1_tyr4188	55	26	161	266
cladonia.uncialis.1_tyr1299	20	14	170	210
lecanoromycetes.sp..2_tyr232	53	29	209	297
coniocarpon.cinnabarinum.2_tyr3740	55	29	242	630
ramalina.petrina.1_tyr473	53	17	243	613
ramalina.siliquosa.1_tyr1191	53	15	243	610
brianaria.bauschiana.1_tyr2644	68	48	243	674
letrouitia.transgressa.1_tyr1836	0	0	186	392
dermiscellum.oulocheilum.1_tyr3730	47	28	243	613
lecidella.sp..1_tyr1433	55	19	235	316
chrysothrix.sp..1_tyr3844	55	47	258	649
coniocarpon.cinnabarinum.2_tyr169	0	14	238	557
talpin1_KAF3392106.1	45	0	213	292
staele1_490642	72	25	239	429
cadsp.2_KAG4439199.1	33	25	247	346
icmadophila.ericetorum.1_tyr4094	20	30	422	579
sclcep1_KAF7870603.1	43	16	202	286
micareopsis.irriguata.1_tyr1039	24	30	236	403
cladophialophora.endolichena.1_tyr8	80	51	259	746
cladophialophora.endolichena.1_tyr428	80	51	282	769
melanina.sp..2_tyr2115	34	23	243	374
lecanorales.sp..6_tyr1531	0	0	265	455
chrysothrix.sp..1_tyr2503	41	47	242	516
gyalolechia.ehrenbergii.1_tyr1689	0	0	236	462
umbilicaria.muhlenbergii.1_tyr3052	60	24	218	663
oidmai1_137687	70	20	156	333
penfla1_2705	74	28	248	456
delstr1_295949	49	27	250	369
coniocarpon.cinnabarinum.1_tyr1809	0	0	189	462
coniocarpon.cinnabarinum.2_tyr2144	0	0	189	229
chaetothyriales.sp..1_tyr955	0	6	276	588
muellerella.sp..1_tyr1325	0	6	253	565
muellerella.sp..1_tyr3262	0	6	253	565
muellerella.sp..1_tyr3721	0	6	253	565
melanina.sp..2_tyr3167	0	6	241	286
umbilicaria.crustulosa.2_tyr346	100	22	252	495
umbilicaria.spodochroa.4_tyr3310	100	22	252	495
umbilicaria.crustulosa.2_tyr1292	100	22	217	460
umbilicaria.spodochroa.4_tyr2481	100	22	222	465
umbilicaria.spodochroa.4_tyr3385	100	22	252	495
umbilicaria.crustulosa.2_tyr1590	106	22	252	501
umbilicaria.spodochroa.4_tyr2105	92	22	252	487
lasallia.pustulata.7_tyr643	106	21	252	500
lasallia.pustulata.5_tyr879	106	21	252	500
lasallia.pustulata.4_tyr1888	106	21	252	500
lasallia.pustulata.6_tyr936	106	21	252	500
lasallia.pustulata.3_tyr851	106	19	202	448
lasallia.pustulata.2_tyr2792	106	19	202	448
umbilicaria.freyi.3_tyr814	91	22	252	486
umbilicaria.freyi.2_tyr1120	91	22	252	486
umbilicaria.freyi.1_tyr3453	91	22	252	486
lasallia.papulosa.1_tyr3891	0	0	179	300
umbilicaria.crustulosa.1_tyr1089	100	22	207	450
lasallia.papulosa.1_tyr2817	106	22	209	458
umbilicaria.spodochroa.4_tyr3266	89	22	252	484
umbilicaria.subpolyphylla.1_tyr1032	96	22	252	402
umbilicaria.iberica.1_tyr3830	96	22	252	402
umbilicaria.iberica.2_tyr3833	96	22	252	402
umbilicaria.polyphylla.4_tyr2901	96	22	252	402
umbilicaria.crustulosa.1_tyr345	92	22	222	457
umbilicaria.crustulosa.1_tyr2456	103	22	214	379
umbilicaria.crustulosa.1_tyr344	88	22	202	341
umbilicaria.grisea.2_tyr3937	106	22	211	368
umbilicaria.crustulosa.1_tyr3817	100	0	204	327
umbilicaria.hispanica.4_tyr4171	104	22	222	403
umbilicaria.freyi.2_tyr2199	67	0	211	399
umbilicaria.freyi.2_tyr4106	67	0	211	399
umbilicaria.deusta.1_tyr311	37	14	202	355
umbilicaria.deusta.2_tyr1092	37	14	202	355
umbilicaria.deusta.4_tyr1342	37	14	202	355
umbilicaria.deusta.3_tyr2068	37	14	202	355
umbilicaria.subpolyphylla.1_tyr946	36	18	180	317
umbilicaria.iberica.2_tyr1863	36	18	180	317
umbilicaria.crustulosa.2_tyr1385	61	45	244	379
umbilicaria.hispanica.1_tyr1613	61	45	222	449
umbilicaria.hispanica.2_tyr2277	61	45	222	449
umbilicaria.hispanica.3_tyr2279	61	45	222	449
endocarpon.pusillum.2_tyr309	0	14	287	583
endocarpon.pusillum.1_tyr2645	0	14	262	429
endocarpon.pusillum.1_tyr746	0	14	232	651
umbilicaria.crustulosa.1_tyr1022	0	14	232	526
umbilicaria.crustulosa.2_tyr2734	0	14	232	526
leprocaulales.sp..1_tyr1393	0	14	232	526
umbilicaria.spodochroa.2_tyr2686	0	14	274	439
umbilicaria.deusta.4_tyr2123	0	0	238	341
rhizocarpon.subgeminatum.1_tyr3275	0	0	164	382
dimelaena.oreina.1_tyr2942	0	16	179	401
porpidia.contraponenda.1_tyr415	0	0	184	420
endocarpon.pusillum.1_tyr3654	0	0	158	436
coniocarpon.cinnabarinum.1_tyr1072	43	24	209	527
arthonia.radiata.1_tyr3040	0	12	252	541
solorina.crocea.1_tyr791	60	24	231	551
opegrapha.moroziana.1_tyr4059	41	27	254	458
phaeophyscia.squarrosa.1_tyr25	54	22	281	669
placynthium.petersii.1_tyr1421	55	20	245	629
placynthium.petersii.1_tyr3666	0	0	201	466
porpidia.macrocarpa.1_tyr3690	41	21	235	603
talisl1_2669	39	23	170	293
talver1_KUL81284.1	17	16	255	365
acarospora.sp..1_tyr552	75	27	297	804
lambiella.insularis.1_tyr2509	75	19	289	696
porpidia.macrocarpa.1_tyr3848	0	0	171	325
muellerella.sp..1_tyr1323	74	27	287	738
muellerella.sp..1_tyr1324	58	13	287	708
muellerella.sp..1_tyr1790	74	27	288	739
blader3_11177	0	15	251	309
evernia.prunastri.1_tyr476	75	26	266	721
evernia.prunastri.2_tyr1283	75	26	266	721
hypogymnia.vittata.1_tyr872	76	24	271	716
parmeliaceae.sp..22_tyr2624	76	24	271	716
bryoria.tenuis.1_tyr1811	75	25	271	680
evernia.prunastri.2_tyr926	57	25	267	662
evernia.prunastri.1_tyr3609	0	6	264	582
parbra1_6508	4	30	224	290
fusfus39_tyr5762	13	29	250	330
crydep1_ODN97795.1	70	16	244	407
xanthoria.aureola.1_tyr3071	100	21	302	795
XcGTX0491_008785-T1	100	14	261	721
baeomycetales.sp..2_tyr3980	46	37	291	611
fuscopannaria.leucosticta.1_tyr3928	15	18	295	566
icmadophila.ericetorum.1_tyr1831	98	27	202	389
icmadophila.ericetorum.2_tyr2179	98	27	203	390
lecidea.sp..1_tyr76	71	16	265	440
rutsp.2_PQE09269.1	69	3	186	329
acarospora.sp..1_tyr189	71	3	308	698
variospora.velana.1_tyr1530	71	3	289	660
icmadophila.ericetorum.1_tyr1705	0	0	280	286
hypocenomyce.scalaris.3_tyr680	0	0	356	604
solorina.crocea.1_tyr419	10	3	295	397
leprocaulales.sp..1_tyr2957	73	3	410	799
umbilicaria.spodochroa.1_tyr1538	53	4	318	583
umbilicaria.spodochroa.3_tyr3907	53	4	318	583
ptychographa.xylographoides.2_tyr773	44	3	167	429
ptychographa.xylographoides.1_tyr2152	44	3	167	429
umbilicaria.crustulosa.2_tyr13	70	3	310	701
pertusaria.obruta.1_tyr2294	0	0	302	477
porpidia.subsimplex.1_tyr2738	58	3	304	653
rhizocarpon.geographicum.1_tyr2823	58	3	309	658
lobaria.immixta.1_tyr2979	0	0	245	258
stictis.urceolata.2_tyr390	47	3	288	486
stictis.urceolata.1_tyr4160	47	3	293	616
xylographa.bjoerkii.1_tyr163	3	0	304	598
parmotrema.neotropicum.1_tyr221	60	3	315	633
pertusaria.epixantha.1_tyr913	60	3	237	451
rinodina.dolichospora.1_tyr2026	60	3	284	539
phlyctis.petraea.1_tyr3242	0	0	173	473
pertusaria.plittiana.1_tyr3953	0	0	247	554
ochrolechia.trochophora.1_tyr194	54	29	211	599
pertusaria.epixantha.1_tyr1834	54	28	222	605
pertusaria.propinqua.1_tyr3579	53	29	238	617
lepra.amara.1_tyr499	59	27	241	604
pertusariales.sp..1_tyr553	55	30	218	582
heterodermia.obscurata.1_tyr574	34	14	169	370
heterodermia.speciosa.2_tyr1845	60	29	253	634
physciaceae.sp..3_tyr908	53	29	241	607
mobergia.calculiformis.1_tyr1718	53	29	241	607
heterodermia.speciosa.3_tyr1655	60	29	149	330
heterodermia.speciosa.2_tyr2837	33	29	176	426
phaeophyscia.rubropulchra.1_tyr1929	52	24	239	594
phaeophyscia.hispidula.1_tyr3356	52	24	239	594
heterodermia.obscurata.1_tyr1364	2	0	158	391
tercla1_1272127	0	0	179	218
neopar1_6999	0	0	174	183
botryolepraria.lesdainii.1_tyr4168	74	28	294	625
punctelia.appalachensis.1_tyr2219	51	14	229	584
endocarpon.pusillum.2_tyr787	55	29	243	576
endocarpon.pusillum.2_tyr1873	73	29	278	709
botryolepraria.lesdainii.1_tyr1709	66	13	275	382
endocarpon.pusillum.2_tyr2473	56	15	217	505
endocarpon.pusillum.2_tyr3371	52	29	300	692
endocarpon.pusillum.2_tyr2477	61	29	280	395
endocarpon.pusillum.2_tyr2649	73	29	279	710
endocarpon.pusillum.2_tyr2775	91	22	277	612
endocarpon.pusillum.2_tyr2708	71	29	224	635
endocarpon.pusillum.1_tyr3655	61	0	221	302
umbilicaria.spodochroa.1_tyr1537	74	28	325	731
umbilicaria.grisea.2_tyr2583	74	28	325	731
umbilicaria.spodochroa.3_tyr3906	74	28	325	731
umbilicaria.grisea.3_tyr2972	74	24	325	727
umbilicaria.grisea.1_tyr3322	74	24	325	727
leprocaulon.nicholsiae.1_tyr3801	37	29	261	562
lecidea.sp..1_tyr236	0	14	207	485
buellia.spuria.2_tyr1802	0	14	254	323
buellia.spuria.1_tyr2629	0	0	190	361
nephroma.helveticum.1_tyr2338	10	9	249	449
peltigera.extenuata.1_tyr2566	0	0	184	207
solorina.crocea.1_tyr2911	0	0	246	380
sticta.sp..1_tyr2883	0	0	207	486
solorina.crocea.1_tyr3630	34	26	216	560
lizemp1_118025	70	30	244	411
elsfaw1_KAF4556065.1	19	27	249	331
elsamp1_256687	31	30	245	342
neopar1_tyr8483	51	26	235	357
mycosphaerellales.sp..1_tyr2340	0	5	240	624
elsbat1_KAG8628150.1	4	4	105	152
sclcep1_KAF7877687.1	31	23	195	284
monfru2_RAL60102.1	77	24	195	353
aspnig5_tyr2095	0	0	155	198
emmcre2_KKZ61741.1	56	30	234	403
aspfis5_tyr1170	65	13	157	312
psesp.22_KFZ20555.1	0	0	170	201
bipmay2_EMD97612.1	51	30	231	381
hyspul1_118805	0	0	212	255
orboli16_KAF3107618.1	47	30	227	363
morimp1_644698	45	30	219	334
arthonia.rubella.1_tyr714	3	8	253	557
zascel1_66988	54	26	248	388
mycosphaerellales.sp..1_tyr1726	0	0	125	250
teratosphaeriaceae.sp..1_tyr2413	37	28	240	627
phachl1_4316	72	30	239	412
cladophialophora.endolichena.1_tyr5	82	50	252	608
cladophialophora.endolichena.1_tyr7	97	29	238	592
cladophialophora.endolichena.1_tyr969	97	29	238	591
lambiella.insularis.1_tyr2208	97	50	239	614
cladophialophora.sp..2_tyr403	95	50	239	1006
cladophialophora.sp..1_tyr3153	64	14	183	356
lambiella.insularis.1_tyr2292	99	29	159	665
chaetothyriales.sp..1_tyr954	89	13	152	438
chaetothyriales.sp..1_tyr3637	97	29	224	891
umbilicaria.spodochroa.3_tyr1175	70	29	217	486
umbilicaria.spodochroa.1_tyr3402	70	29	217	486
umbilicaria.spodochroa.4_tyr2480	97	50	222	568
umbilicaria.grisea.2_tyr2582	97	50	222	568
umbilicaria.grisea.3_tyr2971	97	50	222	568
umbilicaria.grisea.1_tyr3321	97	50	222	568
muellerella.sp..1_tyr1791	96	50	224	616
cladophialophora.sp..2_tyr3780	19	30	238	480
