Name,Genome,contig,Start,End,Source,Note,familyID
buellia.spuria.2_tyr2143,buellia.spuria.2,buellia.spuria.2_4,69914,72187,Newly-annotated lichen genomes,,
cladonia.kurokawae.1_tyr218,cladonia.kurokawae.1,cladonia.kurokawae.1_111,147111,148864,Newly-annotated lichen genomes,,
lecanorales.sp..6_tyr3950,lecanorales.sp..6,lecanorales.sp..6_1226,235,1768,Newly-annotated lichen genomes,,
psora.testacea.1_tyr2544,psora.testacea.1,psora.testacea.1_338,7180,9182,Newly-annotated lichen genomes,,
psora.testacea.1_tyr1362,psora.testacea.1,psora.testacea.1_211,2481,4706,Newly-annotated lichen genomes,,
bulbothrix.scortella.1_tyr3897,bulbothrix.scortella.1,bulbothrix.scortella.1_751,6193,8270,Newly-annotated lichen genomes,,
mycoblastus.sanguinarius.2_tyr1893,mycoblastus.sanguinarius.2,mycoblastus.sanguinarius.2_180,12783,15523,Newly-annotated lichen genomes,,
melanelia.culbersonii.1_tyr1605,melanelia.culbersonii.1,melanelia.culbersonii.1_295,26093,27253,Newly-annotated lichen genomes,,
peltigera.leucophlebia.1_tyr2605,peltigera.leucophlebia.1,peltigera.leucophlebia.1_2359,1274,2251,Newly-annotated lichen genomes,,
umbilicaria.crustulosa.2_tyr2752,umbilicaria.crustulosa.2,umbilicaria.crustulosa.2_4,1642952,1644075,Newly-annotated lichen genomes,,
umbilicaria.polyphylla.1_tyr2011,umbilicaria.polyphylla.1,umbilicaria.polyphylla.1_14,443162,444149,Newly-annotated lichen genomes,,
umbilicaria.crustulosa.2_tyr1336,umbilicaria.crustulosa.2,umbilicaria.crustulosa.2_6,113198,114886,Newly-annotated lichen genomes,,
umbilicaria.crustulosa.2_tyr1381,umbilicaria.crustulosa.2,umbilicaria.crustulosa.2_1,427784,429505,Newly-annotated lichen genomes,,
umbilicaria.crustulosa.2_tyr2366,umbilicaria.crustulosa.2,umbilicaria.crustulosa.2_2,398661,400574,Newly-annotated lichen genomes,,
puttea.exsequens.2_tyr973,puttea.exsequens.2,puttea.exsequens.2_4,331770,333923,Newly-annotated lichen genomes,,
massalongia.carnosa.1_tyr3311,massalongia.carnosa.1,massalongia.carnosa.1_11,1168182,1169261,Newly-annotated lichen genomes,,
melanelia.culbersonii.1_tyr901,melanelia.culbersonii.1,melanelia.culbersonii.1_807,11280,13376,Newly-annotated lichen genomes,,
alectoria.sarmentosa.4_tyr2248,alectoria.sarmentosa.4,alectoria.sarmentosa.4_334,24167,26684,Newly-annotated lichen genomes,,
gyalecta.farlowii.1_tyr3918,gyalecta.farlowii.1,gyalecta.farlowii.1_648,3263,4791,Newly-annotated lichen genomes,,
puttea.exsequens.2_tyr972,puttea.exsequens.2,puttea.exsequens.2_4,454247,456271,Newly-annotated lichen genomes,,
biatora.appalachensis.1_tyr3378,biatora.appalachensis.1,biatora.appalachensis.1_880,130,816,Newly-annotated lichen genomes,,
gluame1_KAH0547751.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
puttea.exsequens.1_tyr3752,puttea.exsequens.1,puttea.exsequens.1_55,10847,13215,Newly-annotated lichen genomes,,
dirinaria.sp..2_tyr3979,dirinaria.sp..2,dirinaria.sp..2_4405,274,2793,Newly-annotated lichen genomes,,
squamulea.squamosa.1_tyr3214,squamulea.squamosa.1,squamulea.squamosa.1_29,133862,136470,Newly-annotated lichen genomes,,
xanthoria.mediterranea.1_tyr1163,xanthoria.mediterranea.1,xanthoria.mediterranea.1_131,39313,41617,Newly-annotated lichen genomes,,
XpGTX0501_010485-T1,,,,,Gluck-Thaler and Vogan (2024),,
OZ2100_008954-T1,,,,,Gluck-Thaler and Vogan (2024),,
thelotrema.lepadinum.1_tyr2472,thelotrema.lepadinum.1,thelotrema.lepadinum.1_57,905,3082,Newly-annotated lichen genomes,,
gomphillus.americanus.2_tyr1204,gomphillus.americanus.2,gomphillus.americanus.2_5,411169,412412,Newly-annotated lichen genomes,,
gomame1_CAF9912407.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
gomphillus.calycioides.1_tyr3850,gomphillus.calycioides.1,gomphillus.calycioides.1_345,12366,14687,Newly-annotated lichen genomes,,
gomame1_CAF9918205.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
agyrium.rufum.1_tyr1948,agyrium.rufum.1,agyrium.rufum.1_113,129501,131651,Newly-annotated lichen genomes,,
gomphillus.americanus.1_tyr3818,gomphillus.americanus.1,gomphillus.americanus.1_9,49315,51226,Newly-annotated lichen genomes,,
gomame1_CAF9914209.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
Galactica_Afla-Captain,,,,,Gluck-Thaler and Vogan (2024),,fam07
asppse8_286872,,,,,Gluck-Thaler and Vogan (2024),,fam07
asplep2_tyr1813,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspche2_tyr868,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspfum5_EAL87801.2,,,,,Gluck-Thaler and Vogan (2024),,fam07
Starship-1_Asoj-Captain,,,,,Gluck-Thaler and Vogan (2024),,fam07
asppse8_278758,,,,,Gluck-Thaler and Vogan (2024),,fam07
Starship-2_Pvar-Captain,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspacu4_tyr350,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspell2_tyr1081,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspcar1_tyr828,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspcla3_EAW09702.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspoli1_tyr2253,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspfum5_EAL87819.1_EAL87820.1_EAL87821.1,,,,,Gluck-Thaler and Vogan (2024),,n.d.
aspthe1_tyr2953,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspasp3_tyr578,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspche2_tyr882,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspqua1_tyr2559,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspaff1_tyr365,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspter10_tyr2883,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspust1_tyr3097,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspamo1_tyr433,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspnan1_KAF9890711.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspcri1_6849,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspcri5_tyr1036,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspgla1_OJJ85450.1_OJJ85451.1,,,,,Gluck-Thaler and Vogan (2024),,n.d.
aspmel1_tyr1930,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspscl5_tyr2626,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspara2_tyr467,,,,,Gluck-Thaler and Vogan (2024),,fam07
penant1_11477,,,,,Gluck-Thaler and Vogan (2024),,fam07
penrub1_CAP95304.1_CAP95306.1,,,,,Gluck-Thaler and Vogan (2024),,n.d.
penari1_5287,,,,,Gluck-Thaler and Vogan (2024),,fam07
penthy1_187711,,,,,Gluck-Thaler and Vogan (2024),,fam07
penbra1_9248,,,,,Gluck-Thaler and Vogan (2024),,fam07
penfre1_tyr8819,,,,,Gluck-Thaler and Vogan (2024),,fam07
pencam1_3517,,,,,Gluck-Thaler and Vogan (2024),,fam07
penrub2_KAF3027235.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
pensp.9_KAF4765341.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
paevar1_289487,,,,,Gluck-Thaler and Vogan (2024),,fam07
solorina.crocea.1_tyr2839,solorina.crocea.1,solorina.crocea.1_280,24858,27157,Newly-annotated lichen genomes,,
aspasp6_tyr598,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspasp6_tyr601,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspsyd4_tyr2794,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspver1_OJI99576.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspsyd4_tyr2807,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspscl4_tyr2611,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspthe1_tyr2959,,,,,Gluck-Thaler and Vogan (2024),,fam07
asphir2_tyr1515,,,,,Gluck-Thaler and Vogan (2024),,fam07
aspnan1_KAF9885275.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
paeniv1_tyr8569,,,,,Gluck-Thaler and Vogan (2024),,fam07
raseme1_KKA23990.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
pectenia.cyanoloma.1_tyr365,pectenia.cyanoloma.1,pectenia.cyanoloma.1_46,48518,50366,Newly-annotated lichen genomes,,
leptogium.corticola.1_tyr1821,leptogium.corticola.1,leptogium.corticola.1_392,7871,10283,Newly-annotated lichen genomes,,
endocarpon.pusillum.1_tyr2774,endocarpon.pusillum.1,endocarpon.pusillum.1_856,40703,45099,Newly-annotated lichen genomes,,
endpus1_8492,,,,,Gluck-Thaler and Vogan (2024),,fam07
phlyctis.petraea.1_tyr677,phlyctis.petraea.1,phlyctis.petraea.1_86,7590,9386,Newly-annotated lichen genomes,,
umbilicaria.crustulosa.3_tyr2056,umbilicaria.crustulosa.3,umbilicaria.crustulosa.3_2,1906709,1909451,Newly-annotated lichen genomes,,
umbilicaria.muhlenbergii.1_tyr4002,umbilicaria.muhlenbergii.1,umbilicaria.muhlenbergii.1_2,2643121,2646240,Newly-annotated lichen genomes,,
dimelaena.oreina.1_tyr4063,dimelaena.oreina.1,dimelaena.oreina.1_1155,753,4674,Newly-annotated lichen genomes,,
chasp.4_RMD40828.1,,,,,Gluck-Thaler and Vogan (2024),,clade02
chasp.7_RMZ90284.1,,,,,Gluck-Thaler and Vogan (2024),,clade02
teloschistes.exilis.3_tyr1430,teloschistes.exilis.3,teloschistes.exilis.3_1034,2441,3774,Newly-annotated lichen genomes,,
teloschistes.exilis.2_tyr3635,teloschistes.exilis.2,teloschistes.exilis.2_108,25505,26498,Newly-annotated lichen genomes,,
teloschistes.exilis.3_tyr2165,teloschistes.exilis.3,teloschistes.exilis.3_827,7588,9590,Newly-annotated lichen genomes,,
brigantiaea.leucoxantha.1_tyr3736,brigantiaea.leucoxantha.1,brigantiaea.leucoxantha.1_563,13347,15305,Newly-annotated lichen genomes,,
lecanora.subimmergens.1_tyr3208,lecanora.subimmergens.1,lecanora.subimmergens.1_4,13664,15636,Newly-annotated lichen genomes,,
parmelia.squarrosa.1_tyr1871,parmelia.squarrosa.1,parmelia.squarrosa.1_1078,77,2122,Newly-annotated lichen genomes,,
letharia.lupina.1_tyr2135,letharia.lupina.1,letharia.lupina.1_23,2293602,2294496,Newly-annotated lichen genomes,,
letharia.vulpina.1_tyr3504,letharia.vulpina.1,letharia.vulpina.1_38,112445,113715,Newly-annotated lichen genomes,,
stictis.urceolata.2_tyr2470,stictis.urceolata.2,stictis.urceolata.2_1739,569,1411,Newly-annotated lichen genomes,,
nadvornikia.sorediata.1_tyr544,nadvornikia.sorediata.1,nadvornikia.sorediata.1_2278,704,2515,Newly-annotated lichen genomes,,
grascr1_11513,,,,,Gluck-Thaler and Vogan (2024),,fam06
grascr1_5194_5195,,,,,Gluck-Thaler and Vogan (2024),,n.d.
stictis.urceolata.1_tyr685,stictis.urceolata.1,stictis.urceolata.1_513,31417,33191,Newly-annotated lichen genomes,,
gomphillus.calycioides.1_tyr2044,gomphillus.calycioides.1,gomphillus.calycioides.1_786,3757,5552,Newly-annotated lichen genomes,,
fissurina.insidiosa.1_tyr2126,fissurina.insidiosa.1,fissurina.insidiosa.1_371,10641,12445,Newly-annotated lichen genomes,,
aspasp11_tyr514,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspter10_tyr2888,,,,,Gluck-Thaler and Vogan (2024),,fam06
asplen8_tyr1775,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspgla1_OJJ81546.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspfum5_tyr1395,,,,,Gluck-Thaler and Vogan (2024),,fam06
asplat7_tyr1723,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspter10_tyr2885,,,,,Gluck-Thaler and Vogan (2024),,fam06
asplen8_tyr1773,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspoch5_tyr2231,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspnig5_tyr2095,,,,,Gluck-Thaler and Vogan (2024),,fam06
hiscap1_5928,,,,,Gluck-Thaler and Vogan (2024),,fam06
penbra1_3631,,,,,Gluck-Thaler and Vogan (2024),,fam06
penroq1_7137_7138,,,,,Gluck-Thaler and Vogan (2024),,n.d.
penthy1_174382,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspcor3_tyr920,,,,,Gluck-Thaler and Vogan (2024),,fam06
asppuu1_tyr2548,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspscl6_tyr2634,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspfis5_tyr1170,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspuda4_tyr3016,,,,,Gluck-Thaler and Vogan (2024),,fam06
asplat6_tyr1698,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspnid1_CBF75942.1_CBF75944.1_CBF75946.1,,,,,Gluck-Thaler and Vogan (2024),,n.d.
aspche2_tyr892,,,,,Gluck-Thaler and Vogan (2024),,fam06
emmcre2_KKZ61741.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.11_tyr9301,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.14_KFY20107.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.5_187,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.20_KFY66944.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.22_KFZ20555.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.5_1992,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.17_KFZ02619.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.3_1735,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.4_1827_1828,,,,,Gluck-Thaler and Vogan (2024),,n.d.
psesp.4_tyr9584,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.5_712,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.14_KFY31799.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
psesp.15_KFY57135.1_KFY57136.1,,,,,Gluck-Thaler and Vogan (2024),,n.d.
psesp.4_tyr9579,,,,,Gluck-Thaler and Vogan (2024),,fam06
phlyctis.speirea.1_tyr496,phlyctis.speirea.1,phlyctis.speirea.1_157,10607,12586,Newly-annotated lichen genomes,,
cyanodermella.asteris.1_tyr1868,cyanodermella.asteris.1,cyanodermella.asteris.1_28,416695,418706,Newly-annotated lichen genomes,,
sticta.canariensis.1_tyr72,sticta.canariensis.1,sticta.canariensis.1_2998,9207,11476,Newly-annotated lichen genomes,,
lepra.amara.1_tyr2731,lepra.amara.1,lepra.amara.1_1844,3521,5244,Newly-annotated lichen genomes,,
icmadophila.ericetorum.1_tyr613,icmadophila.ericetorum.1,icmadophila.ericetorum.1_724,1997,3974,Newly-annotated lichen genomes,,
lecanoromycetes.sp..3_tyr106,lecanoromycetes.sp..3,lecanoromycetes.sp..3_3150,810,2952,Newly-annotated lichen genomes,,
ramalina.farinacea.1_tyr4179,ramalina.farinacea.1,ramalina.farinacea.1_8,744403,746136,Newly-annotated lichen genomes,,
bulbothrix.scortella.1_tyr1496,bulbothrix.scortella.1,bulbothrix.scortella.1_317,9417,10756,Newly-annotated lichen genomes,,
parmotrema.hypotropum.1_tyr1608,parmotrema.hypotropum.1,parmotrema.hypotropum.1_1734,1202,2204,Newly-annotated lichen genomes,,
mycoblastus.sanguinarius.1_tyr806,mycoblastus.sanguinarius.1,mycoblastus.sanguinarius.1_944,7965,9790,Newly-annotated lichen genomes,,
puttea.exsequens.1_tyr4125,puttea.exsequens.1,puttea.exsequens.1_7,648,2443,Newly-annotated lichen genomes,,
melanohalea.halei.1_tyr3440,melanohalea.halei.1,melanohalea.halei.1_2816,730,2238,Newly-annotated lichen genomes,,
alectoria.sarmentosa.3_tyr1179,alectoria.sarmentosa.3,alectoria.sarmentosa.3_20,199184,201597,Newly-annotated lichen genomes,,
alefal1_CAF9915422.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
aspthe1_tyr2958,,,,,Gluck-Thaler and Vogan (2024),,fam06
buellia.spuria.2_tyr979,buellia.spuria.2,buellia.spuria.2_1577,3347,6689,Newly-annotated lichen genomes,,
exomes1_113733_113734_113735_113736_113737_113738,,,,,Gluck-Thaler and Vogan (2024),,n.d.
amyenc1_432340_521054,,,,,Gluck-Thaler and Vogan (2024),,n.d.
aspasp7_tyr618,,,,,Gluck-Thaler and Vogan (2024),,fam06
gluame1_KAH0541585.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
punctelia.appalachensis.1_tyr157,punctelia.appalachensis.1,punctelia.appalachensis.1_626,4196,6172,Newly-annotated lichen genomes,,
buellia.spuria.2_tyr1348,buellia.spuria.2,buellia.spuria.2_988,6386,8510,Newly-annotated lichen genomes,,
punctelia.appalachensis.1_tyr2004,punctelia.appalachensis.1,punctelia.appalachensis.1_481,13886,15751,Newly-annotated lichen genomes,,
porpidia.subsimplex.1_tyr2619,porpidia.subsimplex.1,porpidia.subsimplex.1_138,262,1453,Newly-annotated lichen genomes,,
acarospora.socialis.1_tyr3130,acarospora.socialis.1,acarospora.socialis.1_14,162470,164674,Newly-annotated lichen genomes,,
aspicilia.laevata.1_tyr3361,aspicilia.laevata.1,aspicilia.laevata.1_963,6737,8810,Newly-annotated lichen genomes,,
laccf.1_1280066,,,,,Gluck-Thaler and Vogan (2024),,fam06
phlsp.1_1968385,,,,,Gluck-Thaler and Vogan (2024),,fam06
phlsp.1_tyr9122,,,,,Gluck-Thaler and Vogan (2024),,fam06
rhoros1_675464_701269,,,,,Gluck-Thaler and Vogan (2024),,n.d.
cladonia.peziziformis.1_tyr751,cladonia.peziziformis.1,cladonia.peziziformis.1_2576,1463,2531,Newly-annotated lichen genomes,,
tersp.5_KAG6901097.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
tulsp.7_KAG8994973.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
lecidea.sp..1_tyr2799,lecidea.sp..1,lecidea.sp..1_57,2170,4487,Newly-annotated lichen genomes,,
grascr1_10749_10750,,,,,Gluck-Thaler and Vogan (2024),,n.d.
psevol1_tyr9664,,,,,Gluck-Thaler and Vogan (2024),,fam06
leosp.1_712301,,,,,Gluck-Thaler and Vogan (2024),,fam06
peltigera.hydrothyria.1_tyr591,peltigera.hydrothyria.1,peltigera.hydrothyria.1_1090,15091,16612,Newly-annotated lichen genomes,,
diploschistes.diacapsis.1_tyr1354,diploschistes.diacapsis.1,diploschistes.diacapsis.1_802,1683,3642,Newly-annotated lichen genomes,,
lecidea.sp..1_tyr684,lecidea.sp..1,lecidea.sp..1_1261,3092,4800,Newly-annotated lichen genomes,,
phlyctis.petraea.1_tyr1522,phlyctis.petraea.1,phlyctis.petraea.1_622,13128,14918,Newly-annotated lichen genomes,,
umbilicaria.mammulata.1_tyr624,umbilicaria.mammulata.1,umbilicaria.mammulata.1_1348,3103,5579,Newly-annotated lichen genomes,,
phlyctis.petraea.1_tyr3168,phlyctis.petraea.1,phlyctis.petraea.1_602,1756,3309,Newly-annotated lichen genomes,,
stereocaulon.virgatum.1_tyr4122,stereocaulon.virgatum.1,stereocaulon.virgatum.1_113,423854,425876,Newly-annotated lichen genomes,,
Starship-1_Llup-Captain,,,,,Gluck-Thaler and Vogan (2024),,fam06
letlup1_KAF6222261.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
lecanorales.sp..2_tyr2300,lecanorales.sp..2,lecanorales.sp..2_16,38176,41008,Newly-annotated lichen genomes,,
umbilicaria.vellea.1_tyr1644,umbilicaria.vellea.1,umbilicaria.vellea.1_272,5298,7164,Newly-annotated lichen genomes,,
umbilicaria.crustulosa.2_tyr1221,umbilicaria.crustulosa.2,umbilicaria.crustulosa.2_12,1318585,1320020,Newly-annotated lichen genomes,,
umbilicaria.crustulosa.1_tyr446,umbilicaria.crustulosa.1,umbilicaria.crustulosa.1_8,243572,244582,Newly-annotated lichen genomes,,
pilophorus.fibula.1_tyr2273,pilophorus.fibula.1,pilophorus.fibula.1_76,17627,19884,Newly-annotated lichen genomes,,
umbilicaria.deusta.2_tyr762,umbilicaria.deusta.2,umbilicaria.deusta.2_1,275379,279030,Newly-annotated lichen genomes,,
diploschistes.diacapsis.1_tyr1051,diploschistes.diacapsis.1,diploschistes.diacapsis.1_1757,7724,9254,Newly-annotated lichen genomes,,
exooli1_142270_142271,,,,,Gluck-Thaler and Vogan (2024),,n.d.
bismed2_654338,,,,,Gluck-Thaler and Vogan (2024),,fam06
pocchl2_RZR64022.1,,,,,Gluck-Thaler and Vogan (2024),,fam06
