Query	Subject 	Description	Scientific Name	Max Score	Total Score	Query Cover	E value	Per. ident	Acc. Len	Accession  
XANPAOZ2100_002166-T1	core_nt	"Alternaria hordeiaustralica uncharacterized protein (J4E84_007788), partial mRNA"	Alternaria hordeiaustralica	256	256	92%	2e-82	56.81	657	XM_049390368.1
XANPAOZ2100_002166-T1	core_nt	"Dothidotthia symphoricarpi CBS 119687 uncharacterized protein (P153DRAFT_364327), mRNA"	Dothidotthia symphoricarpi CBS 119687	262	262	96%	2e-82	54.5	1200	XM_033667573.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria infectoria uncharacterized protein (J4E92_003793), partial mRNA"	Alternaria infectoria	256	256	92%	2e-82	56.81	657	XM_051495187.1
XANPAOZ2100_002166-T1	core_nt	"Parastagonospora nodorum SN15 hypothetical protein (SNOG_02149), partial mRNA"	Parastagonospora nodorum SN15	266	266	96%	3e-82	56.11	1632	XM_001792715.1
XANPAOZ2100_002166-T1	core_nt	"Diplodia corticola endothelin-converting enzyme 2 (BKCO1_4000160), partial mRNA"	Diplodia corticola	255	255	90%	3e-82	57.97	651	XM_020275583.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum scovillei uncharacterized protein (HER10_EVM0005217), mRNA"	Colletotrichum scovillei	259	259	90%	4e-82	56.94	1026	XM_035474839.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum navitas S-adenosyl-L-methionine-dependent methyltransferase (LY79DRAFT_618709), mRNA"	Colletotrichum navitas	261	261	90%	6e-82	56.6	1187	XM_060562026.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum phormii S-adenosyl-L-methionine-dependent methyltransferase (BDP81DRAFT_328824), partial mRNA"	Colletotrichum phormii	254	254	90%	8e-82	55.02	669	XM_060585252.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria novae-zelandiae uncharacterized protein (J4E88_008233), partial mRNA"	Alternaria novae-zelandiae	254	254	92%	9e-82	56.81	657	XM_049401844.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria triticimaculans uncharacterized protein (J4E78_005415), partial mRNA"	Alternaria triticimaculans	254	254	92%	9e-82	56.34	657	XM_049366035.1
XANPAOZ2100_002166-T1	core_nt	"Diplodia seriata uncharacterized protein (SLS55_004925), partial mRNA"	Diplodia seriata	254	254	90%	1e-81	58.65	663	XM_066776377.1
XANPAOZ2100_002166-T1	core_nt	Alternaria alternata hypothetical protein mRNA	Alternaria alternata	258	258	91%	2e-81	57.82	1041	XM_018525700.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria ventricosa uncharacterized protein (J4E93_006292), partial mRNA"	Alternaria ventricosa	253	253	92%	2e-81	56.81	657	XM_049344209.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum acutatum S-adenosyl-L-methionine-dependent methyltransferase (BDZ83DRAFT_626511), mRNA"	Colletotrichum acutatum	256	256	90%	2e-81	56.73	907	XM_060508568.1
XANPAOZ2100_002166-T1	core_nt	"Cercospora kikuchii uncharacterized protein (CKM354_000597400), partial mRNA"	Cercospora kikuchii	253	253	91%	3e-81	55.98	645	XM_044801267.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria burnsii methyltransferase type 11 (GT037_008621), partial mRNA"	Alternaria burnsii	262	262	91%	6e-81	58.29	1572	XM_038933668.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria rosae S-adenosyl-L-methionine-dependent methyltransferase (BKA58DRAFT_234400), mRNA"	Alternaria rosae	254	254	96%	7e-80	54.3	1091	XM_046166554.1
XANPAOZ2100_002166-T1	core_nt	"Ramularia collo-cygni uncharacterized protein (RCC_03825), partial mRNA"	Ramularia collo-cygni	249	249	97%	1e-79	52.21	684	XM_023769108.1
XANPAOZ2100_002166-T1	core_nt	"Microdochium trichocladiopsis uncharacterized protein (B0I36DRAFT_319463), mRNA"	Microdochium trichocladiopsis	254	254	90%	1e-79	55.26	1080	XM_046153421.1
XANPAOZ2100_002166-T1	core_nt	"Madurella fahalii uncharacterized protein (MFIFM68171_03679), partial mRNA"	Madurella fahalii	246	246	92%	1e-78	55.61	657	XM_071059100.1
XANPAOZ2100_002166-T1	core_nt	"Aureobasidium melanogenum CBS 110374 uncharacterized protein (M437DRAFT_68118), partial mRNA"	Aureobasidium melanogenum CBS 110374	246	246	88%	1e-78	56.65	675	XM_041025059.1
XANPAOZ2100_002166-T1	core_nt	"Trichoderma aggressivum f. europaeum uncharacterized protein (Triagg1_10803), partial mRNA"	Trichoderma aggressivum f. europaeum	247	247	92%	1e-78	55.4	771	XM_062894915.1
XANPAOZ2100_002166-T1	core_nt	"Trichoderma gamsii hypothetical protein (TGAM01_v200291), partial mRNA"	Trichoderma gamsii	245	245	92%	4e-78	55.87	669	XM_024548531.1
XANPAOZ2100_002166-T1	core_nt	"Aureobasidium namibiae CBS 147.97 uncharacterized protein (M436DRAFT_55093), partial mRNA"	Aureobasidium namibiae CBS 147.97	244	244	88%	6e-78	57.14	672	XM_013568370.1
XANPAOZ2100_002166-T1	core_nt	"Grosmannia clavigera kw1407 uncharacterized protein (CMQ_7880), partial mRNA"	Grosmannia clavigera kw1407	244	244	88%	7e-78	55.61	642	XM_014313520.1
XANPAOZ2100_002166-T1	core_nt	"Phyllosticta capitalensis S-adenosyl-L-methionine-dependent methyltransferase (BKA78DRAFT_239229), partial mRNA"	Phyllosticta capitalensis	243	243	91%	7e-78	58.37	597	XM_066883896.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum abscissum uncharacterized protein (CABS01_07642), partial mRNA"	Colletotrichum abscissum	250	250	90%	2e-77	53.92	1245	XM_060541004.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria dauci uncharacterized protein (ACET3X_007311), partial mRNA"	Alternaria dauci	243	243	91%	3e-77	54.98	669	XM_069454196.1
XANPAOZ2100_002166-T1	core_nt	"Fusarium graminearum PH-1 uncharacterized protein (FGSG_11344), partial mRNA"	Fusarium graminearum PH-1	242	242	93%	4e-77	51.39	648	XM_011327594.1
XANPAOZ2100_002166-T1	core_nt	"Trichoderma atroviride uncharacterized protein (TrAtP1_006181), mRNA"	Trichoderma atroviride	248	248	92%	2e-76	56.34	1353	XM_014082818.2
XANPAOZ2100_002166-T1	core_nt	"Fusarium flagelliforme S-adenosyl-L-methionine-dependent methyltransferase (B0J16DRAFT_290150), mRNA"	Fusarium flagelliforme	238	238	93%	3e-75	51.85	707	XM_046124238.1
XANPAOZ2100_002166-T1	core_nt	"Fusarium poae uncharacterized protein (FPOAC1_007521), partial mRNA"	Fusarium poae	237	237	93%	3e-75	51.39	648	XM_044851977.1
XANPAOZ2100_002166-T1	core_nt	"Fusarium coffeatum uncharacterized protein (FIESC28_07298), partial mRNA"	Fusarium coffeatum	237	237	93%	5e-75	51.39	648	XM_031161439.1
XANPAOZ2100_002166-T1	core_nt	Colletotrichum jinshuiense isolate EsH8 chromosome 8	Colletotrichum jinshuiense	258	258	92%	7e-75	51.39	4210165	CP150811.1
XANPAOZ2100_002166-T1	core_nt	"Exophiala viscosa endothelin-converting enzyme (EDD37DRAFT_644373), partial mRNA"	Exophiala viscosa	236	236	88%	1e-74	52.71	636	XM_062817505.1
XANPAOZ2100_002166-T1	core_nt	"Pseudocercospora fijiensis CIRAD86 uncharacterized protein (MYCFIDRAFT_86729), partial mRNA"	Pseudocercospora fijiensis CIRAD86	236	236	90%	9e-74	55.24	882	XM_007930874.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria viburni uncharacterized protein (J4E79_002089), partial mRNA"	Alternaria viburni	233	233	90%	2e-73	51.21	651	XM_049350992.1
XANPAOZ2100_002166-T1	core_nt	"Fusarium subglutinans endothelin-converting enzyme 2 (FSUBG_12914), partial mRNA"	Fusarium subglutinans	232	232	92%	4e-73	52.58	642	XM_036677750.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria arbusti uncharacterized protein (J4E86_006517), partial mRNA"	Alternaria arbusti	231	231	89%	8e-73	50.73	651	XM_051447045.1
XANPAOZ2100_002166-T1	core_nt	"Sporothrix brasiliensis 5110 uncharacterized protein (SPBR_05262), partial mRNA"	Sporothrix brasiliensis 5110	232	232	88%	1e-72	49.56	717	XM_040763539.1
XANPAOZ2100_002166-T1	core_nt	"Trichoderma virens Gv29-8 uncharacterized protein (TRIVIDRAFT_194210), partial mRNA"	Trichoderma virens Gv29-8	231	231	96%	1e-72	51.79	672	XM_014097172.1
XANPAOZ2100_002166-T1	core_nt	"Neohortaea acidophila S-adenosyl-L-methionine-dependent methyltransferase (BDY17DRAFT_288441), mRNA"	Neohortaea acidophila	237	237	91%	2e-72	51.43	1249	XM_033732194.1
XANPAOZ2100_002166-T1	core_nt	"Saxophila tyrrhenica uncharacterized protein (LTR77_005914), partial mRNA"	Saxophila tyrrhenica	229	229	91%	3e-72	51.43	633	XM_064803156.1
XANPAOZ2100_002166-T1	core_nt	"Sporothrix schenckii 1099-18 S-adenosyl-L-methionine-dependent methyltransferase-like protein (SPSK_06566), partial mRNA"	Sporothrix schenckii 1099-18	229	229	88%	8e-72	48.89	717	XM_016733268.1
XANPAOZ2100_002167-T1	core_nt	"Cladophialophora psammophila CBS 110553 uncharacterized protein (A1O5_08130), partial mRNA"	Cladophialophora psammophila CBS 110553	1428	1428	79%	0	61.77	3636	XM_007748714.1
XANPAOZ2100_002167-T1	core_nt	"Fonsecaea multimorphosa CBS 102226 uncharacterized protein (Z520_11930), partial mRNA"	Fonsecaea multimorphosa CBS 102226	1409	1409	76%	0	61.87	3636	XM_016782417.1
XANPAOZ2100_002167-T1	core_nt	"Fonsecaea erecta hypothetical protein (AYL99_06617), partial mRNA"	Fonsecaea erecta	1395	1395	79%	0	59.54	3627	XM_018838126.1
XANPAOZ2100_002167-T1	core_nt	"Cladophialophora yegresii CBS 114405 uncharacterized protein (A1O7_06481), partial mRNA"	Cladophialophora yegresii CBS 114405	1182	1182	75%	0	54.04	3378	XM_007760483.1
XANPAOZ2100_002167-T1	core_nt	"Scedosporium apiospermum uncharacterized protein (SAPIO_CDS1618), partial mRNA"	Scedosporium apiospermum	867	867	75%	0	43.14	3552	XM_016784845.1
XANPAOZ2100_002167-T1	core_nt	"Botrytis porri uncharacterized protein (EAF01_003706), mRNA"	Botrytis porri	793	793	77%	0	40.71	4097	XM_038911960.1
XANPAOZ2100_002167-T1	core_nt	"Talaromyces rugulosus uncharacterized protein (TRUGW13939_03858), partial mRNA"	Talaromyces rugulosus	790	790	76%	0	39.43	3657	XM_035487036.1
XANPAOZ2100_002167-T1	core_nt	"Botrytis fragariae putative ankyrin repeat protein (Bfra_005064), partial mRNA"	Botrytis fragariae	789	789	77%	0	40.57	3723	XM_037335451.1
XANPAOZ2100_002167-T1	core_nt	"Talaromyces atroroseus hypothetical protein (UA08_06898), partial mRNA"	Talaromyces atroroseus	786	786	76%	0	40.16	3543	XM_020261979.1
XANPAOZ2100_002167-T1	core_nt	"Sporothrix schenckii 1099-18 uncharacterized protein (SPSK_01385), partial mRNA"	Sporothrix schenckii 1099-18	772	772	73%	0	41.25	3666	XM_016728300.1
XANPAOZ2100_002167-T1	core_nt	"Lindgomyces ingoldianus uncharacterized protein (BDR25DRAFT_341809), partial mRNA"	Lindgomyces ingoldianus	768	768	75%	0	39.98	3501	XM_033693645.1
XANPAOZ2100_002167-T1	core_nt	"Capronia epimyces CBS 606.96 uncharacterized protein (A1O3_03008), partial mRNA"	Capronia epimyces CBS 606.96	759	759	73%	0	40.44	3504	XM_007733148.1
XANPAOZ2100_002167-T1	core_nt	"Rhinocladiella mackenziei CBS 650.93 uncharacterized protein (Z518_07228), partial mRNA"	Rhinocladiella mackenziei CBS 650.93	749	749	75%	0	39.42	3489	XM_013415357.1
XANPAOZ2100_002167-T1	core_nt	"Thyridium curvatum uncharacterized protein (E0L32_005475), partial mRNA"	Thyridium curvatum	746	746	74%	0	39.47	3528	XM_031140000.1
XANPAOZ2100_002167-T1	core_nt	"Botrytis byssoidea uncharacterized protein (EAE97_003805), partial mRNA"	Botrytis byssoidea	741	741	74%	0	39.86	3492	XM_038874317.1
XANPAOZ2100_002167-T1	core_nt	"Aspergillus lucknowensis uncharacterized protein (BJX67DRAFT_367453), mRNA"	Aspergillus lucknowensis	728	728	76%	0	39.72	4026	XM_071030526.1
XANPAOZ2100_002167-T1	core_nt	"Penicillium psychrosexuale uncharacterized protein (N7518_001079), partial mRNA"	Penicillium psychrosexuale	728	728	73%	0	38.47	3750	XM_057182007.1
XANPAOZ2100_002167-T1	core_nt	"Fusarium mangiferae uncharacterized protein (FMAN_02144), partial mRNA"	Fusarium mangiferae	726	726	73%	0	39.58	3516	XM_041835464.1
XANPAOZ2100_002167-T1	core_nt	"Lithohypha guttulata uncharacterized protein (LTR64_008794), partial mRNA"	Lithohypha guttulata	722	722	74%	0	38.65	3258	XM_064903099.1
XANPAOZ2100_002167-T1	core_nt	"Fusarium verticillioides 7600 hypothetical protein (FVEG_16082), partial mRNA"	Fusarium verticillioides 7600	713	713	72%	0	38.22	3570	XM_018905323.1
XANPAOZ2100_002167-T1	core_nt	"Truncatella angustata uncharacterized protein (BKA67DRAFT_525676), partial mRNA"	Truncatella angustata	706	706	72%	0	37.35	3300	XM_046098685.1
XANPAOZ2100_002167-T1	core_nt	"Penicillium brevicompactum uncharacterized protein (N7506_001908), partial mRNA"	Penicillium brevicompactum	704	704	74%	0	38.3	3576	XM_056951204.1
XANPAOZ2100_002167-T1	core_nt	"Talaromyces amestolkiae uncharacterized protein (BHQ10_001440), partial mRNA"	Talaromyces amestolkiae	703	703	77%	0	37.28	3498	XM_040873477.1
XANPAOZ2100_002167-T1	core_nt	"Byssochlamys spectabilis hypothetical protein (C8Q69DRAFT_150824), mRNA"	Paecilomyces variotii	702	702	66%	0	39.72	3604	XM_028625542.1
XANPAOZ2100_002167-T1	core_nt	"Emericellopsis atlantica wd-repeat protein (F5Z01DRAFT_621309), partial mRNA"	Emericellopsis atlantica	692	692	75%	0	36.79	3630	XM_046261198.1
XANPAOZ2100_002167-T1	core_nt	"Fusarium musae uncharacterized protein (J7337_010619), partial mRNA"	Fusarium musae	676	676	73%	0	36.82	3441	XM_044828194.1
XANPAOZ2100_002167-T1	core_nt	"Penicillium diatomitis uncharacterized protein (N7539_009350), partial mRNA"	Penicillium diatomitis	672	672	70%	0	37.5	3501	XM_056938945.1
XANPAOZ2100_002167-T1	core_nt	"Geosmithia morbida NACHT domain (GMORB2_5051), partial mRNA"	Geosmithia morbida	670	670	65%	0	39.88	2913	XM_035467025.1
XANPAOZ2100_002167-T1	core_nt	"Emericellopsis cladophorae Vegetative incompatibility protein HET-E-like protein (J7T54_002603), partial mRNA"	Emericellopsis cladophorae	667	667	72%	0	37.43	3408	XM_051509131.1
XANPAOZ2100_002167-T1	core_nt	"Penicillium lagena uncharacterized protein (N7510_005905), partial mRNA"	Penicillium lagena	662	662	66%	0	39.37	3213	XM_056977831.1
XANPAOZ2100_002167-T1	core_nt	"Penicillium atrosanguineum Protein of unknown function DUF3468 (N7443_010211), partial mRNA"	Penicillium atrosanguineum	660	660	75%	0	36.5	3753	XM_056890267.1
XANPAOZ2100_002167-T1	core_nt	"Aspergillus karnatakaensis uncharacterized protein (BJY04DRAFT_218660), partial mRNA"	Aspergillus karnatakaensis	653	653	74%	0	36.19	3429	XM_073716366.1
XANPAOZ2100_002167-T1	core_nt	"Aspergillus welwitschiae uncharacterized protein (BDQ94DRAFT_139360), mRNA"	Aspergillus welwitschiae	650	650	62%	0	39.83	3331	XM_026765410.1
XANPAOZ2100_002167-T1	core_nt	"Aspergillus vadensis CBS 113365 uncharacterized protein (BO88DRAFT_440435), mRNA"	Aspergillus vadensis CBS 113365	647	647	62%	0	39.83	3318	XM_025709785.1
XANPAOZ2100_002167-T1	core_nt	"Alternaria dauci uncharacterized protein (ACET3X_006422), partial mRNA"	Alternaria dauci	647	647	66%	0	38.13	3247	XM_069453077.1
XANPAOZ2100_002167-T1	core_nt	Parastagonospora nodorum strain Sn79 chromosome 3	Parastagonospora nodorum	637	637	73%	0	35.32	2251062	CP039671.1
