Captain	familyID	Source	Genome
pennor1_tyr8865	fam05	Gluck-Thaler and Vogan (2024)	pennor1
psesp.16_tyr9418	fam05	Gluck-Thaler and Vogan (2024)	psesp.16
bimnov1_tyr3321	fam05	Gluck-Thaler and Vogan (2024)	bimnov1
cengeo1_tyr3835	fam05	Gluck-Thaler and Vogan (2024)	cengeo1
mytres1_384697	fam05	Gluck-Thaler and Vogan (2024)	mytres1
mytres1_491224	fam05	Gluck-Thaler and Vogan (2024)	mytres1
peltigera.leucophlebia.1_tyr4120		Newly-annotated lichen genomes	peltigera.leucophlebia.1
calmar1_577054	fam05	Gluck-Thaler and Vogan (2024)	calmar1
trihir1_KAH0563021.1	fam05	Gluck-Thaler and Vogan (2024)	trihir1
phisco1_133811	fam05	Gluck-Thaler and Vogan (2024)	phisco1
calmar1_178488	fam05	Gluck-Thaler and Vogan (2024)	calmar1
rhysec1_tyr10006	fam05	Gluck-Thaler and Vogan (2024)	rhysec1
baeomycetales.sp..2_tyr1857		Newly-annotated lichen genomes	baeomycetales.sp..2
acemac1_707798	fam05	Gluck-Thaler and Vogan (2024)	acemac1
icmadophila.ericetorum.1_tyr4177		Newly-annotated lichen genomes	icmadophila.ericetorum.1
rhysec1_tyr10005	fam05	Gluck-Thaler and Vogan (2024)	rhysec1
lacari1_TVY13717.1	fam05	Gluck-Thaler and Vogan (2024)	lacari1
umbilicaria.spodochroa.2_tyr828		Newly-annotated lichen genomes	umbilicaria.spodochroa.2
lachya1_TVY25215.1	fam05	Gluck-Thaler and Vogan (2024)	lachya1
bipmay2_EMD88483.1	fam05	Gluck-Thaler and Vogan (2024)	bipmay2
zoprhi1_tyr11022	fam05	Gluck-Thaler and Vogan (2024)	zoprhi1
zoprhi1_KAF2184210.1	fam05	Gluck-Thaler and Vogan (2024)	zoprhi1
hypocenomyce.scalaris.2_tyr2723		Newly-annotated lichen genomes	hypocenomyce.scalaris.2
fuscopannaria.leucosticta.1_tyr170		Newly-annotated lichen genomes	fuscopannaria.leucosticta.1
flavoplaca.sp..1_tyr2392		Newly-annotated lichen genomes	flavoplaca.sp..1
treper1_542511	fam05	Gluck-Thaler and Vogan (2024)	treper1
fuspro7_tyr6510	fam05	Gluck-Thaler and Vogan (2024)	fuspro7
fussp.5_KAF5611984.1	fam05	Gluck-Thaler and Vogan (2024)	fussp.5
fustup1_tyr6815	fam05	Gluck-Thaler and Vogan (2024)	fustup1
fusfus29_tyr5699	fam05	Gluck-Thaler and Vogan (2024)	fusfus29
fususs4_tyr6846	fam05	Gluck-Thaler and Vogan (2024)	fususs4
fusequ4_tyr5487	fam05	Gluck-Thaler and Vogan (2024)	fusequ4
fusfus65_tyr5881	fam05	Gluck-Thaler and Vogan (2024)	fusfus65
Starship-1_Foxy_Fo5176-Captain	fam05	Gluck-Thaler and Vogan (2024)	
dacmac1_659788	fam05	Gluck-Thaler and Vogan (2024)	dacmac1
fusequ5_tyr5495	fam05	Gluck-Thaler and Vogan (2024)	fusequ5
mictri1_425164	fam05	Gluck-Thaler and Vogan (2024)	mictri1
toloph1_1610	fam05	Gluck-Thaler and Vogan (2024)	toloph1
porpidia.macrocarpa.1_tyr2028		Newly-annotated lichen genomes	porpidia.macrocarpa.1
hirrho1_KAH0961187.1	fam05	Gluck-Thaler and Vogan (2024)	hirrho1
colcam1_tyr4276	fam05	Gluck-Thaler and Vogan (2024)	colcam1
xylsp.18_tyr10859	fam05	Gluck-Thaler and Vogan (2024)	xylsp.18
funsp.2_GAW15977.1	fam05	Gluck-Thaler and Vogan (2024)	funsp.2
xyllon1_530278	fam05	Gluck-Thaler and Vogan (2024)	xyllon1
xylsp.11_322789	fam05	Gluck-Thaler and Vogan (2024)	xylsp.11
xylcub1_494674	fam05	Gluck-Thaler and Vogan (2024)	xylcub1
xylsp.15_432324	fam05	Gluck-Thaler and Vogan (2024)	xylsp.15
diaamp1_10693	fam05	Gluck-Thaler and Vogan (2024)	diaamp1
xylpal1_601133	fam05	Gluck-Thaler and Vogan (2024)	xylpal1
xylsp.2_355315	fam05	Gluck-Thaler and Vogan (2024)	xylsp.2
elagra2_tyr4808	fam05	Gluck-Thaler and Vogan (2024)	elagra2
aspter9_tyr2940	fam05	Gluck-Thaler and Vogan (2024)	aspter9
parbra2_EEH47566.2	fam05	Gluck-Thaler and Vogan (2024)	parbra2
asplat5_tyr1682	fam05	Gluck-Thaler and Vogan (2024)	asplat5
pesfic1_tyr9064	fam05	Gluck-Thaler and Vogan (2024)	pesfic1
talmar2_KFX47975.1	fam05	Gluck-Thaler and Vogan (2024)	talmar2
penbra1_tyr8704	fam05	Gluck-Thaler and Vogan (2024)	penbra1
aspqua1_tyr2555	fam05	Gluck-Thaler and Vogan (2024)	aspqua1
aspasp12_tyr525	fam05	Gluck-Thaler and Vogan (2024)	aspasp12
asplep2_tyr1824	fam05	Gluck-Thaler and Vogan (2024)	asplep2
aspfla13_tyr1195	fam05	Gluck-Thaler and Vogan (2024)	aspfla13
penrub1_CAP94151.1	fam05	Gluck-Thaler and Vogan (2024)	penrub1
penroq1_4089	fam05	Gluck-Thaler and Vogan (2024)	penroq1
penoxa1_6225	fam05	Gluck-Thaler and Vogan (2024)	penoxa1
lasallia.pustulata.7_tyr482		Newly-annotated lichen genomes	lasallia.pustulata.7
lasallia.pustulata.1_tyr3965		Newly-annotated lichen genomes	lasallia.pustulata.1
rutsp.1_PQE27284.1	fam05	Gluck-Thaler and Vogan (2024)	rutsp.1
emmcre2_KKZ61922.1	fam05	Gluck-Thaler and Vogan (2024)	emmcre2
blader5_EQL32851.1	fam05	Gluck-Thaler and Vogan (2024)	blader5
polhys1_6343	fam05	Gluck-Thaler and Vogan (2024)	polhys1
parbra1_2719	fam05	Gluck-Thaler and Vogan (2024)	parbra1
parbra2_EEH48327.2	fam05	Gluck-Thaler and Vogan (2024)	parbra2
emepas2_OJD10625.1	fam05	Gluck-Thaler and Vogan (2024)	emepas2
botdot1_290492	fam05	Gluck-Thaler and Vogan (2024)	botdot1
lasthe1_tyr7811	fam05	Gluck-Thaler and Vogan (2024)	lasthe1
teloschistes.exilis.3_tyr927		Newly-annotated lichen genomes	teloschistes.exilis.3
teloschistes.exilis.1_tyr1399		Newly-annotated lichen genomes	teloschistes.exilis.1
protoblastenia.rupestris.2_tyr1319		Newly-annotated lichen genomes	protoblastenia.rupestris.2
teloschistes.chrysophthalmus.1_tyr372		Newly-annotated lichen genomes	teloschistes.chrysophthalmus.1
phaeophyscia.rubropulchra.1_tyr3009		Newly-annotated lichen genomes	phaeophyscia.rubropulchra.1
dirinaria.frostii.1_tyr148		Newly-annotated lichen genomes	dirinaria.frostii.1
lepraria.finkii.1_tyr3231		Newly-annotated lichen genomes	lepraria.finkii.1
parmotrema.hypotropum.1_tyr2695		Newly-annotated lichen genomes	parmotrema.hypotropum.1
rhizocarpon.geographicum.1_tyr1672		Newly-annotated lichen genomes	rhizocarpon.geographicum.1
massalongia.carnosa.1_tyr897		Newly-annotated lichen genomes	massalongia.carnosa.1
porina.heterospora.1_tyr1986		Newly-annotated lichen genomes	porina.heterospora.1
psehyp1_505659	fam05	Gluck-Thaler and Vogan (2024)	psehyp1
teratosphaeriaceae.sp..1_tyr2580		Newly-annotated lichen genomes	teratosphaeriaceae.sp..1
arthoniomycete.sp..2_tyr4012		Newly-annotated lichen genomes	arthoniomycete.sp..2
cerber1_tyr3938	fam05	Gluck-Thaler and Vogan (2024)	cerber1
xylographa.bjoerkii.1_tyr2039		Newly-annotated lichen genomes	xylographa.bjoerkii.1
teratosphaeriaceae.sp..1_tyr4056		Newly-annotated lichen genomes	teratosphaeriaceae.sp..1
frisim1_TKA68777.1	fam05	Gluck-Thaler and Vogan (2024)	frisim1
zascel1_tyr10949	fam05	Gluck-Thaler and Vogan (2024)	zascel1
stereocaulon.virgatum.1_tyr1769		Newly-annotated lichen genomes	stereocaulon.virgatum.1
teloschistes.peruensis.1_tyr1355		Newly-annotated lichen genomes	teloschistes.peruensis.1
rhizocarpon.geographicum.1_tyr223		Newly-annotated lichen genomes	rhizocarpon.geographicum.1
gyalolechia.ehrenbergii.1_tyr1703		Newly-annotated lichen genomes	gyalolechia.ehrenbergii.1
phaeophyscia.hispidula.1_tyr2662		Newly-annotated lichen genomes	phaeophyscia.hispidula.1
ramalina.thrausta.1_tyr185		Newly-annotated lichen genomes	ramalina.thrausta.1
asptan1_tyr2879	fam05	Gluck-Thaler and Vogan (2024)	asptan1
aspwen1_OJJ29631.1	fam05	Gluck-Thaler and Vogan (2024)	aspwen1
aspory7_tyr2327	fam05	Gluck-Thaler and Vogan (2024)	aspory7
aspasp7_tyr614	fam05	Gluck-Thaler and Vogan (2024)	aspasp7
talcel1_GAM41794.1	fam05	Gluck-Thaler and Vogan (2024)	talcel1
stictis.urceolata.1_tyr1910		Newly-annotated lichen genomes	stictis.urceolata.1
umbilicaria.crustulosa.1_tyr1105		Newly-annotated lichen genomes	umbilicaria.crustulosa.1
muellerella.sp..1_tyr1789		Newly-annotated lichen genomes	muellerella.sp..1
endocarpon.pusillum.2_tyr2476		Newly-annotated lichen genomes	endocarpon.pusillum.2
melanina.sp..2_tyr248		Newly-annotated lichen genomes	melanina.sp..2
melanohalea.halei.1_tyr1352		Newly-annotated lichen genomes	melanohalea.halei.1
parmeliaceae.sp..18_tyr3517		Newly-annotated lichen genomes	parmeliaceae.sp..18
usnochroma.carphineum.1_tyr2888		Newly-annotated lichen genomes	usnochroma.carphineum.1
lecanorales.sp..2_tyr388		Newly-annotated lichen genomes	lecanorales.sp..2
xanthoparmelia.tasmanica.1_tyr1678		Newly-annotated lichen genomes	xanthoparmelia.tasmanica.1
lobaria.pulmonaria.1_tyr474		Newly-annotated lichen genomes	lobaria.pulmonaria.1
pertusaria.ostiolata.1_tyr3886		Newly-annotated lichen genomes	pertusaria.ostiolata.1
ramalina.siliquosa.1_tyr3421		Newly-annotated lichen genomes	ramalina.siliquosa.1
lepra.amara.1_tyr2907		Newly-annotated lichen genomes	lepra.amara.1
baeomycetales.sp..2_tyr2485		Newly-annotated lichen genomes	baeomycetales.sp..2
pertusaria.andersoniae.1_tyr225		Newly-annotated lichen genomes	pertusaria.andersoniae.1
lecanorales.sp..2_tyr529		Newly-annotated lichen genomes	lecanorales.sp..2
lecanora.hybocarpa.1_tyr1670		Newly-annotated lichen genomes	lecanora.hybocarpa.1
xanthoria.parietina.3_tyr4037		Newly-annotated lichen genomes	xanthoria.parietina.3
flavoplaca.navasiana.2_tyr1859		Newly-annotated lichen genomes	flavoplaca.navasiana.2
xanthoparmelia.verrucella.1_tyr1823		Newly-annotated lichen genomes	xanthoparmelia.verrucella.1
variospora.velana.1_tyr718		Newly-annotated lichen genomes	variospora.velana.1
botryolepraria.lesdainii.1_tyr3146		Newly-annotated lichen genomes	botryolepraria.lesdainii.1
xylographa.vitiligo.3_tyr1675		Newly-annotated lichen genomes	xylographa.vitiligo.3
lecanorales.sp..5_tyr2453		Newly-annotated lichen genomes	lecanorales.sp..5
heterodermia.langdoniana.1_tyr1258		Newly-annotated lichen genomes	heterodermia.langdoniana.1
leucodermia.leucomelos.1_tyr2768		Newly-annotated lichen genomes	leucodermia.leucomelos.1
heterodermia.sp..1_tyr3905		Newly-annotated lichen genomes	heterodermia.sp..1
loekoesia.sp..1_tyr2499		Newly-annotated lichen genomes	loekoesia.sp..1
zwackhia.viridis.1_tyr2925		Newly-annotated lichen genomes	zwackhia.viridis.1
umbilicaria.polyphylla.4_tyr1573		Newly-annotated lichen genomes	umbilicaria.polyphylla.4
lecanoromycetidae.sp..1_tyr127		Newly-annotated lichen genomes	lecanoromycetidae.sp..1
icmadophila.ericetorum.1_tyr3762		Newly-annotated lichen genomes	icmadophila.ericetorum.1
icmadophila.ericetorum.1_tyr3161		Newly-annotated lichen genomes	icmadophila.ericetorum.1
umbilicaria.phaea.2_tyr434		Newly-annotated lichen genomes	umbilicaria.phaea.2
umbilicaria.phaea.3_tyr1623		Newly-annotated lichen genomes	umbilicaria.phaea.3
dibaeis.baeomyces.1_tyr557		Newly-annotated lichen genomes	dibaeis.baeomyces.1
flavoplaca.marina.2_tyr642		Newly-annotated lichen genomes	flavoplaca.marina.2
teratosphaeriaceae.sp..1_tyr1571		Newly-annotated lichen genomes	teratosphaeriaceae.sp..1
xylographa.bjoerkii.1_tyr2510		Newly-annotated lichen genomes	xylographa.bjoerkii.1
xylographa.soralifera.1_tyr654		Newly-annotated lichen genomes	xylographa.soralifera.1
ptychographa.xylographoides.1_tyr1363		Newly-annotated lichen genomes	ptychographa.xylographoides.1
xanthoria.parietina.3_tyr2910		Newly-annotated lichen genomes	xanthoria.parietina.3
xanthoria.parietina.3_tyr1370		Newly-annotated lichen genomes	xanthoria.parietina.3
umbilicaria.phaea.3_tyr2049		Newly-annotated lichen genomes	umbilicaria.phaea.3
lecanora.masana.1_tyr3081		Newly-annotated lichen genomes	lecanora.masana.1
cladonia.sp..1_tyr781		Newly-annotated lichen genomes	cladonia.sp..1
cladonia.sp..11_tyr794		Newly-annotated lichen genomes	cladonia.sp..11
leprocaulon.nicholsiae.1_tyr3065		Newly-annotated lichen genomes	leprocaulon.nicholsiae.1
umbilicaria.muhlenbergii.1_tyr4001		Newly-annotated lichen genomes	umbilicaria.muhlenbergii.1
umbilicaria.americana.1_tyr1621		Newly-annotated lichen genomes	umbilicaria.americana.1
umbilicaria.spodochroa.3_tyr4111		Newly-annotated lichen genomes	umbilicaria.spodochroa.3
umbilicaria.crustulosa.2_tyr632		Newly-annotated lichen genomes	umbilicaria.crustulosa.2
umbilicaria.spodochroa.4_tyr384		Newly-annotated lichen genomes	umbilicaria.spodochroa.4
umbilicaria.phaea.1_tyr3806		Newly-annotated lichen genomes	umbilicaria.phaea.1
umbilicaria.crustulosa.3_tyr1110		Newly-annotated lichen genomes	umbilicaria.crustulosa.3
baeomycetales.sp..2_tyr423		Newly-annotated lichen genomes	baeomycetales.sp..2
pertusaria.propinqua.1_tyr292		Newly-annotated lichen genomes	pertusaria.propinqua.1
calogaya.arnoldii.1_tyr823		Newly-annotated lichen genomes	calogaya.arnoldii.1
pertusaria.epixantha.1_tyr2831		Newly-annotated lichen genomes	pertusaria.epixantha.1
heterodermia.sp..3_tyr1517		Newly-annotated lichen genomes	heterodermia.sp..3
physciaceae.sp..4_tyr3794		Newly-annotated lichen genomes	physciaceae.sp..4
dibaeis.sorediata.1_tyr503		Newly-annotated lichen genomes	dibaeis.sorediata.1
vulpicida.juniperinus.1_tyr1524		Newly-annotated lichen genomes	vulpicida.juniperinus.1
platismatia.glauca.3_tyr315		Newly-annotated lichen genomes	platismatia.glauca.3
aspicilia.laevata.1_tyr1038		Newly-annotated lichen genomes	aspicilia.laevata.1
xanthoria.mediterranea.1_tyr2442		Newly-annotated lichen genomes	xanthoria.mediterranea.1
xylographa.pallens.1_tyr2912		Newly-annotated lichen genomes	xylographa.pallens.1
umbilicaria.crustulosa.2_tyr771		Newly-annotated lichen genomes	umbilicaria.crustulosa.2
umbilicaria.freyi.3_tyr3882		Newly-annotated lichen genomes	umbilicaria.freyi.3
buellia.spuria.2_tyr979		Newly-annotated lichen genomes	buellia.spuria.2
lasallia.pustulata.3_tyr1316		Newly-annotated lichen genomes	lasallia.pustulata.3
xanthoparmelia.taractica.1_tyr2241		Newly-annotated lichen genomes	xanthoparmelia.taractica.1
lepraria.leprolomopsis.1_tyr3692		Newly-annotated lichen genomes	lepraria.leprolomopsis.1
umbilicaria.muhlenbergii.1_tyr4000		Newly-annotated lichen genomes	umbilicaria.muhlenbergii.1
lecanoromycetes.sp..3_tyr4150		Newly-annotated lichen genomes	lecanoromycetes.sp..3
physciaceae.sp..4_tyr1788		Newly-annotated lichen genomes	physciaceae.sp..4
stereocaulon.virgatum.1_tyr2237		Newly-annotated lichen genomes	stereocaulon.virgatum.1
imshaugia.aleurites.2_tyr1734		Newly-annotated lichen genomes	imshaugia.aleurites.2
parmotrema.hypotropum.1_tyr1608		Newly-annotated lichen genomes	parmotrema.hypotropum.1
lepra.amara.1_tyr1662		Newly-annotated lichen genomes	lepra.amara.1
buellia.mamillana.1_tyr3147		Newly-annotated lichen genomes	buellia.mamillana.1
collema.furfuraceum.1_tyr1343		Newly-annotated lichen genomes	collema.furfuraceum.1
lobaria.pulmonaria.1_tyr2226		Newly-annotated lichen genomes	lobaria.pulmonaria.1
lecidea.sp..1_tyr3010		Newly-annotated lichen genomes	lecidea.sp..1
stictis.urceolata.2_tyr2769		Newly-annotated lichen genomes	stictis.urceolata.2
dibaeis.sorediata.1_tyr947		Newly-annotated lichen genomes	dibaeis.sorediata.1
acarospora.socialis.1_tyr3129		Newly-annotated lichen genomes	acarospora.socialis.1
leucodecton.sp..1_tyr3879		Newly-annotated lichen genomes	leucodecton.sp..1
buellia.spuria.2_tyr789		Newly-annotated lichen genomes	buellia.spuria.2
lecidea.sp..1_tyr2797		Newly-annotated lichen genomes	lecidea.sp..1
phlyctis.boliviensis.1_tyr3281		Newly-annotated lichen genomes	phlyctis.boliviensis.1
endocarpon.pusillum.1_tyr617		Newly-annotated lichen genomes	endocarpon.pusillum.1
porpidia.contraponenda.1_tyr2424		Newly-annotated lichen genomes	porpidia.contraponenda.1
cornicularia.normoerica.2_tyr2093		Newly-annotated lichen genomes	cornicularia.normoerica.2
fuscopannaria.leucosticta.1_tyr966		Newly-annotated lichen genomes	fuscopannaria.leucosticta.1
cladonia.sp..5_tyr3258		Newly-annotated lichen genomes	cladonia.sp..5
pyrenodesmia.sp..1_tyr594		Newly-annotated lichen genomes	pyrenodesmia.sp..1
umbilicaria.mammulata.1_tyr624		Newly-annotated lichen genomes	umbilicaria.mammulata.1
micareopsis.irriguata.1_tyr3669		Newly-annotated lichen genomes	micareopsis.irriguata.1
cladonia.peziziformis.1_tyr751		Newly-annotated lichen genomes	cladonia.peziziformis.1
umbilicaria.crustulosa.1_tyr446		Newly-annotated lichen genomes	umbilicaria.crustulosa.1
cladonia.uncialis.3_tyr2968		Newly-annotated lichen genomes	cladonia.uncialis.3
pilophorus.fibula.1_tyr2273		Newly-annotated lichen genomes	pilophorus.fibula.1
umbilicaria.deusta.2_tyr762		Newly-annotated lichen genomes	umbilicaria.deusta.2
lecidea.tessellata.1_tyr2260		Newly-annotated lichen genomes	lecidea.tessellata.1
porpidia.subsimplex.1_tyr2619		Newly-annotated lichen genomes	porpidia.subsimplex.1
peltigera.hydrothyria.1_tyr591		Newly-annotated lichen genomes	peltigera.hydrothyria.1
lambiella.insularis.1_tyr2786		Newly-annotated lichen genomes	lambiella.insularis.1
xylographa.soralifera.1_tyr502		Newly-annotated lichen genomes	xylographa.soralifera.1
xanthoria.parietina.3_tyr4166		Newly-annotated lichen genomes	xanthoria.parietina.3
paracladophialophora.sp..1_tyr1473		Newly-annotated lichen genomes	paracladophialophora.sp..1
chaetothyriales.sp..1_tyr1264		Newly-annotated lichen genomes	chaetothyriales.sp..1
xanthoria.parietina.3_tyr2100		Newly-annotated lichen genomes	xanthoria.parietina.3
cladophialophora.sp..1_tyr1004		Newly-annotated lichen genomes	cladophialophora.sp..1
cladophialophora.sp..1_tyr4136		Newly-annotated lichen genomes	cladophialophora.sp..1
cladophialophora.sp..2_tyr400		Newly-annotated lichen genomes	cladophialophora.sp..2
lambiella.insularis.1_tyr1952		Newly-annotated lichen genomes	lambiella.insularis.1
micareopsis.irriguata.1_tyr4069		Newly-annotated lichen genomes	micareopsis.irriguata.1
cladonia.macilenta.1_tyr1721		Newly-annotated lichen genomes	cladonia.macilenta.1
pertusaria.obruta.1_tyr1248		Newly-annotated lichen genomes	pertusaria.obruta.1
porpidia.albocaerulescens.1_tyr3319		Newly-annotated lichen genomes	porpidia.albocaerulescens.1
fissurina.insidiosa.1_tyr1217		Newly-annotated lichen genomes	fissurina.insidiosa.1
pilophorus.fibula.1_tyr3577		Newly-annotated lichen genomes	pilophorus.fibula.1
caloplaca.ligustica.1_tyr294		Newly-annotated lichen genomes	caloplaca.ligustica.1
pyxine.sorediata.1_tyr2651		Newly-annotated lichen genomes	pyxine.sorediata.1
pannaria.tavaresii.1_tyr3625		Newly-annotated lichen genomes	pannaria.tavaresii.1
kuettlingeria.erythrocarpa.1_tyr2630		Newly-annotated lichen genomes	kuettlingeria.erythrocarpa.1
fissurina.insidiosa.1_tyr3001		Newly-annotated lichen genomes	fissurina.insidiosa.1
flavoplaca.austrocitrina.1_tyr1793		Newly-annotated lichen genomes	flavoplaca.austrocitrina.1
hypocenomyce.scalaris.3_tyr182		Newly-annotated lichen genomes	hypocenomyce.scalaris.3
gyalecta.farlowii.1_tyr1838		Newly-annotated lichen genomes	gyalecta.farlowii.1
baeomycetales.sp..2_tyr4053		Newly-annotated lichen genomes	baeomycetales.sp..2
buellia.spuria.2_tyr29		Newly-annotated lichen genomes	buellia.spuria.2
acanthothecis.fontana.1_tyr3737		Newly-annotated lichen genomes	acanthothecis.fontana.1
