HOG	OG	Gene Tree Parent Clade	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_GTX0501	Xanthoria_parietina_SAMEA111342678	Xanthoria_parietina_SAMEA115359166
N1.HOG0000066	OG0000014	n6			XANPAOZ2100_008410-T1, XANPAOZ2100_008409-T1	XANPARI20_007755-T1
N1.HOG0000067	OG0000014	n10			XANPAOZ2100_000518-T1	XANPARI20_001168-T1
N1.HOG0000068	OG0000015	n1			XANPAOZ2100_001661-T1	XANPARI20_006320-T1, XANPARI20_008195-T1
N1.HOG0000069	OG0000015	n8			XANPAOZ2100_006771-T1	XANPARI20_008227-T1
N1.HOG0000070	OG0000015	n11				XANPARI20_009055-T1
N1.HOG0000071	OG0000016	n1			XANPAOZ2100_002730-T1	XANPARI20_000703-T1
N1.HOG0000072	OG0000016	n4			XANPAOZ2100_002036-T1	XANPARI20_006721-T1, XANPARI20_006818-T1
N1.HOG0000073	OG0000017	n1			XANPAOZ2100_002044-T1	XANPARI20_006808-T1
N1.HOG0000074	OG0000017	n7			XANPAOZ2100_002042-T1	XANPARI20_006731-T1, XANPARI20_006809-T1
N1.HOG0000075	OG0000017	n11			XANPAOZ2100_003392-T1	XANPARI20_002570-T1
N1.HOG0000076	OG0000018	n1			XANPAOZ2100_005110-T1	XANPARI20_005811-T1
N1.HOG0000077	OG0000018	n6			XANPAOZ2100_008685-T1	XANPARI20_008871-T1
N1.HOG0000078	OG0000018	n9			XANPAOZ2100_004584-T1	XANPARI20_002633-T1
N1.HOG0000079	OG0000019	n1			XANPAOZ2100_004998-T1	XANPARI20_005922-T1
N1.HOG0000080	OG0000019	n6			XANPAOZ2100_001254-T1	XANPARI20_007783-T1
N1.HOG0000081	OG0000019	n9			XANPAOZ2100_003981-T1	XANPARI20_005642-T1
N1.HOG0000082	OG0000020	n1			XANPAOZ2100_008762-T1	XANPARI20_000243-T1
N1.HOG0000083	OG0000020	n4			XANPAOZ2100_003338-T1	XANPARI20_002465-T1
N1.HOG0000084	OG0000021	n1			XANPAOZ2100_005138-T1	XANPARI20_005784-T1
N1.HOG0000085	OG0000021	n5			XANPAOZ2100_001077-T1	XANPARI20_001740-T1
N1.HOG0000086	OG0000021	n8			XANPAOZ2100_005730-T1	XANPARI20_006920-T1
N1.HOG0000087	OG0000022	n1			XANPAOZ2100_001397-T1	XANPARI20_007930-T1
N1.HOG0000088	OG0000022	n6			XANPAOZ2100_000123-T1	XANPARI20_000765-T1
N1.HOG0000089	OG0000022	n9			XANPAOZ2100_009028-T1	
N1.HOG0000090	OG0000023	n1			XANPAOZ2100_004056-T1	XANPARI20_009192-T1
N1.HOG0000091	OG0000023	n5			XANPAOZ2100_001855-T1	XANPARI20_006537-T1
N1.HOG0000092	OG0000023	n8			XANPAOZ2100_000068-T1	
N1.HOG0000093	OG0000024	n1			XANPAOZ2100_004069-T1	XANPARI20_009178-T1
N1.HOG0000094	OG0000024	n5			XANPAOZ2100_004658-T1	XANPARI20_006286-T1
N1.HOG0000095	OG0000024	n7			XANPAOZ2100_001649-T1	XANPARI20_008183-T1, XANPARI20_006307-T1
N1.HOG0000096	OG0000025	n1			XANPAOZ2100_008050-T1	XANPARI20_003664-T1
N1.HOG0000097	OG0000025	n6			XANPAOZ2100_008393-T1	XANPARI20_007736-T1
N1.HOG0000098	OG0000025	n9			XANPAOZ2100_008418-T1	XANPARI20_003121-T1
N1.HOG0000099	OG0000026	n1			XANPAOZ2100_008506-T1	XANPARI20_009061-T1
N1.HOG0000100	OG0000026	n5			XANPAOZ2100_008064-T1	XANPARI20_007398-T1
N1.HOG0000101	OG0000026	n8			XANPAOZ2100_001441-T1	XANPARI20_007976-T1
N1.HOG0000102	OG0000027	n1			XANPAOZ2100_001434-T1	XANPARI20_007968-T1
N1.HOG0000103	OG0000027	n5			XANPAOZ2100_007672-T1	XANPARI20_004067-T1
N1.HOG0000104	OG0000027	n8			XANPAOZ2100_007190-T1	XANPARI20_003181-T1
N1.HOG0000105	OG0000028	n1			XANPAOZ2100_005538-T1	XANPARI20_004184-T1
N1.HOG0000106	OG0000028	n6			XANPAOZ2100_008543-T1	XANPARI20_009022-T1
N1.HOG0000107	OG0000028	n9			XANPAOZ2100_004726-T1	
N1.HOG0000108	OG0000029	n1			XANPAOZ2100_000607-T1	XANPARI20_001262-T1
N1.HOG0000109	OG0000029	n5			XANPAOZ2100_008637-T1	XANPARI20_008920-T1
N1.HOG0000110	OG0000029	n7			XANPAOZ2100_005201-T1	
N1.HOG0000111	OG0000030	n1			XANPAOZ2100_003257-T1	XANPARI20_002378-T1
N1.HOG0000112	OG0000030	n6			XANPAOZ2100_004333-T1	XANPARI20_002886-T1
N1.HOG0000113	OG0000030	n9			XANPAOZ2100_003258-T1	
N1.HOG0000114	OG0000031	n1			XANPAOZ2100_002739-T1	XANPARI20_000714-T1
N1.HOG0000115	OG0000031	n7			XANPAOZ2100_008337-T1	XANPARI20_007672-T1
N1.HOG0000116	OG0000031	n9			XANPAOZ2100_008336-T1	
N1.HOG0000117	OG0000032	n1			XANPAOZ2100_003358-T1	XANPARI20_002487-T1, XANPARI20_002535-T1
N1.HOG0000118	OG0000032	n5			XANPAOZ2100_005195-T1	
N1.HOG0000119	OG0000032	n7			XANPAOZ2100_005625-T1, XANPAOZ2100_004661-T1	XANPARI20_006283-T1
N1.HOG0000120	OG0000033	n1			XANPAOZ2100_005598-T1	XANPARI20_004127-T1
N1.HOG0000121	OG0000033	n5			XANPAOZ2100_003380-T1	XANPARI20_002510-T1, XANPARI20_002558-T1
N1.HOG0000122	OG0000033	n8				XANPARI20_002557-T1
N1.HOG0000123	OG0000034	n1			XANPAOZ2100_007505-T1	XANPARI20_003512-T1, XANPARI20_007368-T1
N1.HOG0000124	OG0000034	n5			XANPAOZ2100_007158-T1	XANPARI20_005767-T1
N1.HOG0000125	OG0000035	n1			XANPAOZ2100_008728-T1	XANPARI20_000276-T1
N1.HOG0000126	OG0000035	n5				XANPARI20_007363-T1
N1.HOG0000127	OG0000035	n7			XANPAOZ2100_007511-T1	XANPARI20_003517-T1
N1.HOG0000128	OG0000036	n1				XANPARI20_001909-T1
N1.HOG0000129	OG0000036	n2				XANPARI20_007766-T1, XANPARI20_003161-T1, XANPARI20_005028-T1, XANPARI20_007765-T1, XANPARI20_003159-T1, XANPARI20_003163-T1, XANPARI20_003158-T1, XANPARI20_001908-T1
N1.HOG0000130	OG0000037	n1			XANPAOZ2100_005602-T1	XANPARI20_004124-T1
N1.HOG0000131	OG0000037	n4			XANPAOZ2100_004979-T1	XANPARI20_005942-T1
N1.HOG0000132	OG0000038	n1			XANPAOZ2100_001273-T1	XANPARI20_007804-T1
N1.HOG0000133	OG0000038	n4			XANPAOZ2100_000540-T1	XANPARI20_001192-T1
N1.HOG0000134	OG0000039	n1			XANPAOZ2100_000422-T1	XANPARI20_001071-T1
N1.HOG0000135	OG0000039	n5			XANPAOZ2100_008764-T1	XANPARI20_000241-T1
N1.HOG0000136	OG0000040	n1			XANPAOZ2100_008077-T1	XANPARI20_007408-T1
N1.HOG0000137	OG0000040	n6			XANPAOZ2100_000333-T1	XANPARI20_000978-T1
N1.HOG0000138	OG0000041	n1			XANPAOZ2100_004305-T1	XANPARI20_002916-T1
N1.HOG0000139	OG0000041	n4			XANPAOZ2100_003471-T1	XANPARI20_005118-T1
N1.HOG0000140	OG0000042	n1			XANPAOZ2100_008400-T1	XANPARI20_007743-T1
N1.HOG0000141	OG0000042	n4			XANPAOZ2100_001659-T1	XANPARI20_006318-T1, XANPARI20_008193-T1
N1.HOG0000142	OG0000043	n1			XANPAOZ2100_001547-T1	
N1.HOG0000143	OG0000043	n3				XANPARI20_008081-T1
N1.HOG0000144	OG0000044	n1			XANPAOZ2100_002048-T1	XANPARI20_006804-T1, XANPARI20_006734-T1
N1.HOG0000145	OG0000044	n5			XANPAOZ2100_003349-T1	XANPARI20_002477-T1
N1.HOG0000146	OG0000045	n1			XANPAOZ2100_003638-T1	XANPARI20_005295-T1
N1.HOG0000147	OG0000045	n5			XANPAOZ2100_002778-T1, XANPAOZ2100_003383-T1	XANPARI20_002560-T1
N1.HOG0000148	OG0000046	n1			XANPAOZ2100_005465-T1	XANPARI20_004257-T1
N1.HOG0000149	OG0000046	n4			XANPAOZ2100_007086-T1	XANPARI20_008544-T1
N1.HOG0000150	OG0000047	n1			XANPAOZ2100_006748-T1	XANPARI20_008840-T1
N1.HOG0000151	OG0000047	n7				XANPARI20_004504-T1
N1.HOG0000152	OG0000048	n1			XANPAOZ2100_000509-T1	XANPARI20_001160-T1
N1.HOG0000153	OG0000048	n4			XANPAOZ2100_000353-T1	XANPARI20_001000-T1
N1.HOG0000154	OG0000049	n0			XANPAOZ2100_000407-T1	XANPARI20_001056-T1
N1.HOG0000155	OG0000050	n1			XANPAOZ2100_005414-T1	XANPARI20_004309-T1
N1.HOG0000156	OG0000050	n4			XANPAOZ2100_000097-T1	
N1.HOG0000157	OG0000051	n1			XANPAOZ2100_004631-T1	XANPARI20_005686-T1, XANPARI20_002590-T1
N1.HOG0000158	OG0000051	n5			XANPAOZ2100_007477-T1	XANPARI20_003483-T1
N1.HOG0000159	OG0000052	n2			XANPAOZ2100_004615-T1	XANPARI20_005672-T1, XANPARI20_002604-T1
N1.HOG0000160	OG0000052	n5			XANPAOZ2100_004426-T1, XANPAOZ2100_005719-T1	XANPARI20_005770-T1, XANPARI20_006772-T1
N1.HOG0000161	OG0000053	n0			XANPAOZ2100_004431-T1	XANPARI20_002794-T1
N1.HOG0000162	OG0000054	n1			XANPAOZ2100_002199-T1	XANPARI20_008711-T1
N1.HOG0000163	OG0000054	n4			XANPAOZ2100_005597-T1	XANPARI20_004128-T1
N1.HOG0000164	OG0000055	n1			XANPAOZ2100_008425-T1	XANPARI20_003129-T1
N1.HOG0000165	OG0000055	n4			XANPAOZ2100_004281-T1	XANPARI20_002941-T1
N1.HOG0000166	OG0000056	n1			XANPAOZ2100_004226-T1	XANPARI20_002999-T1
N1.HOG0000167	OG0000056	n4			XANPAOZ2100_005078-T1	XANPARI20_005843-T1
N1.HOG0000168	OG0000057	n1			XANPAOZ2100_008398-T1	XANPARI20_007741-T1
N1.HOG0000169	OG0000057	n5				XANPARI20_006790-T1, XANPARI20_006749-T1
N1.HOG0000170	OG0000058	n1			XANPAOZ2100_006216-T1	XANPARI20_005013-T1
N1.HOG0000171	OG0000058	n4			XANPAOZ2100_008089-T1	XANPARI20_007421-T1
N1.HOG0000172	OG0000059	n1			XANPAOZ2100_002949-T1	XANPARI20_002063-T1
N1.HOG0000173	OG0000059	n4			XANPAOZ2100_001399-T1	XANPARI20_007932-T1
N1.HOG0000174	OG0000060	n1			XANPAOZ2100_005017-T1	XANPARI20_005903-T1
N1.HOG0000175	OG0000060	n4			XANPAOZ2100_001498-T1	XANPARI20_008030-T1
N1.HOG0000176	OG0000061	n1			XANPAOZ2100_007426-T1	XANPARI20_003429-T1
N1.HOG0000177	OG0000061	n4			XANPAOZ2100_001637-T1	XANPARI20_008170-T1, XANPARI20_006294-T1
N1.HOG0000178	OG0000062	n0			XANPAOZ2100_001915-T1	XANPARI20_006598-T1
N1.HOG0000179	OG0000063	n1			XANPAOZ2100_005748-T1	XANPARI20_006940-T1
N1.HOG0000180	OG0000063	n4			XANPAOZ2100_002045-T1	XANPARI20_006807-T1, XANPARI20_006732-T1
N1.HOG0000181	OG0000064	n6			XANPAOZ2100_002314-T1	XANPARI20_008595-T1
N1.HOG0000182	OG0000064	n7			XANPAOZ2100_002315-T1	XANPARI20_008594-T1
N1.HOG0000183	OG0000065	n1			XANPAOZ2100_004004-T1	XANPARI20_005667-T1
N1.HOG0000184	OG0000065	n5			XANPAOZ2100_004005-T1, XANPAOZ2100_002749-T1	
N1.HOG0000185	OG0000066	n1			XANPAOZ2100_006660-T1	XANPARI20_004549-T1
N1.HOG0000186	OG0000066	n4			XANPAOZ2100_003805-T1	XANPARI20_005463-T1
N1.HOG0000187	OG0000067	n1			XANPAOZ2100_003035-T1	XANPARI20_002150-T1
N1.HOG0000188	OG0000067	n4			XANPAOZ2100_003527-T1	XANPARI20_005179-T1
N1.HOG0000189	OG0000068	n1			XANPAOZ2100_003095-T1	XANPARI20_002212-T1
N1.HOG0000190	OG0000068	n4			XANPAOZ2100_007193-T1	XANPARI20_003184-T1
N1.HOG0000191	OG0000069	n1			XANPAOZ2100_005601-T1	XANPARI20_004125-T1
N1.HOG0000192	OG0000069	n4				XANPARI20_006774-T1
N1.HOG0000193	OG0000070	n0			XANPAOZ2100_005839-T1	XANPARI20_007035-T1
N1.HOG0000194	OG0000071	n1			XANPAOZ2100_002072-T1	XANPARI20_006759-T1
N1.HOG0000195	OG0000071	n3			XANPAOZ2100_006151-T1	XANPARI20_006779-T1
N1.HOG0000196	OG0000072	n2			XANPAOZ2100_005227-T1	
N1.HOG0000197	OG0000072	n4			XANPAOZ2100_005229-T1	
N1.HOG0000198	OG0000072	n6			XANPAOZ2100_004963-T1, XANPAOZ2100_005228-T1	
N1.HOG0000199	OG0000073	n1			XANPAOZ2100_006392-T1	XANPARI20_004830-T1
N1.HOG0000200	OG0000073	n4			XANPAOZ2100_005387-T1, XANPAOZ2100_005386-T1	XANPARI20_004337-T1
N1.HOG0000201	OG0000074	n1			XANPAOZ2100_006268-T1	XANPARI20_004961-T1
N1.HOG0000202	OG0000074	n4			XANPAOZ2100_007972-T1, XANPAOZ2100_004016-T1	XANPARI20_003746-T1
N1.HOG0000203	OG0000075	n1			XANPAOZ2100_007507-T1	XANPARI20_003514-T1, XANPARI20_007366-T1
N1.HOG0000204	OG0000075	n5				XANPARI20_000275-T1
N1.HOG0000205	OG0000076	n1			XANPAOZ2100_001112-T1	XANPARI20_001775-T1
N1.HOG0000206	OG0000076	n4			XANPAOZ2100_008732-T1	XANPARI20_000281-T1
N1.HOG0000207	OG0000077	n1			XANPAOZ2100_001111-T1	XANPARI20_001774-T1
N1.HOG0000208	OG0000077	n4			XANPAOZ2100_008730-T1	XANPARI20_000279-T1
N1.HOG0000209	OG0000078	n1			XANPAOZ2100_001083-T1	XANPARI20_001745-T1
N1.HOG0000210	OG0000078	n4			XANPAOZ2100_001522-T1	XANPARI20_008054-T1
N1.HOG0000211	OG0000079	n1			XANPAOZ2100_001662-T1	XANPARI20_008196-T1
N1.HOG0000212	OG0000079	n5				XANPARI20_006321-T1
N1.HOG0000213	OG0000080	n1			XANPAOZ2100_001071-T1	XANPARI20_001734-T1
N1.HOG0000214	OG0000080	n4			XANPAOZ2100_003957-T1	XANPARI20_005619-T1
N1.HOG0000215	OG0000081	n1			XANPAOZ2100_001034-T1	XANPARI20_001698-T1
N1.HOG0000216	OG0000081	n4			XANPAOZ2100_001351-T1	XANPARI20_007887-T1
N1.HOG0000217	OG0000082	n1			XANPAOZ2100_002870-T1	XANPARI20_001986-T1
N1.HOG0000218	OG0000082	n4			XANPAOZ2100_001029-T1	XANPARI20_001693-T1
N1.HOG0000219	OG0000083	n0			XANPAOZ2100_000937-T1	XANPARI20_001595-T1
N1.HOG0000220	OG0000084	n1			XANPAOZ2100_007284-T1	XANPARI20_003282-T1
N1.HOG0000221	OG0000084	n4			XANPAOZ2100_000914-T1	XANPARI20_001572-T1
N1.HOG0000222	OG0000085	n1				XANPARI20_001440-T1
N1.HOG0000223	OG0000085	n3			XANPAOZ2100_000779-T1	
N1.HOG0000224	OG0000086	n1			XANPAOZ2100_000717-T1	XANPARI20_001381-T1
N1.HOG0000225	OG0000086	n4			XANPAOZ2100_004522-T1	XANPARI20_002699-T1
N1.HOG0000226	OG0000087	n1			XANPAOZ2100_000675-T1	XANPARI20_001336-T1
N1.HOG0000227	OG0000087	n4			XANPAOZ2100_000350-T1	XANPARI20_000997-T1
N1.HOG0000228	OG0000088	n1			XANPAOZ2100_000573-T1	XANPARI20_001228-T1
N1.HOG0000229	OG0000088	n4			XANPAOZ2100_003537-T1	XANPARI20_005190-T1
N1.HOG0000230	OG0000089	n1			XANPAOZ2100_000572-T1	XANPARI20_001227-T1
N1.HOG0000231	OG0000089	n4			XANPAOZ2100_000012-T1	XANPARI20_000738-T1
N1.HOG0000232	OG0000090	n1			XANPAOZ2100_000399-T1	XANPARI20_001048-T1
N1.HOG0000233	OG0000090	n4			XANPAOZ2100_000556-T1	XANPARI20_001210-T1
N1.HOG0000234	OG0000091	n1			XANPAOZ2100_000529-T1	XANPARI20_001180-T1
N1.HOG0000235	OG0000091	n4				XANPARI20_006145-T1
N1.HOG0000236	OG0000092	n1			XANPAOZ2100_005278-T1	XANPARI20_004441-T1
N1.HOG0000237	OG0000092	n4			XANPAOZ2100_000319-T1	XANPARI20_000963-T1
N1.HOG0000238	OG0000093	n0			XANPAOZ2100_004158-T1	XANPARI20_003071-T1
N1.HOG0000239	OG0000094	n1			XANPAOZ2100_003298-T1	XANPARI20_002420-T1
N1.HOG0000240	OG0000094	n4			XANPAOZ2100_000133-T1	XANPARI20_000776-T1
N1.HOG0000241	OG0000095	n1			XANPAOZ2100_008208-T1	XANPARI20_007540-T1
N1.HOG0000242	OG0000095	n3			XANPAOZ2100_005510-T1	XANPARI20_004211-T1
N1.HOG0000243	OG0000096	n0			XANPAOZ2100_004300-T1	XANPARI20_002921-T1
N1.HOG0000244	OG0000097	n0			XANPAOZ2100_006261-T1	XANPARI20_004969-T1
N1.HOG0000245	OG0000098	n1			XANPAOZ2100_006352-T1	XANPARI20_004873-T1
N1.HOG0000246	OG0000098	n4			XANPAOZ2100_004143-T1	XANPARI20_003086-T1
N1.HOG0000247	OG0000099	n2				XANPARI20_007708-T1
N1.HOG0000248	OG0000099	n3				XANPARI20_007707-T1
N1.HOG0000249	OG0000100	n1			XANPAOZ2100_008271-T1	XANPARI20_007605-T1
N1.HOG0000250	OG0000100	n4			XANPAOZ2100_008607-T1	XANPARI20_008952-T1
N1.HOG0000251	OG0000101	n1			XANPAOZ2100_008069-T1	XANPARI20_007403-T1
N1.HOG0000252	OG0000101	n3			XANPAOZ2100_008070-T1	
N1.HOG0000253	OG0000102	n1			XANPAOZ2100_001333-T1	XANPARI20_007868-T1
N1.HOG0000254	OG0000102	n4			XANPAOZ2100_002831-T1	XANPARI20_001948-T1
N1.HOG0000255	OG0000103	n1			XANPAOZ2100_001438-T1	XANPARI20_007972-T1
N1.HOG0000256	OG0000103	n4			XANPAOZ2100_005349-T1	XANPARI20_004374-T1
N1.HOG0000257	OG0000104	n1			XANPAOZ2100_001526-T1	XANPARI20_008057-T1
N1.HOG0000258	OG0000104	n4			XANPAOZ2100_006709-T1	
N1.HOG0000259	OG0000105	n1			XANPAOZ2100_002577-T1	XANPARI20_000545-T1
N1.HOG0000260	OG0000105	n4			XANPAOZ2100_001540-T1	XANPARI20_008074-T1
N1.HOG0000261	OG0000106	n0			XANPAOZ2100_001623-T1	XANPARI20_008156-T1
N1.HOG0000262	OG0000107	n2				XANPARI20_008201-T1
N1.HOG0000263	OG0000107	n4				XANPARI20_006328-T1, XANPARI20_008202-T1
N1.HOG0000264	OG0000108	n0			XANPAOZ2100_001914-T1	XANPARI20_006597-T1
N1.HOG0000265	OG0000109	n1			XANPAOZ2100_001997-T1	XANPARI20_006681-T1
N1.HOG0000266	OG0000109	n4			XANPAOZ2100_005643-T1	XANPARI20_007338-T1
N1.HOG0000267	OG0000110	n1			XANPAOZ2100_002025-T1	XANPARI20_006709-T1, XANPARI20_006830-T1
N1.HOG0000268	OG0000110	n5			XANPAOZ2100_002026-T1	XANPARI20_006829-T1
N1.HOG0000269	OG0000111	n1			XANPAOZ2100_002488-T1	XANPARI20_000454-T1
N1.HOG0000270	OG0000111	n4			XANPAOZ2100_005520-T1	XANPARI20_004201-T1
N1.HOG0000271	OG0000112	n2			XANPAOZ2100_002344-T1	XANPARI20_000308-T1, XANPARI20_008559-T1
N1.HOG0000272	OG0000112	n5			XANPAOZ2100_008107-T1	XANPARI20_007440-T1
N1.HOG0000273	OG0000113	n1			XANPAOZ2100_002250-T1	XANPARI20_008661-T1
N1.HOG0000274	OG0000113	n4			XANPAOZ2100_007146-T1	XANPARI20_005757-T1
N1.HOG0000275	OG0000114	n0			XANPAOZ2100_002117-T1	XANPARI20_008798-T1
N1.HOG0000276	OG0000115	n1			XANPAOZ2100_003375-T1	XANPARI20_002505-T1, XANPARI20_002552-T1
N1.HOG0000277	OG0000115	n4			XANPAOZ2100_005237-T1, XANPAOZ2100_002832-T1	XANPARI20_001949-T1
N1.HOG0000278	OG0000116	n1			XANPAOZ2100_005134-T1	XANPARI20_005788-T1
N1.HOG0000279	OG0000116	n4			XANPAOZ2100_002086-T1	XANPARI20_008831-T1
N1.HOG0000280	OG0000117	n1			XANPAOZ2100_002869-T1	XANPARI20_001985-T1
N1.HOG0000281	OG0000117	n4			XANPAOZ2100_003645-T1	XANPARI20_005304-T1
N1.HOG0000282	OG0000118	n1			XANPAOZ2100_003636-T1	XANPARI20_005293-T1
N1.HOG0000283	OG0000118	n4			XANPAOZ2100_009008-T1	XANPARI20_000002-T1
N1.HOG0000284	OG0000119	n0			XANPAOZ2100_005046-T1	XANPARI20_005873-T1
N1.HOG0000285	OG0000120	n0			XANPAOZ2100_005831-T1	XANPARI20_007027-T1
N1.HOG0000286	OG0000121	n1			XANPAOZ2100_007182-T1	XANPARI20_003172-T1
N1.HOG0000287	OG0000121	n4			XANPAOZ2100_006183-T1, XANPAOZ2100_006182-T1	
