HOG	OG	Gene Tree Parent Clade	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_GTX0501	Xanthoria_parietina_SAMEA111342678	Xanthoria_parietina_SAMEA115359166
N2.HOG0000046	OG0000008	n5		XANPAGTX0501_004383-T1		
N2.HOG0000047	OG0000008	n8	XANCAGTX0491_005842-T1	XANPAGTX0501_005295-T1		
N2.HOG0000048	OG0000008	n11	XANCAGTX0491_008419-T1			
N2.HOG0000049	OG0000009	n1	XANCAGTX0491_000311-T1	XANPAGTX0501_002775-T1, XANPAGTX0501_002774-T1		
N2.HOG0000050	OG0000009	n8	XANCAGTX0491_004186-T2, XANCAGTX0491_004186-T1	XANPAGTX0501_007323-T1		
N2.HOG0000051	OG0000009	n11	XANCAGTX0491_000195-T1, XANCAGTX0491_009329-T1	XANPAGTX0501_009737-T1		
N2.HOG0000052	OG0000010	n1	XANCAGTX0491_002790-T1	XANPAGTX0501_000598-T1		
N2.HOG0000053	OG0000010	n5	XANCAGTX0491_006733-T1	XANPAGTX0501_003236-T1		
N2.HOG0000054	OG0000010	n8	XANCAGTX0491_001048-T1, XANCAGTX0491_002791-T1, XANCAGTX0491_006792-T1, XANCAGTX0491_008408-T1	XANPAGTX0501_009037-T1		
N2.HOG0000055	OG0000011	n1	XANCAGTX0491_004947-T1	XANPAGTX0501_004366-T1		
N2.HOG0000056	OG0000011	n5	XANCAGTX0491_005248-T1	XANPAGTX0501_004057-T1		
N2.HOG0000057	OG0000011	n9	XANCAGTX0491_001310-T1	XANPAGTX0501_005010-T1		
N2.HOG0000058	OG0000011	n11	XANCAGTX0491_004472-T1	XANPAGTX0501_007636-T1		
N2.HOG0000059	OG0000012	n1	XANCAGTX0491_007361-T1	XANPAGTX0501_007975-T1		
N2.HOG0000060	OG0000012	n6	XANCAGTX0491_006583-T1	XANPAGTX0501_003384-T1		
N2.HOG0000061	OG0000012	n11		XANPAGTX0501_007971-T1		
N2.HOG0000062	OG0000012	n12		XANPAGTX0501_010130-T1		
N2.HOG0000063	OG0000013	n1	XANCAGTX0491_000132-T1	XANPAGTX0501_002582-T1		
N2.HOG0000064	OG0000013	n6	XANCAGTX0491_007246-T1			
N2.HOG0000065	OG0000013	n8	XANCAGTX0491_007248-T1	XANPAGTX0501_006390-T1		
N2.HOG0000066	OG0000013	n10	XANCAGTX0491_009822-T1	XANPAGTX0501_008442-T1		
N2.HOG0000067	OG0000014	n1	XANCAGTX0491_004370-T1, XANCAGTX0491_004370-T2	XANPAGTX0501_007526-T1		
N2.HOG0000068	OG0000014	n6	XANCAGTX0491_002084-T1	XANPAGTX0501_006851-T1		
N2.HOG0000069	OG0000014	n10	XANCAGTX0491_000814-T1	XANPAGTX0501_004489-T1		
N2.HOG0000070	OG0000015	n1	XANCAGTX0491_002932-T3, XANCAGTX0491_002932-T2	XANPAGTX0501_000444-T1		
N2.HOG0000071	OG0000015	n8	XANCAGTX0491_007761-T1	XANPAGTX0501_008866-T1		
N2.HOG0000072	OG0000015	n11	XANCAGTX0491_009330-T1	XANPAGTX0501_008378-T1		
N2.HOG0000073	OG0000016	n1	XANCAGTX0491_003416-T1	XANPAGTX0501_002418-T1		
N2.HOG0000074	OG0000016	n4	XANCAGTX0491_003417-T1, XANCAGTX0491_008401-T1, XANCAGTX0491_008171-T1, XANCAGTX0491_005756-T1, XANCAGTX0491_003348-T1, XANCAGTX0491_003347-T1	XANPAGTX0501_009951-T1		
N2.HOG0000075	OG0000017	n1	XANCAGTX0491_003357-T1	XANPAGTX0501_009938-T1		
N2.HOG0000076	OG0000017	n7	XANCAGTX0491_003356-T1	XANPAGTX0501_009940-T1		
N2.HOG0000077	OG0000017	n11		XANPAGTX0501_010547-T1		
N2.HOG0000078	OG0000018	n1	XANCAGTX0491_005596-T1	XANPAGTX0501_005571-T1		
N2.HOG0000079	OG0000018	n6	XANCAGTX0491_009963-T1	XANPAGTX0501_010000-T1		
N2.HOG0000080	OG0000018	n9	XANCAGTX0491_001449-T1	XANPAGTX0501_001653-T1		
N2.HOG0000081	OG0000019	n1	XANCAGTX0491_005715-T1	XANPAGTX0501_005440-T1		
N2.HOG0000082	OG0000019	n6	XANCAGTX0491_002497-T1	XANPAGTX0501_000930-T1		
N2.HOG0000083	OG0000019	n9	XANCAGTX0491_004167-T1	XANPAGTX0501_007295-T1		
N2.HOG0000084	OG0000020	n1	XANCAGTX0491_009348-T1	XANPAGTX0501_009756-T1		
N2.HOG0000085	OG0000020	n6	XANCAGTX0491_006126-T1	XANPAGTX0501_010606-T1, XANPAGTX0501_010605-T1, XANPAGTX0501_010604-T1		
N2.HOG0000086	OG0000020	n11	XANCAGTX0491_009985-T1	XANPAGTX0501_010607-T1		
N2.HOG0000087	OG0000021	n1	XANCAGTX0491_005563-T1	XANPAGTX0501_005604-T1		
N2.HOG0000088	OG0000021	n5	XANCAGTX0491_000189-T1	XANPAGTX0501_002641-T1		
N2.HOG0000089	OG0000021	n8	XANCAGTX0491_004902-T1	XANPAGTX0501_004396-T1		
N2.HOG0000090	OG0000022	n1	XANCAGTX0491_002651-T1	XANPAGTX0501_000759-T1		
N2.HOG0000091	OG0000022	n6	XANCAGTX0491_001247-T1	XANPAGTX0501_004944-T1		
N2.HOG0000092	OG0000022	n9	XANCAGTX0491_009628-T1	XANPAGTX0501_009878-T1		
N2.HOG0000093	OG0000023	n1	XANCAGTX0491_002029-T1	XANPAGTX0501_001050-T1		
N2.HOG0000094	OG0000023	n5	XANCAGTX0491_003157-T1	XANPAGTX0501_000213-T1		
N2.HOG0000095	OG0000023	n8	XANCAGTX0491_004715-T1, XANCAGTX0491_001317-T1	XANPAGTX0501_005016-T1		
N2.HOG0000096	OG0000024	n1	XANCAGTX0491_002016-T1	XANPAGTX0501_001066-T1		
N2.HOG0000097	OG0000024	n5	XANCAGTX0491_006074-T1			
N2.HOG0000098	OG0000024	n7	XANCAGTX0491_002919-T1	XANPAGTX0501_000458-T1		
N2.HOG0000099	OG0000025	n1	XANCAGTX0491_008844-T1	XANPAGTX0501_010657-T1		
N2.HOG0000100	OG0000025	n6	XANCAGTX0491_002101-T1	XANPAGTX0501_006874-T1		
N2.HOG0000101	OG0000025	n9		XANPAGTX0501_006874-T2		
N2.HOG0000102	OG0000026	n1	XANCAGTX0491_009754-T1	XANPAGTX0501_008371-T1		
N2.HOG0000103	OG0000026	n5	XANCAGTX0491_002472-T1	XANPAGTX0501_010175-T1		
N2.HOG0000104	OG0000026	n8	XANCAGTX0491_002702-T1	XANPAGTX0501_000704-T1		
N2.HOG0000105	OG0000027	n1	XANCAGTX0491_002695-T1	XANPAGTX0501_000712-T1		
N2.HOG0000106	OG0000027	n5	XANCAGTX0491_009253-T1	XANPAGTX0501_009180-T1		
N2.HOG0000107	OG0000027	n8	XANCAGTX0491_008359-T1	XANPAGTX0501_005736-T1		
N2.HOG0000108	OG0000028	n1	XANCAGTX0491_008738-T1	XANPAGTX0501_010155-T1		
N2.HOG0000109	OG0000028	n6	XANCAGTX0491_009795-T1	XANPAGTX0501_008412-T1		
N2.HOG0000110	OG0000028	n9	XANCAGTX0491_004825-T1, XANCAGTX0491_006000-T1			
N2.HOG0000111	OG0000029	n1	XANCAGTX0491_000713-T1	XANPAGTX0501_009258-T1		
N2.HOG0000112	OG0000029	n5	XANCAGTX0491_009906-T1			
N2.HOG0000113	OG0000029	n8	XANCAGTX0491_005483-T1	XANPAGTX0501_010699-T1		
N2.HOG0000114	OG0000029	n9		XANPAGTX0501_005684-T1		
N2.HOG0000115	OG0000030	n1	XANCAGTX0491_006221-T1	XANPAGTX0501_003758-T1, XANPAGTX0501_003758-T2		
N2.HOG0000116	OG0000030	n6	XANCAGTX0491_001730-T1	XANPAGTX0501_001366-T1		
N2.HOG0000117	OG0000030	n9	XANCAGTX0491_001730-T2			
N2.HOG0000118	OG0000031	n1	XANCAGTX0491_003407-T1	XANPAGTX0501_002430-T1		
N2.HOG0000119	OG0000031	n7		XANPAGTX0501_006948-T1		
N2.HOG0000120	OG0000031	n9		XANPAGTX0501_006948-T2		
N2.HOG0000121	OG0000032	n1	XANCAGTX0491_006105-T1			
N2.HOG0000122	OG0000032	n5	XANCAGTX0491_005490-T1	XANPAGTX0501_005676-T1		
N2.HOG0000123	OG0000032	n7	XANCAGTX0491_006070-T1			
N2.HOG0000124	OG0000033	n1		XANPAGTX0501_010623-T1		
N2.HOG0000125	OG0000033	n5	XANCAGTX0491_006077-T1			
N2.HOG0000126	OG0000033	n8	XANCAGTX0491_008385-T1, XANCAGTX0491_009871-T1			
N2.HOG0000127	OG0000034	n1	XANCAGTX0491_007996-T1	XANPAGTX0501_006123-T1		
N2.HOG0000128	OG0000034	n6	XANCAGTX0491_007355-T1	XANPAGTX0501_007981-T1		
N2.HOG0000129	OG0000034	n9	XANCAGTX0491_007354-T1	XANPAGTX0501_007982-T1		
N2.HOG0000130	OG0000035	n1	XANCAGTX0491_009311-T1	XANPAGTX0501_009718-T1		
N2.HOG0000131	OG0000035	n5	XANCAGTX0491_007990-T1	XANPAGTX0501_006128-T1		
N2.HOG0000132	OG0000035	n7	XANCAGTX0491_007989-T1	XANPAGTX0501_006129-T1		
N2.HOG0000133	OG0000036	n1		XANPAGTX0501_003171-T1		
N2.HOG0000134	OG0000036	n2		XANPAGTX0501_003172-T1		
N2.HOG0000135	OG0000037	n1	XANCAGTX0491_008810-T1	XANPAGTX0501_010408-T1		
N2.HOG0000136	OG0000037	n4	XANCAGTX0491_000460-T1, XANCAGTX0491_007997-T1, XANCAGTX0491_005737-T1	XANPAGTX0501_005414-T1		
N2.HOG0000137	OG0000038	n1	XANCAGTX0491_002519-T1	XANPAGTX0501_000906-T1		
N2.HOG0000138	OG0000038	n5	XANCAGTX0491_000790-T1	XANPAGTX0501_009339-T1		
N2.HOG0000139	OG0000038	n8	XANCAGTX0491_002518-T1	XANPAGTX0501_009339-T2		
N2.HOG0000140	OG0000039	n1	XANCAGTX0491_000918-T3, XANCAGTX0491_000918-T1	XANPAGTX0501_004604-T1		
N2.HOG0000141	OG0000039	n5	XANCAGTX0491_009350-T1, XANCAGTX0491_000918-T2	XANPAGTX0501_009760-T1		
N2.HOG0000142	OG0000040	n4	XANCAGTX0491_002455-T1	XANPAGTX0501_010190-T1		
N2.HOG0000143	OG0000040	n5	XANCAGTX0491_002456-T1	XANPAGTX0501_010189-T1		
N2.HOG0000144	OG0000040	n6	XANCAGTX0491_001019-T1	XANPAGTX0501_004706-T1		
N2.HOG0000145	OG0000041	n1	XANCAGTX0491_001761-T1	XANPAGTX0501_001334-T2		
N2.HOG0000146	OG0000041	n4	XANCAGTX0491_004717-T1	XANPAGTX0501_001334-T1, XANPAGTX0501_010747-T1, XANPAGTX0501_008066-T1		
N2.HOG0000147	OG0000042	n1	XANCAGTX0491_002094-T1	XANPAGTX0501_006865-T1		
N2.HOG0000148	OG0000042	n4	XANCAGTX0491_005447-T1, XANCAGTX0491_002930-T1	XANPAGTX0501_000446-T1		
N2.HOG0000149	OG0000043	n1	XANCAGTX0491_002812-T1	XANPAGTX0501_000578-T1		
N2.HOG0000150	OG0000043	n4	XANCAGTX0491_004101-T1, XANCAGTX0491_005467-T1	XANPAGTX0501_005705-T1		
N2.HOG0000151	OG0000043	n6	XANCAGTX0491_008380-T1, XANCAGTX0491_004741-T1	XANPAGTX0501_000579-T1		
N2.HOG0000152	OG0000044	n1	XANCAGTX0491_003360-T1	XANPAGTX0501_009934-T1		
N2.HOG0000153	OG0000044	n5	XANCAGTX0491_006116-T1	XANPAGTX0501_010501-T1, XANPAGTX0501_010591-T1		
N2.HOG0000154	OG0000045	n1	XANCAGTX0491_004530-T2, XANCAGTX0491_004530-T1	XANPAGTX0501_008257-T1		
N2.HOG0000155	OG0000045	n5	XANCAGTX0491_006756-T1	XANPAGTX0501_003206-T1		
N2.HOG0000156	OG0000046	n1	XANCAGTX0491_008664-T1	XANPAGTX0501_009391-T1		
N2.HOG0000157	OG0000046	n4	XANCAGTX0491_007431-T2, XANCAGTX0491_007431-T1	XANPAGTX0501_009391-T2, XANPAGTX0501_007897-T1		
N2.HOG0000158	OG0000047	n1	XANCAGTX0491_007785-T1	XANPAGTX0501_005710-T1, XANPAGTX0501_010718-T1, XANPAGTX0501_000954-T1, XANPAGTX0501_005103-T1		
N2.HOG0000159	OG0000047	n7		XANPAGTX0501_005102-T1, XANPAGTX0501_000955-T1		
N2.HOG0000160	OG0000048	n1	XANCAGTX0491_000823-T1	XANPAGTX0501_004498-T1		
N2.HOG0000161	OG0000048	n4	XANCAGTX0491_000025-T1, XANCAGTX0491_000997-T1	XANPAGTX0501_004682-T1		
N2.HOG0000162	OG0000049	n5	XANCAGTX0491_004822-T1	XANPAGTX0501_003841-T1, XANPAGTX0501_003837-T1		
N2.HOG0000163	OG0000049	n7	XANCAGTX0491_000936-T2	XANPAGTX0501_004619-T2		
N2.HOG0000164	OG0000050	n1	XANCAGTX0491_008602-T1	XANPAGTX0501_009455-T1		
N2.HOG0000165	OG0000050	n4	XANCAGTX0491_001280-T1	XANPAGTX0501_010140-T1, XANPAGTX0501_004982-T1, XANPAGTX0501_004981-T1		
N2.HOG0000166	OG0000051	n1	XANCAGTX0491_001396-T1	XANPAGTX0501_001706-T1		
N2.HOG0000167	OG0000051	n5	XANCAGTX0491_008027-T1	XANPAGTX0501_006090-T1		
N2.HOG0000168	OG0000052	n0	XANCAGTX0491_001407-T1	XANPAGTX0501_001700-T1		
N2.HOG0000169	OG0000053	n0	XANCAGTX0491_010032-T1, XANCAGTX0491_002627-T1, XANCAGTX0491_001627-T1	XANPAGTX0501_001474-T1, XANPAGTX0501_001474-T3, XANPAGTX0501_001474-T2, XANPAGTX0501_001474-T4		
N2.HOG0000170	OG0000054	n1	XANCAGTX0491_004006-T1	XANPAGTX0501_001769-T1		
N2.HOG0000171	OG0000054	n4	XANCAGTX0491_001707-T1, XANCAGTX0491_008806-T1	XANPAGTX0501_010624-T1		
N2.HOG0000172	OG0000055	n1	XANCAGTX0491_009665-T1	XANPAGTX0501_008272-T1		
N2.HOG0000173	OG0000055	n4	XANCAGTX0491_004812-T1, XANCAGTX0491_001788-T1	XANPAGTX0501_001305-T1		
N2.HOG0000174	OG0000056	n1	XANCAGTX0491_001848-T1	XANPAGTX0501_001238-T1		
N2.HOG0000175	OG0000056	n4	XANCAGTX0491_008163-T1, XANCAGTX0491_005630-T1	XANPAGTX0501_005534-T1		
N2.HOG0000176	OG0000057	n1	XANCAGTX0491_002096-T1	XANPAGTX0501_009909-T1, XANPAGTX0501_006867-T1		
N2.HOG0000177	OG0000057	n5	XANCAGTX0491_003382-T1	XANPAGTX0501_009909-T2		
N2.HOG0000178	OG0000058	n1	XANCAGTX0491_007338-T1	XANPAGTX0501_006307-T1		
N2.HOG0000179	OG0000058	n4	XANCAGTX0491_002443-T1	XANPAGTX0501_010206-T1, XANPAGTX0501_007259-T1		
N2.HOG0000180	OG0000059	n1	XANCAGTX0491_006562-T1	XANPAGTX0501_003406-T1		
N2.HOG0000181	OG0000059	n4	XANCAGTX0491_002653-T2, XANCAGTX0491_002653-T1	XANPAGTX0501_000757-T1		
N2.HOG0000182	OG0000060	n1	XANCAGTX0491_005695-T1	XANPAGTX0501_005461-T1		
N2.HOG0000183	OG0000060	n4	XANCAGTX0491_004108-T1, XANCAGTX0491_002754-T1	XANPAGTX0501_000636-T1		
N2.HOG0000184	OG0000061	n1	XANCAGTX0491_008095-T1	XANPAGTX0501_006019-T1		
N2.HOG0000185	OG0000061	n4	XANCAGTX0491_002905-T1	XANPAGTX0501_000472-T1		
N2.HOG0000186	OG0000062	n0	XANCAGTX0491_003224-T2, XANCAGTX0491_003224-T1, XANCAGTX0491_008372-T1, XANCAGTX0491_004826-T1, XANCAGTX0491_005584-T1, XANCAGTX0491_006831-T1	XANPAGTX0501_000142-T1		
N2.HOG0000187	OG0000063	n1	XANCAGTX0491_004919-T1	XANPAGTX0501_004372-T1		
N2.HOG0000188	OG0000063	n4	XANCAGTX0491_003358-T1	XANPAGTX0501_009937-T1		
N2.HOG0000189	OG0000064	n3	XANCAGTX0491_003887-T1	XANPAGTX0501_001905-T2		
N2.HOG0000190	OG0000064	n4	XANCAGTX0491_003887-T3	XANPAGTX0501_001905-T1		
N2.HOG0000191	OG0000065	n1	XANCAGTX0491_004141-T1	XANPAGTX0501_007267-T1, XANPAGTX0501_010710-T1		
N2.HOG0000192	OG0000065	n5	XANCAGTX0491_006786-T1	XANPAGTX0501_003174-T1		
N2.HOG0000193	OG0000066	n1	XANCAGTX0491_006839-T1	XANPAGTX0501_006827-T1		
N2.HOG0000194	OG0000066	n4	XANCAGTX0491_004346-T1	XANPAGTX0501_004257-T1, XANPAGTX0501_007502-T1		
N2.HOG0000195	OG0000067	n1	XANCAGTX0491_006469-T1	XANPAGTX0501_003507-T1		
N2.HOG0000196	OG0000067	n4	XANCAGTX0491_004648-T1	XANPAGTX0501_003507-T2, XANPAGTX0501_008136-T1		
N2.HOG0000197	OG0000068	n1	XANCAGTX0491_006400-T1	XANPAGTX0501_003577-T1		
N2.HOG0000198	OG0000068	n4	XANCAGTX0491_004881-T1, XANCAGTX0491_008356-T1	XANPAGTX0501_005739-T1		
N2.HOG0000199	OG0000069	n1	XANCAGTX0491_008809-T1	XANPAGTX0501_010407-T1		
N2.HOG0000200	OG0000069	n4	XANCAGTX0491_006662-T1, XANCAGTX0491_004884-T1, XANCAGTX0491_006143-T1, XANCAGTX0491_005758-T1			
N2.HOG0000201	OG0000070	n5	XANCAGTX0491_005039-T3	XANPAGTX0501_004267-T4		
N2.HOG0000202	OG0000070	n6	XANCAGTX0491_005039-T1	XANPAGTX0501_004267-T3		
N2.HOG0000203	OG0000070	n7		XANPAGTX0501_004267-T2, XANPAGTX0501_004267-T1		
N2.HOG0000204	OG0000071	n1		XANPAGTX0501_009897-T1		
N2.HOG0000205	OG0000071	n5	XANCAGTX0491_005394-T1	XANPAGTX0501_003899-T1		
N2.HOG0000206	OG0000071	n7	XANCAGTX0491_005446-T1	XANPAGTX0501_008580-T1		
N2.HOG0000207	OG0000072	n2		XANPAGTX0501_005397-T1		
N2.HOG0000208	OG0000072	n4	XANCAGTX0491_005751-T1	XANPAGTX0501_005395-T1		
N2.HOG0000209	OG0000072	n6		XANPAGTX0501_005396-T1		
N2.HOG0000210	OG0000073	n1	XANCAGTX0491_007137-T1	XANPAGTX0501_006513-T1		
N2.HOG0000211	OG0000073	n4	XANCAGTX0491_008574-T1	XANPAGTX0501_009483-T1		
N2.HOG0000212	OG0000074	n1	XANCAGTX0491_007276-T1	XANPAGTX0501_006365-T1		
N2.HOG0000213	OG0000074	n4	XANCAGTX0491_008928-T1	XANPAGTX0501_008627-T1		
N2.HOG0000214	OG0000075	n1	XANCAGTX0491_007994-T1	XANPAGTX0501_006125-T1		
N2.HOG0000215	OG0000075	n5	XANCAGTX0491_007325-T1, XANCAGTX0491_009312-T1	XANPAGTX0501_009719-T1		
N2.HOG0000216	OG0000076	n1	XANCAGTX0491_000151-T1	XANPAGTX0501_002603-T1		
N2.HOG0000217	OG0000076	n4	XANCAGTX0491_009306-T1	XANPAGTX0501_009712-T1		
N2.HOG0000218	OG0000077	n1	XANCAGTX0491_000152-T1	XANPAGTX0501_002604-T1		
N2.HOG0000219	OG0000077	n4	XANCAGTX0491_009308-T1	XANPAGTX0501_009714-T1		
N2.HOG0000220	OG0000078	n1	XANCAGTX0491_000181-T1	XANPAGTX0501_002635-T1		
N2.HOG0000221	OG0000078	n4	XANCAGTX0491_002780-T1	XANPAGTX0501_000608-T1		
N2.HOG0000222	OG0000079	n1	XANCAGTX0491_000196-T1, XANCAGTX0491_002933-T2	XANPAGTX0501_000443-T2		
N2.HOG0000223	OG0000079	n5	XANCAGTX0491_002933-T1	XANPAGTX0501_000443-T1		
N2.HOG0000224	OG0000080	n1	XANCAGTX0491_000199-T1	XANPAGTX0501_002649-T1		
N2.HOG0000225	OG0000080	n4	XANCAGTX0491_004183-T1	XANPAGTX0501_007321-T1		
N2.HOG0000226	OG0000081	n1	XANCAGTX0491_000239-T1	XANPAGTX0501_002693-T1		
N2.HOG0000227	OG0000081	n4		XANPAGTX0501_004505-T1, XANPAGTX0501_000804-T1		
N2.HOG0000228	OG0000082	n1	XANCAGTX0491_006651-T1	XANPAGTX0501_003310-T1		
N2.HOG0000229	OG0000082	n4	XANCAGTX0491_000245-T1	XANPAGTX0501_002699-T1		
N2.HOG0000230	OG0000083	n5	XANCAGTX0491_000349-T3	XANPAGTX0501_002817-T3		
N2.HOG0000231	OG0000083	n6	XANCAGTX0491_000349-T2	XANPAGTX0501_002817-T1		
N2.HOG0000232	OG0000084	n1	XANCAGTX0491_008255-T1	XANPAGTX0501_005851-T1		
N2.HOG0000233	OG0000084	n4	XANCAGTX0491_000374-T1	XANPAGTX0501_002846-T1		
N2.HOG0000234	OG0000085	n1	XANCAGTX0491_000531-T3	XANPAGTX0501_002999-T2		
N2.HOG0000235	OG0000085	n4	XANCAGTX0491_000531-T1	XANPAGTX0501_002999-T3		
N2.HOG0000236	OG0000085	n6	XANCAGTX0491_000531-T2	XANPAGTX0501_002999-T1		
N2.HOG0000237	OG0000086	n1	XANCAGTX0491_000592-T1	XANPAGTX0501_003062-T1		
N2.HOG0000238	OG0000086	n4	XANCAGTX0491_001524-T1	XANPAGTX0501_001584-T1		
N2.HOG0000239	OG0000087	n1	XANCAGTX0491_000640-T1	XANPAGTX0501_003112-T1		
N2.HOG0000240	OG0000087	n4	XANCAGTX0491_001000-T1	XANPAGTX0501_004685-T1		
N2.HOG0000241	OG0000088	n1	XANCAGTX0491_000750-T1	XANPAGTX0501_009295-T1		
N2.HOG0000242	OG0000088	n4	XANCAGTX0491_004635-T1	XANPAGTX0501_008148-T1		
N2.HOG0000243	OG0000089	n1	XANCAGTX0491_000751-T1	XANPAGTX0501_009296-T1		
N2.HOG0000244	OG0000089	n4	XANCAGTX0491_001371-T1	XANPAGTX0501_005079-T1		
N2.HOG0000245	OG0000090	n1	XANCAGTX0491_000944-T1	XANPAGTX0501_004628-T1		
N2.HOG0000246	OG0000090	n4	XANCAGTX0491_000772-T1	XANPAGTX0501_009319-T1		
N2.HOG0000247	OG0000091	n1	XANCAGTX0491_000801-T1	XANPAGTX0501_009351-T1		
N2.HOG0000248	OG0000091	n4	XANCAGTX0491_005933-T1, XANCAGTX0491_005933-T2	XANPAGTX0501_005193-T1		
N2.HOG0000249	OG0000092	n1	XANCAGTX0491_008449-T1	XANPAGTX0501_009001-T1		
N2.HOG0000250	OG0000092	n4	XANCAGTX0491_001035-T1	XANPAGTX0501_004726-T1		
N2.HOG0000251	OG0000093	n0	XANCAGTX0491_001922-T2, XANCAGTX0491_001922-T1, XANCAGTX0491_005455-T1, XANCAGTX0491_001165-T1, XANCAGTX0491_005454-T1	XANPAGTX0501_001163-T1		
N2.HOG0000252	OG0000094	n1	XANCAGTX0491_006178-T1	XANPAGTX0501_003805-T1		
