"Name","Start","End","Size","Count Of Windows","Product","Substrate","Composite","GC Content"
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",932500,939000,6500,12,1.53,0.5,1.04,39.66
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",940000,949000,9000,17,1.49,0.48,1.01,39.29
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",967000,1001000,34000,67,1.61,0.32,1.29,38.61
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1008000,1014000,6000,11,1.51,0.53,0.98,42.87
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1014000,1027000,13000,25,1.54,0.47,1.07,40.82
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1027000,1043500,16500,32,1.63,0.35,1.28,38.52
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1049000,1053500,4500,8,1.61,0.33,1.28,37.22
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1053500,1085500,32000,63,1.62,0.36,1.27,39.64
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1092500,1097500,5000,9,1.55,0.42,1.12,39.4
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1098000,1103500,5500,10,1.74,0.36,1.38,43.02
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1107000,1111500,4500,8,1.53,0.39,1.15,37.07
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1314500,1319500,5000,9,1.45,0.65,0.79,46.24
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1326000,1331500,5500,10,1.54,0.45,1.1,40.64
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1336500,1351000,14500,28,1.62,0.43,1.19,43.06
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1982000,1992000,10000,19,1.56,0.51,1.05,43.42
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",1997000,2002000,5000,9,1.61,0.41,1.2,38.86
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",2012000,2034000,22000,43,1.63,0.46,1.17,44.05
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",2034000,2040500,6500,12,1.55,0.44,1.11,42.46
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",2041000,2049000,8000,15,1.56,0.42,1.14,40.46
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",11500,35500,24000,47,1.59,0.37,1.22,40.1
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",107500,114000,6500,12,1.65,0.35,1.29,41.09
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",122500,129000,6500,12,1.48,0.58,0.9,44.68
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",746000,762500,16500,32,1.6,0.38,1.21,41.03
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",762500,777500,15000,29,1.63,0.27,1.36,38.34
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",789500,795500,6000,11,1.62,0.4,1.23,40.05
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",795500,824000,28500,56,1.68,0.31,1.36,40.18
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",828500,843500,15000,29,1.59,0.32,1.28,38.59
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",857500,865500,8000,15,1.58,0.38,1.2,38.83
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",871000,887500,16500,32,1.58,0.39,1.19,38.62
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",887500,901500,14000,27,1.6,0.33,1.27,40.53
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",923500,928000,4500,8,1.67,0.3,1.37,38.69
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",931000,957000,26000,51,1.62,0.34,1.28,40.81
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",961500,985000,23500,46,1.72,0.25,1.47,41.31
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",985000,995000,10000,19,1.53,0.44,1.09,39.06
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",1000500,1007500,7000,13,1.58,0.41,1.16,39.69
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",1014000,1019500,5500,10,1.45,0.42,1.02,38.62
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",1786500,1792000,5500,10,1.6,0.51,1.09,43.96
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",1792000,1816000,24000,47,1.66,0.32,1.33,40.65
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",1816000,1833500,17500,34,1.65,0.38,1.28,40.93
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",2013500,2040000,26500,52,1.55,0.45,1.1,42.22
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",2047000,2054000,7000,13,1.59,0.39,1.2,40.19
"ENA|OZ210032|OZ210032.1 Xanthoria parietina genome assembly, chromosome: 5",2055000,2060500,5500,10,1.63,0.52,1.11,43.45
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",19000,32500,13500,26,1.58,0.4,1.18,42.8
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",62500,69000,6500,12,1.39,0.36,1.04,38.86
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",72500,79000,6500,12,1.62,0.42,1.21,41.28
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",131500,140000,8500,16,1.61,0.48,1.13,41.38
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",140000,145000,5000,9,1.44,0.61,0.83,41.66
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",145500,153500,8000,15,1.64,0.38,1.27,41.89
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",159000,168500,9500,18,1.6,0.46,1.14,39.84
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",168500,200500,32000,63,1.65,0.37,1.28,41.57
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",201000,216500,15500,30,1.78,0.3,1.48,41.05
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",464500,471000,6500,12,1.67,0.41,1.27,42.89
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",474500,479500,5000,9,1.57,0.53,1.03,40.54
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",479500,488000,8500,16,1.47,0.59,0.88,43.19
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",488000,496000,8000,15,1.6,0.44,1.16,42.02
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",512000,520500,8500,16,1.5,0.59,0.91,42.11
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",520500,525500,5000,9,1.78,0.38,1.4,42.44
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",531500,537500,6000,11,1.71,0.49,1.22,43.27
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1044000,1057500,13500,26,1.59,0.33,1.26,39.01
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1058000,1064000,6000,11,1.63,0.41,1.21,41.08
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1068000,1091000,23000,45,1.7,0.28,1.42,39.1
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1110000,1140500,30500,60,1.69,0.29,1.4,38.15
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1164000,1201000,37000,73,1.61,0.31,1.3,39.48
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1223500,1238000,14500,28,1.54,0.38,1.16,39.43
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1239500,1260000,20500,40,1.72,0.26,1.46,39.83
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1260000,1265500,5500,10,1.55,0.41,1.13,39.62
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1380000,1386000,6000,11,1.55,0.59,0.96,45.85
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1412500,1421500,9000,17,1.67,0.3,1.37,40.34
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1427500,1449500,22000,43,1.61,0.38,1.23,40.26
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1637000,1642000,5000,9,1.48,0.47,1,40.76
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1669500,1676500,7000,13,1.41,0.61,0.8,45.53
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1681500,1689500,8000,15,1.46,0.56,0.9,45.06
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1696500,1703500,7000,13,1.44,0.56,0.88,43.17
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1747500,1757000,9500,18,1.5,0.54,0.96,43.96
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1775500,1786500,11000,21,1.47,0.44,1.03,40.29
"ENA|OZ210035|OZ210035.1 Xanthoria parietina genome assembly, chromosome: 8",1809500,1838500,29000,57,1.64,0.33,1.31,39.17
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",3000,9000,6000,11,1.63,0.37,1.27,43.55
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",10500,19000,8500,16,1.58,0.49,1.09,41.84
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",19000,30000,11000,21,1.72,0.38,1.34,42.17
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",80500,98000,17500,34,1.72,0.33,1.38,41.05
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",108500,141500,33000,65,1.77,0.3,1.47,40.78
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",141500,175500,34000,67,1.71,0.36,1.35,42.24
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",176500,223500,47000,93,1.69,0.4,1.29,41.91
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",223500,252000,28500,56,1.65,0.45,1.2,41.77
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",261000,317500,56500,112,1.7,0.36,1.34,42.61
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",909000,930000,21000,41,1.63,0.44,1.18,42.15
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",931500,947500,16000,31,1.73,0.37,1.35,42.9
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",1759500,1787000,27500,54,1.72,0.33,1.39,41.3
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",1787000,1797000,10000,19,1.58,0.47,1.12,40.51
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",1975000,1986500,11500,22,1.6,0.45,1.15,42.43
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",1992500,1998000,5500,10,1.71,0.53,1.17,48.22
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",2009000,2018500,9500,18,1.62,0.24,1.37,35.49
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",2018500,2026000,7500,14,1.73,0.16,1.56,37.09
"ENA|OZ210034|OZ210034.1 Xanthoria parietina genome assembly, chromosome: 7",2031500,2042000,10500,20,1.7,0.16,1.54,36.06
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",15000,22500,7500,14,1.52,0.53,0.99,44.19
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",22500,39000,16500,32,1.59,0.36,1.23,38.96
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",223500,240000,16500,32,1.63,0.43,1.2,40.64
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",449000,456000,7000,13,1.71,0.44,1.28,42.53
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",456500,462000,5500,10,1.54,0.51,1.04,44.25
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",462500,480500,18000,35,1.52,0.46,1.06,41.13
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",481000,497000,16000,31,1.78,0.35,1.42,43.48
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",685000,768000,83000,165,1.67,0.23,1.44,37.38
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",1514000,1520000,6000,11,1.83,0.36,1.48,45.1
"ENA|OZ210037|OZ210037.1 Xanthoria parietina genome assembly, chromosome: 10",1589000,1594500,5500,10,1.29,0.47,0.81,41.96
"ENA|OZ210036|OZ210036.1 Xanthoria parietina genome assembly, chromosome: 9",61000,66000,5000,9,1.83,0.33,1.5,43
"ENA|OZ210036|OZ210036.1 Xanthoria parietina genome assembly, chromosome: 9",1409500,1427500,18000,35,1.63,0.4,1.23,41.91
"ENA|OZ210036|OZ210036.1 Xanthoria parietina genome assembly, chromosome: 9",1434500,1529500,95000,189,1.66,0.4,1.26,42.17
"ENA|OZ210036|OZ210036.1 Xanthoria parietina genome assembly, chromosome: 9",1543000,1556000,13000,25,1.62,0.38,1.24,38.89
"ENA|OZ210036|OZ210036.1 Xanthoria parietina genome assembly, chromosome: 9",1556000,1567000,11000,21,1.52,0.4,1.12,40.2
"ENA|OZ210036|OZ210036.1 Xanthoria parietina genome assembly, chromosome: 9",1746000,1752500,6500,12,1.81,0.29,1.52,42.37
"ENA|OZ210036|OZ210036.1 Xanthoria parietina genome assembly, chromosome: 9",1793500,1804500,11000,21,1.57,0.4,1.16,39.27
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",13500,20000,6500,12,1.57,0.35,1.22,44.05
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",594500,603500,9000,17,1.62,0.28,1.33,35.73
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",605000,626000,21000,41,1.57,0.35,1.22,37.34
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",629500,636500,7000,13,1.54,0.28,1.26,36.31
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",637000,665500,28500,56,1.65,0.3,1.35,39.21
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",676000,701000,25000,49,1.69,0.25,1.44,38.15
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",707500,721000,13500,26,1.57,0.36,1.21,37.17
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",727500,767500,40000,79,1.64,0.31,1.33,39.41
"ENA|OZ210038|OZ210038.1 Xanthoria parietina genome assembly, chromosome: 11",768000,793000,25000,49,1.55,0.44,1.11,41.28
"ENA|OZ210039|OZ210039.1 Xanthoria parietina genome assembly, chromosome: 12",782000,788500,6500,12,1.61,0.31,1.3,37.51
"ENA|OZ210039|OZ210039.1 Xanthoria parietina genome assembly, chromosome: 12",788500,817500,29000,57,1.59,0.36,1.23,39.62
"ENA|OZ210039|OZ210039.1 Xanthoria parietina genome assembly, chromosome: 12",818500,825500,7000,13,1.57,0.26,1.3,39.23
"ENA|OZ210039|OZ210039.1 Xanthoria parietina genome assembly, chromosome: 12",833000,841000,8000,15,1.57,0.4,1.17,39.51
"ENA|OZ210039|OZ210039.1 Xanthoria parietina genome assembly, chromosome: 12",842000,886500,44500,88,1.7,0.31,1.39,40.16
"ENA|OZ210039|OZ210039.1 Xanthoria parietina genome assembly, chromosome: 12",1509500,1518500,9000,17,1.73,0.37,1.35,42.76
"ENA|OZ210039|OZ210039.1 Xanthoria parietina genome assembly, chromosome: 12",1519000,1524500,5500,10,1.38,0.54,0.84,42.55
"ENA|OZ210040|OZ210040.1 Xanthoria parietina genome assembly, chromosome: 13",371000,378000,7000,13,1.5,0.52,0.98,40.13
"ENA|OZ210040|OZ210040.1 Xanthoria parietina genome assembly, chromosome: 13",385500,391500,6000,11,1.63,0.66,0.98,49.33
"ENA|OZ210040|OZ210040.1 Xanthoria parietina genome assembly, chromosome: 13",391500,438000,46500,92,1.65,0.27,1.38,38.5
"ENA|OZ210040|OZ210040.1 Xanthoria parietina genome assembly, chromosome: 13",470500,513000,42500,84,1.65,0.23,1.42,37.93
"ENA|OZ210040|OZ210040.1 Xanthoria parietina genome assembly, chromosome: 13",722500,767500,45000,89,1.71,0.29,1.43,40.12
"ENA|OZ210040|OZ210040.1 Xanthoria parietina genome assembly, chromosome: 13",1327500,1334500,7000,13,1.62,0.43,1.19,44.66
"ENA|OZ210040|OZ210040.1 Xanthoria parietina genome assembly, chromosome: 13",1344500,1351000,6500,12,1.37,0.48,0.88,42.49
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",26500,37500,11000,21,1.49,0.33,1.15,37.73
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",106500,113500,7000,13,1.51,0.54,0.97,44.46
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",334000,381000,47000,93,1.71,0.27,1.44,39.7
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",381500,396000,14500,28,1.68,0.24,1.44,37.6
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",1039500,1050500,11000,21,1.67,0.49,1.17,44.21
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",1087000,1092500,5500,10,1.44,0.54,0.9,40.45
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",1251500,1258000,6500,12,1.42,0.45,0.97,38.98
"ENA|OZ210041|OZ210041.1 Xanthoria parietina genome assembly, chromosome: 14",1258000,1263000,5000,9,1.55,0.6,0.95,46.3
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",1000,8500,7500,14,1.4,0.58,0.81,44.59
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",17500,24000,6500,12,1.62,0.42,1.2,40.69
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",39500,44500,5000,9,1.58,0.51,1.07,41.72
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",431500,438500,7000,13,1.57,0.54,1.03,43.7
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",439500,451000,11500,22,1.73,0.42,1.31,44.37
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",453000,463000,10000,19,1.51,0.6,0.91,44.68
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",675500,716000,40500,80,1.62,0.36,1.26,39.23
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",716500,741000,24500,48,1.68,0.31,1.37,39.4
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",746000,754000,8000,15,1.65,0.3,1.36,37.16
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",767500,779000,11500,22,1.67,0.23,1.44,38.51
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",779000,827000,48000,95,1.68,0.28,1.4,39.9
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",1089500,1104500,15000,29,1.7,0.27,1.43,39.21
"ENA|OZ210042|OZ210042.1 Xanthoria parietina genome assembly, chromosome: 15",1144000,1159500,15500,30,1.56,0.43,1.13,39.81
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",0,9500,9500,18,1.57,0.51,1.06,42.24
