"Name","Start","End","Size","Count Of Windows","Product","Substrate","Composite","GC Content"
"scaffold_4",348500,365500,17000,33,1.63,0.27,1.36,37.38
"scaffold_4",365500,374500,9000,17,1.51,0.41,1.1,39.39
"scaffold_4",397000,421500,24500,48,1.61,0.26,1.35,37.33
"scaffold_4",443000,468000,25000,49,1.62,0.34,1.27,37.3
"scaffold_4",485500,506500,21000,41,1.54,0.31,1.23,37.32
"scaffold_4",510000,521500,11500,22,1.59,0.28,1.3,37.92
"scaffold_4",1385500,1395500,10000,19,1.35,0.55,0.8,44.03
"scaffold_4",1396000,1407500,11500,22,1.52,0.37,1.16,37.32
"scaffold_4",2237000,2313500,76500,152,1.66,0.22,1.45,36.99
"scaffold_4",2465000,2471000,6000,11,1.8,0.41,1.39,45.02
"scaffold_4",2525000,2566500,41500,82,1.63,0.28,1.35,37.03
"scaffold_4",2731500,2754500,23000,45,1.59,0.45,1.14,41.67
"scaffold_4",2755000,2762000,7000,13,1.59,0.49,1.1,42.56
"scaffold_4",2992500,3001000,8500,16,1.61,0.36,1.24,40.67
"scaffold_7",609000,616500,7500,14,1.5,0.37,1.13,38.72
"scaffold_7",616500,645500,29000,57,1.56,0.37,1.19,39.84
"scaffold_7",681500,704000,22500,44,1.69,0.27,1.42,37.4
"scaffold_7",704000,717000,13000,25,1.58,0.41,1.17,38.38
"scaffold_7",719000,740500,21500,42,1.6,0.35,1.25,38.35
"scaffold_7",743000,801000,58000,115,1.67,0.3,1.37,39.08
"scaffold_7",1378500,1385500,7000,13,1.52,0.57,0.95,42.91
"scaffold_7",1549500,1595000,45500,90,1.65,0.33,1.31,40.05
"scaffold_7",1619000,1624500,5500,10,1.82,0.32,1.5,44.29
"scaffold_7",1625000,1638500,13500,26,1.59,0.4,1.19,40.49
"scaffold_6",72000,76500,4500,8,1.51,0.57,0.94,41.91
"scaffold_6",84000,90000,6000,11,1.31,0.66,0.65,46.62
"scaffold_6",92000,101500,9500,18,1.56,0.61,0.95,46.07
"scaffold_6",111000,121000,10000,19,1.65,0.44,1.21,44.13
"scaffold_6",432500,443000,10500,20,1.55,0.52,1.02,42.87
"scaffold_6",1167000,1172000,5000,9,1.75,0.56,1.18,48.76
"scaffold_6",1918500,1942000,23500,46,1.78,0.27,1.51,41.3
"scaffold_6",1943000,1963000,20000,39,1.8,0.3,1.5,41.44
"scaffold_6",1977500,2037000,59500,118,1.77,0.31,1.46,41.45
"scaffold_6",2037000,2057000,20000,39,1.81,0.35,1.46,43.51
"scaffold_6",2066500,2079500,13000,25,1.68,0.38,1.29,40.96
"scaffold_6",2081000,2088500,7500,14,1.53,0.5,1.03,42.89
"scaffold_6",2088500,2106500,18000,35,1.78,0.27,1.51,40.86
"scaffold_6",2157500,2166000,8500,16,1.66,0.51,1.15,45.78
"scaffold_6",2166500,2171500,5000,9,1.68,0.22,1.46,37.76
"scaffold_6",2173500,2181500,8000,15,1.67,0.32,1.35,41.55
"scaffold_6",2187500,2195500,8000,15,1.51,0.46,1.06,39.91
"scaffold_8",1299000,1305500,6500,12,1.57,0.39,1.19,36.78
"scaffold_8",1306000,1368000,62000,123,1.63,0.32,1.31,39.39
"scaffold_8",1373500,1386500,13000,25,1.69,0.34,1.36,41.67
"scaffold_9",12000,49500,37500,74,1.6,0.36,1.24,38.88
"scaffold_9",49500,55000,5500,10,1.63,0.32,1.32,38.29
"scaffold_9",56500,101500,45000,89,1.75,0.17,1.58,38.29
"scaffold_9",103000,114000,11000,21,1.57,0.55,1.03,42.18
"scaffold_9",146500,193000,46500,92,1.65,0.27,1.39,38.53
"scaffold_9",202000,213000,11000,21,1.48,0.33,1.15,37.75
"scaffold_9",263500,269000,5500,10,1.8,0.25,1.55,40.67
"scaffold_9",510000,591000,81000,161,1.77,0.2,1.57,38.3
"scaffold_9",1431500,1453500,22000,43,1.59,0.24,1.35,36.65
"scaffold_10",21000,30000,9000,17,1.73,0.38,1.36,43.11
"scaffold_10",60500,73000,12500,24,1.62,0.46,1.15,43.37
"scaffold_10",150500,156000,5500,10,1.33,0.58,0.76,39.09
"scaffold_11",382000,389500,7500,14,1.65,0.24,1.41,34.83
"scaffold_11",391000,431000,40000,79,1.68,0.25,1.43,38.49
"scaffold_11",434000,470000,36000,71,1.71,0.16,1.55,36.49
"scaffold_11",470500,478000,7500,14,1.61,0.29,1.33,37.97
"scaffold_11",478500,487500,9000,17,1.57,0.36,1.21,39.28
"scaffold_11",493500,499500,6000,11,1.73,0.24,1.49,37.9
"scaffold_11",500000,528500,28500,56,1.63,0.29,1.34,37.42
"scaffold_11",535000,563500,28500,56,1.69,0.25,1.44,38.34
"scaffold_11",751500,760000,8500,16,1.51,0.55,0.96,45.38
"scaffold_11",972000,981500,9500,18,1.72,0.28,1.44,41.17
"scaffold_11",981500,990500,9000,17,1.77,0.48,1.29,45.66
"scaffold_11",1122000,1127500,5500,10,1.66,0.41,1.26,42.02
"scaffold_13",0,11500,11500,22,1.53,0.46,1.07,42.29
"scaffold_13",12000,20000,8000,15,1.56,0.56,1.01,44.71
"scaffold_13",20000,26500,6500,12,1.5,0.59,0.91,42.65
"scaffold_13",27500,45000,17500,34,1.54,0.51,1.03,42.53
"scaffold_13",55500,61500,6000,11,1.41,0.61,0.8,43.13
"scaffold_13",68500,78500,10000,19,1.52,0.45,1.07,41.96
"scaffold_13",87000,101500,14500,28,1.58,0.42,1.15,43.55
"scaffold_13",110500,123000,12500,24,1.61,0.41,1.2,43.43
"scaffold_13",423000,452000,29000,57,1.66,0.36,1.3,41.55
"scaffold_13",457500,462000,4500,8,1.43,0.32,1.11,30.58
"scaffold_13",470000,509500,39500,78,1.69,0.21,1.48,36.89
"scaffold_13",649000,656500,7500,14,1.79,0.21,1.58,41.76
"scaffold_12",571500,602500,31000,61,1.66,0.22,1.44,36.7
"scaffold_12",602500,649500,47000,93,1.63,0.35,1.28,39.02
"scaffold_12",665500,672500,7000,13,1.57,0.34,1.23,39.43
"scaffold_12",705000,743500,38500,76,1.71,0.25,1.46,38.86
"scaffold_12",890500,896000,5500,10,1.57,0.51,1.06,44.56
"scaffold_12",896500,908000,11500,22,1.54,0.52,1.02,42.48
