Orthogroup	Xanthoria_parietina_SAMEA111342678	Xanthoria_calcicola_GTX0491
OG0000027	XANPAOZ2100_001434-T1	XANCAGTX0491_002695-T1
OG0000027	XANPAOZ2100_007672-T1	XANCAGTX0491_009253-T1
OG0000027	XANPAOZ2100_007190-T1	XANCAGTX0491_008359-T1
OG0000028	XANPAOZ2100_005538-T1	XANCAGTX0491_008738-T1
OG0000028	XANPAOZ2100_008543-T1	XANCAGTX0491_009795-T1
OG0000028	XANPAOZ2100_004726-T1	XANCAGTX0491_004825-T1, XANCAGTX0491_006000-T1
OG0000029	XANPAOZ2100_000607-T1	XANCAGTX0491_000713-T1
OG0000029	XANPAOZ2100_008637-T1	XANCAGTX0491_009906-T1
OG0000030	XANPAOZ2100_003257-T1	XANCAGTX0491_006221-T1
OG0000030	XANPAOZ2100_004333-T1	XANCAGTX0491_001730-T1
OG0000030	XANPAOZ2100_003258-T1	XANCAGTX0491_001730-T2
OG0000031	XANPAOZ2100_002739-T1	XANCAGTX0491_003407-T1
OG0000031	XANPAOZ2100_002740-T1, XANPAOZ2100_008337-T1, XANPAOZ2100_008336-T1	XANCAGTX0491_002162-T1
OG0000032	XANPAOZ2100_003358-T1	XANCAGTX0491_006105-T1
OG0000032	XANPAOZ2100_005195-T1	XANCAGTX0491_005490-T1
OG0000032	XANPAOZ2100_005625-T1, XANPAOZ2100_004661-T1	XANCAGTX0491_006070-T1
OG0000033	XANPAOZ2100_003380-T1	XANCAGTX0491_006077-T1
OG0000034	XANPAOZ2100_007505-T1	XANCAGTX0491_007996-T1
OG0000034	XANPAOZ2100_007158-T1	XANCAGTX0491_007355-T1
OG0000035	XANPAOZ2100_008728-T1	XANCAGTX0491_009311-T1
OG0000035	XANPAOZ2100_007511-T1	XANCAGTX0491_007989-T1
OG0000037	XANPAOZ2100_005602-T1	XANCAGTX0491_008810-T1
OG0000037	XANPAOZ2100_004979-T1	XANCAGTX0491_000460-T1, XANCAGTX0491_007997-T1, XANCAGTX0491_005737-T1
OG0000038	XANPAOZ2100_001273-T1	XANCAGTX0491_002519-T1
OG0000038	XANPAOZ2100_000540-T1	XANCAGTX0491_000790-T1
OG0000039	XANPAOZ2100_000422-T1	XANCAGTX0491_000918-T3, XANCAGTX0491_000918-T1
OG0000039	XANPAOZ2100_008764-T1	XANCAGTX0491_009350-T1
OG0000040	XANPAOZ2100_008077-T1	XANCAGTX0491_002455-T1, XANCAGTX0491_002456-T1
OG0000040	XANPAOZ2100_000333-T1	XANCAGTX0491_001019-T1
OG0000041	XANPAOZ2100_004305-T1	XANCAGTX0491_001761-T1
OG0000041	XANPAOZ2100_003471-T1	XANCAGTX0491_004717-T1
OG0000042	XANPAOZ2100_008400-T1	XANCAGTX0491_002094-T1
OG0000042	XANPAOZ2100_001659-T1	XANCAGTX0491_005447-T1, XANCAGTX0491_002930-T1
OG0000043	XANPAOZ2100_001547-T1	XANCAGTX0491_002812-T1
OG0000044	XANPAOZ2100_002048-T1	XANCAGTX0491_003360-T1
OG0000044	XANPAOZ2100_003349-T1	XANCAGTX0491_006116-T1
OG0000045	XANPAOZ2100_003638-T1	XANCAGTX0491_004530-T2, XANCAGTX0491_004530-T1
OG0000045	XANPAOZ2100_002778-T1, XANPAOZ2100_003383-T1	XANCAGTX0491_006756-T1
OG0000046	XANPAOZ2100_005465-T1	XANCAGTX0491_008664-T1
OG0000046	XANPAOZ2100_007086-T1	XANCAGTX0491_007431-T2, XANCAGTX0491_007431-T1
OG0000047	XANPAOZ2100_006748-T1	XANCAGTX0491_007785-T1
OG0000048	XANPAOZ2100_000509-T1	XANCAGTX0491_000823-T1
OG0000048	XANPAOZ2100_000353-T1	XANCAGTX0491_000025-T1, XANCAGTX0491_000997-T1
OG0000049	XANPAOZ2100_000407-T1	XANCAGTX0491_000936-T1, XANCAGTX0491_004822-T1, XANCAGTX0491_000936-T2
OG0000050	XANPAOZ2100_005414-T1	XANCAGTX0491_008602-T1
OG0000050	XANPAOZ2100_000097-T1	XANCAGTX0491_001280-T1
OG0000051	XANPAOZ2100_004631-T1	XANCAGTX0491_001396-T1
OG0000051	XANPAOZ2100_007477-T1	XANCAGTX0491_008027-T1
OG0000052	XANPAOZ2100_004615-T1	XANCAGTX0491_001407-T1
OG0000053	XANPAOZ2100_004431-T1	XANCAGTX0491_010032-T1, XANCAGTX0491_002627-T1, XANCAGTX0491_001627-T1
OG0000054	XANPAOZ2100_002199-T1	XANCAGTX0491_004006-T1
OG0000054	XANPAOZ2100_005597-T1	XANCAGTX0491_008806-T1
OG0000055	XANPAOZ2100_008425-T1	XANCAGTX0491_009665-T1
OG0000055	XANPAOZ2100_004281-T1	XANCAGTX0491_004812-T1, XANCAGTX0491_001788-T1
OG0000056	XANPAOZ2100_004226-T1	XANCAGTX0491_001848-T1
OG0000056	XANPAOZ2100_005078-T1	XANCAGTX0491_008163-T1, XANCAGTX0491_005630-T1
OG0000057	XANPAOZ2100_008398-T1	XANCAGTX0491_002096-T1
OG0000058	XANPAOZ2100_006216-T1	XANCAGTX0491_007338-T1
OG0000058	XANPAOZ2100_008089-T1	XANCAGTX0491_002443-T1
OG0000059	XANPAOZ2100_002949-T1	XANCAGTX0491_006562-T1
OG0000059	XANPAOZ2100_001399-T1	XANCAGTX0491_002653-T1
OG0000060	XANPAOZ2100_005017-T1	XANCAGTX0491_005695-T1
OG0000060	XANPAOZ2100_001498-T1	XANCAGTX0491_002754-T1
OG0000061	XANPAOZ2100_007426-T1	XANCAGTX0491_008095-T1
OG0000061	XANPAOZ2100_001637-T1	XANCAGTX0491_002905-T1
OG0000062	XANPAOZ2100_001915-T1	XANCAGTX0491_003224-T2, XANCAGTX0491_003224-T1, XANCAGTX0491_008372-T1, XANCAGTX0491_004826-T1, XANCAGTX0491_005584-T1, XANCAGTX0491_006831-T1
OG0000063	XANPAOZ2100_005748-T1	XANCAGTX0491_004919-T1
OG0000063	XANPAOZ2100_002045-T1	XANCAGTX0491_003358-T1
OG0000064	XANPAOZ2100_002314-T1, XANPAOZ2100_002315-T1	XANCAGTX0491_003887-T1, XANCAGTX0491_003887-T3, XANCAGTX0491_003887-T2
OG0000065	XANPAOZ2100_004004-T1	XANCAGTX0491_004141-T1
OG0000065	XANPAOZ2100_002749-T1	XANCAGTX0491_006786-T1
OG0000066	XANPAOZ2100_006660-T1	XANCAGTX0491_006839-T1
OG0000066	XANPAOZ2100_003805-T1	XANCAGTX0491_004346-T1
OG0000067	XANPAOZ2100_003035-T1	XANCAGTX0491_006469-T1
OG0000067	XANPAOZ2100_003527-T1	XANCAGTX0491_004648-T1
OG0000068	XANPAOZ2100_003095-T1	XANCAGTX0491_006400-T1
OG0000068	XANPAOZ2100_007193-T1	XANCAGTX0491_004881-T1, XANCAGTX0491_008356-T1
OG0000069	XANPAOZ2100_005601-T1	XANCAGTX0491_008809-T1
OG0000070	XANPAOZ2100_005839-T1	XANCAGTX0491_005039-T3, XANCAGTX0491_005039-T1, XANCAGTX0491_005039-T2
OG0000071	XANPAOZ2100_006151-T1	XANCAGTX0491_005394-T1
OG0000072	XANPAOZ2100_005229-T1	XANCAGTX0491_005751-T1
OG0000073	XANPAOZ2100_006392-T1	XANCAGTX0491_007137-T1
OG0000073	XANPAOZ2100_005386-T1	XANCAGTX0491_008574-T1
OG0000074	XANPAOZ2100_006268-T1	XANCAGTX0491_007276-T1
OG0000074	XANPAOZ2100_007972-T1, XANPAOZ2100_004016-T1	XANCAGTX0491_008928-T1
OG0000075	XANPAOZ2100_007507-T1	XANCAGTX0491_007994-T1
OG0000076	XANPAOZ2100_001112-T1	XANCAGTX0491_000151-T1
OG0000076	XANPAOZ2100_008732-T1	XANCAGTX0491_009306-T1
OG0000077	XANPAOZ2100_001111-T1	XANCAGTX0491_000152-T1
OG0000077	XANPAOZ2100_008730-T1	XANCAGTX0491_009308-T1
OG0000078	XANPAOZ2100_001083-T1	XANCAGTX0491_000181-T1
OG0000078	XANPAOZ2100_001522-T1	XANCAGTX0491_002780-T1
OG0000079	XANPAOZ2100_001662-T1	XANCAGTX0491_000196-T1, XANCAGTX0491_002933-T2
OG0000080	XANPAOZ2100_001071-T1	XANCAGTX0491_000199-T1
OG0000080	XANPAOZ2100_003957-T1	XANCAGTX0491_004183-T1
OG0000081	XANPAOZ2100_001034-T1	XANCAGTX0491_000239-T1
OG0000082	XANPAOZ2100_002870-T1	XANCAGTX0491_006651-T1
OG0000082	XANPAOZ2100_001029-T1	XANCAGTX0491_000245-T1
OG0000083	XANPAOZ2100_000937-T1	XANCAGTX0491_000349-T3, XANCAGTX0491_000349-T2, XANCAGTX0491_000349-T1
OG0000084	XANPAOZ2100_007284-T1	XANCAGTX0491_008255-T1
OG0000084	XANPAOZ2100_000914-T1	XANCAGTX0491_000374-T1
OG0000085	XANPAOZ2100_000779-T1	XANCAGTX0491_000531-T1
OG0000086	XANPAOZ2100_000717-T1	XANCAGTX0491_000592-T1
OG0000086	XANPAOZ2100_004522-T1	XANCAGTX0491_001524-T1
OG0000087	XANPAOZ2100_000675-T1	XANCAGTX0491_000640-T1
OG0000087	XANPAOZ2100_000350-T1	XANCAGTX0491_001000-T1
OG0000088	XANPAOZ2100_000573-T1	XANCAGTX0491_000750-T1
OG0000088	XANPAOZ2100_003537-T1	XANCAGTX0491_004635-T1
OG0000089	XANPAOZ2100_000572-T1	XANCAGTX0491_000751-T1
OG0000089	XANPAOZ2100_000012-T1	XANCAGTX0491_001371-T1
OG0000090	XANPAOZ2100_000399-T1	XANCAGTX0491_000944-T1
OG0000090	XANPAOZ2100_000556-T1	XANCAGTX0491_000772-T1
OG0000091	XANPAOZ2100_000529-T1	XANCAGTX0491_000801-T1
OG0000092	XANPAOZ2100_005278-T1	XANCAGTX0491_008449-T1
OG0000092	XANPAOZ2100_000319-T1	XANCAGTX0491_001035-T1
OG0000093	XANPAOZ2100_004158-T1	XANCAGTX0491_001922-T2, XANCAGTX0491_001922-T1, XANCAGTX0491_005455-T1, XANCAGTX0491_001165-T1, XANCAGTX0491_005454-T1
OG0000094	XANPAOZ2100_003298-T1	XANCAGTX0491_006178-T1
OG0000094	XANPAOZ2100_000133-T1	XANCAGTX0491_001239-T1
OG0000095	XANPAOZ2100_008208-T1	XANCAGTX0491_002304-T1
OG0000095	XANPAOZ2100_005510-T1	XANCAGTX0491_008711-T1, XANCAGTX0491_001493-T1
OG0000096	XANPAOZ2100_004300-T1	XANCAGTX0491_001766-T1, XANCAGTX0491_001766-T3, XANCAGTX0491_001766-T2
OG0000097	XANPAOZ2100_006261-T1	XANCAGTX0491_007283-T1, XANCAGTX0491_007253-T1, XANCAGTX0491_001902-T1, XANCAGTX0491_001903-T1
OG0000098	XANPAOZ2100_006352-T1	XANCAGTX0491_007180-T1
OG0000098	XANPAOZ2100_004143-T1	XANCAGTX0491_001940-T1
OG0000099	XANPAOZ2100_008369-T1	XANCAGTX0491_002129-T1, XANCAGTX0491_005765-T1, XANCAGTX0491_002130-T1, XANCAGTX0491_009991-T1
OG0000100	XANPAOZ2100_008271-T1	XANCAGTX0491_002236-T1
OG0000100	XANPAOZ2100_008607-T1	XANCAGTX0491_009863-T1
OG0000101	XANPAOZ2100_008070-T1	XANCAGTX0491_002464-T1, XANCAGTX0491_002466-T1, XANCAGTX0491_002465-T1
OG0000102	XANPAOZ2100_001333-T1	XANCAGTX0491_002584-T1
OG0000102	XANPAOZ2100_002831-T1	XANCAGTX0491_006703-T1
OG0000103	XANPAOZ2100_001438-T1	XANCAGTX0491_002698-T1
OG0000103	XANPAOZ2100_005349-T1	XANCAGTX0491_008533-T1
OG0000104	XANPAOZ2100_001526-T1	XANCAGTX0491_002786-T1
OG0000104	XANPAOZ2100_006709-T1	XANCAGTX0491_007825-T1
OG0000105	XANPAOZ2100_002577-T1	XANCAGTX0491_003594-T1
OG0000105	XANPAOZ2100_001540-T1	XANCAGTX0491_002805-T1
OG0000106	XANPAOZ2100_001623-T1	XANCAGTX0491_002891-T1, XANCAGTX0491_002891-T2
OG0000107	XANPAOZ2100_001668-T1	XANCAGTX0491_002940-T1, XANCAGTX0491_002941-T1
OG0000108	XANPAOZ2100_001914-T1	XANCAGTX0491_006616-T1, XANCAGTX0491_003222-T1
OG0000109	XANPAOZ2100_001997-T1	XANCAGTX0491_003307-T1
OG0000109	XANPAOZ2100_005643-T1	XANCAGTX0491_004806-T1
OG0000110	XANPAOZ2100_002025-T1	XANCAGTX0491_003332-T1
OG0000110	XANPAOZ2100_002026-T1	XANCAGTX0491_003332-T2
OG0000111	XANPAOZ2100_002488-T1	XANCAGTX0491_003690-T1
OG0000111	XANPAOZ2100_005520-T1	XANCAGTX0491_008720-T1
OG0000112	XANPAOZ2100_002344-T1, XANPAOZ2100_008107-T1	XANCAGTX0491_003850-T1
OG0000113	XANPAOZ2100_002250-T1	XANCAGTX0491_003955-T1
OG0000113	XANPAOZ2100_007146-T1	XANCAGTX0491_007365-T1
OG0000114	XANPAOZ2100_002117-T1	XANCAGTX0491_004085-T1
OG0000115	XANPAOZ2100_003375-T1	XANCAGTX0491_006082-T1
OG0000115	XANPAOZ2100_002832-T1	XANCAGTX0491_004125-T1
OG0000116	XANPAOZ2100_005134-T1	XANCAGTX0491_005566-T1
OG0000116	XANPAOZ2100_002086-T1	XANCAGTX0491_004127-T1
OG0000117	XANPAOZ2100_002869-T1	XANCAGTX0491_006650-T1
OG0000117	XANPAOZ2100_003645-T1	XANCAGTX0491_004518-T1
OG0000118	XANPAOZ2100_003636-T1	XANCAGTX0491_004532-T1
OG0000118	XANPAOZ2100_009008-T1	XANCAGTX0491_009599-T1
OG0000119	XANPAOZ2100_005046-T1	XANCAGTX0491_005660-T2, XANCAGTX0491_004891-T1, XANCAGTX0491_005660-T1
OG0000120	XANPAOZ2100_005831-T1	XANCAGTX0491_005031-T1
OG0000121	XANPAOZ2100_007182-T1	XANCAGTX0491_008367-T1
OG0000121	XANPAOZ2100_006182-T1	XANCAGTX0491_005426-T1
OG0000122	XANPAOZ2100_005163-T1	XANCAGTX0491_005525-T1
OG0000122	XANPAOZ2100_008903-T1	XANCAGTX0491_009493-T2, XANCAGTX0491_009493-T1
OG0000123	XANPAOZ2100_005081-T1	XANCAGTX0491_005627-T1
OG0000123	XANPAOZ2100_008656-T1	XANCAGTX0491_009929-T1
OG0000125	XANPAOZ2100_003363-T1	XANCAGTX0491_006098-T1
OG0000125	XANPAOZ2100_008983-T1	XANCAGTX0491_009574-T1
OG0000126	XANPAOZ2100_006225-T1	XANCAGTX0491_007327-T1
OG0000126	XANPAOZ2100_003079-T1	XANCAGTX0491_006417-T1
OG0000127	XANPAOZ2100_006222-T1	XANCAGTX0491_007333-T1
OG0000127	XANPAOZ2100_002801-T1	XANCAGTX0491_006732-T1
OG0000128	XANPAOZ2100_007634-T1	XANCAGTX0491_007859-T1
OG0000128	XANPAOZ2100_006662-T1	XANCAGTX0491_006837-T1
OG0000129	XANPAOZ2100_006767-T1	XANCAGTX0491_007763-T1
OG0000129	XANPAOZ2100_008915-T1	XANCAGTX0491_009507-T1
OG0000130	XANPAOZ2100_007645-T1, XANPAOZ2100_005642-T1	XANCAGTX0491_007847-T1
OG0000131	XANPAOZ2100_008760-T1	XANCAGTX0491_008516-T1
OG0000132	XANPAOZ2100_005219-T1	XANCAGTX0491_009274-T1
OG0000134	XANPAOZ2100_001124-T1	XANCAGTX0491_008383-T1, XANCAGTX0491_004303-T1, XANCAGTX0491_009670-T1, XANCAGTX0491_000140-T1
OG0000135	XANPAOZ2100_001091-T1, XANPAOZ2100_008703-T1	XANCAGTX0491_000173-T1
OG0000136	XANPAOZ2100_000973-T1	XANCAGTX0491_000309-T1
OG0000137	XANPAOZ2100_000913-T1	XANCAGTX0491_000375-T2, XANCAGTX0491_000375-T1
OG0000138	XANPAOZ2100_000878-T1	XANCAGTX0491_000413-T1
OG0000139	XANPAOZ2100_000716-T1	XANCAGTX0491_000593-T2, XANCAGTX0491_000593-T1
OG0000140	XANPAOZ2100_000714-T1	XANCAGTX0491_000595-T1, XANCAGTX0491_010040-T1
OG0000141	XANPAOZ2100_007506-T1	XANCAGTX0491_000717-T1, XANCAGTX0491_007995-T1
OG0000142	XANPAOZ2100_003473-T1	XANCAGTX0491_000839-T1, XANCAGTX0491_007421-T1
OG0000143	XANPAOZ2100_000361-T1	XANCAGTX0491_000987-T1
OG0000144	XANPAOZ2100_004660-T1	XANCAGTX0491_006071-T1
OG0000144	XANPAOZ2100_000336-T1	XANCAGTX0491_001016-T1
OG0000145	XANPAOZ2100_000215-T1	XANCAGTX0491_001146-T1
OG0000146	XANPAOZ2100_006699-T1	XANCAGTX0491_007838-T1
OG0000146	XANPAOZ2100_000120-T1	XANCAGTX0491_001250-T1
OG0000147	XANPAOZ2100_000104-T1	XANCAGTX0491_001272-T1
OG0000147	XANPAOZ2100_005470-T1	XANCAGTX0491_008669-T1
OG0000148	XANPAOZ2100_000027-T1	XANCAGTX0491_001357-T1
OG0000148	XANPAOZ2100_007721-T1	XANCAGTX0491_009200-T1
OG0000149	XANPAOZ2100_007567-T1	XANCAGTX0491_007933-T1
OG0000149	XANPAOZ2100_000022-T1	XANCAGTX0491_001361-T1
OG0000150	XANPAOZ2100_004467-T1	XANCAGTX0491_001586-T1, XANCAGTX0491_001585-T1, XANCAGTX0491_001587-T1
OG0000151	XANPAOZ2100_008361-T1, XANPAOZ2100_004410-T1	XANCAGTX0491_001647-T1
OG0000152	XANPAOZ2100_008962-T1	XANCAGTX0491_009553-T1, XANCAGTX0491_001706-T1, XANCAGTX0491_009552-T1
OG0000153	XANPAOZ2100_004234-T1	XANCAGTX0491_001839-T2, XANCAGTX0491_001839-T1
OG0000154	XANPAOZ2100_004152-T1	XANCAGTX0491_001928-T1, XANCAGTX0491_001928-T2
OG0000155	XANPAOZ2100_004112-T1	XANCAGTX0491_001971-T1
OG0000155	XANPAOZ2100_008611-T1	XANCAGTX0491_009876-T1
OG0000156	XANPAOZ2100_004020-T1	XANCAGTX0491_002066-T1
OG0000156	XANPAOZ2100_004719-T1	XANCAGTX0491_006009-T1
OG0000157	XANPAOZ2100_002348-T1	XANCAGTX0491_003846-T1, XANCAGTX0491_002075-T1, XANCAGTX0491_006664-T1
OG0000158	XANPAOZ2100_005158-T1	XANCAGTX0491_005533-T1
OG0000158	XANPAOZ2100_008382-T1	XANCAGTX0491_002112-T1
OG0000159	XANPAOZ2100_008105-T1	XANCAGTX0491_002427-T1
OG0000160	XANPAOZ2100_001329-T1	XANCAGTX0491_002580-T1, XANCAGTX0491_002580-T2
OG0000161	XANPAOZ2100_001525-T1	XANCAGTX0491_002784-T1
OG0000161	XANPAOZ2100_005572-T1	XANCAGTX0491_008776-T1
OG0000162	XANPAOZ2100_007167-T1, XANPAOZ2100_005620-T1, XANPAOZ2100_007160-T1, XANPAOZ2100_001549-T1	XANCAGTX0491_002814-T1
OG0000163	XANPAOZ2100_001844-T1	XANCAGTX0491_003145-T1
OG0000164	XANPAOZ2100_006678-T1	XANCAGTX0491_006816-T1
OG0000164	XANPAOZ2100_001725-T1	XANCAGTX0491_003013-T1
OG0000165	XANPAOZ2100_001869-T1	XANCAGTX0491_003173-T1
OG0000165	XANPAOZ2100_002834-T1	XANCAGTX0491_006699-T1
OG0000166	XANPAOZ2100_001873-T1	XANCAGTX0491_003177-T1
OG0000166	XANPAOZ2100_005505-T1	XANCAGTX0491_008705-T1
OG0000167	XANPAOZ2100_002004-T1	XANCAGTX0491_003313-T1
OG0000168	XANPAOZ2100_002008-T1	XANCAGTX0491_003316-T1
OG0000169	XANPAOZ2100_002023-T1	XANCAGTX0491_003329-T1
OG0000170	XANPAOZ2100_008020-T1	XANCAGTX0491_008881-T1
OG0000171	XANPAOZ2100_002051-T1	XANCAGTX0491_003365-T1, XANCAGTX0491_003366-T1
OG0000172	XANPAOZ2100_002068-T1	XANCAGTX0491_009987-T1, XANCAGTX0491_007319-T1
OG0000174	XANPAOZ2100_002728-T1	XANCAGTX0491_003419-T1
OG0000175	XANPAOZ2100_002606-T1	XANCAGTX0491_003560-T2, XANCAGTX0491_003560-T1
