TranscriptID	Sequence	Gene_Start	Gene_End	tyrID	navis	family_hit	tyr_Start	tyr_End	Distance	InterPro
XANPAOZ2100_003945-T1	OZ2100_32	1846277	1847048	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	63974	
XANPAOZ2100_003946-T1	OZ2100_32	1847196	1849229	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	63055	IPR000629 ATP-dependent RNA helicase DEAD-box, conserved site;IPR001650 Helicase, C-terminal;IPR011545 DEAD/DEAH box helicase domain;IPR014001 Helicase superfamily 1/2, ATP-binding domain;IPR014014 RNA helicase, DEAD-box type, Q motif;IPR025313 Domain of unknown function DUF4217;IPR027417 P-loop containing nucleoside triphosphate hydrolase
XANPAOZ2100_003947-T1	OZ2100_32	1849959	1851048	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	60292	IPR037997 CTP-dependent diacylglycerol kinase 1-like
XANPAOZ2100_003949-T1	OZ2100_32	1853024	1854874	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	57227	IPR006084 XPG/Rad2 endonuclease;IPR006085 XPG, N-terminal;IPR006086 XPG-I domain;IPR029060 PIN-like domain superfamily;IPR036279 5'-3' exonuclease, C-terminal domain superfamily;IPR037316 Yen1, H3TH domain;IPR041177 Holliday junction resolvase Gen1, C-terminal domain
XANPAOZ2100_003950-T1	OZ2100_32	1855698	1856292	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	54553	
XANPAOZ2100_003951-T1	OZ2100_32	1856862	1857763	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	53389	
XANPAOZ2100_003952-T1	OZ2100_32	1858215	1860143	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	52036	
XANPAOZ2100_003953-T1	OZ2100_32	1860670	1861449	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	49581	
XANPAOZ2100_003954-T1	OZ2100_32	1862008	1863509	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	48243	IPR002125 Cytidine and deoxycytidylate deaminase domain;IPR016193 Cytidine deaminase-like
XANPAOZ2100_003955-T1	OZ2100_32	1866747	1867230	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	43504	IPR005829 Sugar transporter, conserved site;IPR011701 Major facilitator superfamily;IPR020846 Major facilitator superfamily domain;IPR036259 MFS transporter superfamily
XANPAOZ2100_003957-T1	OZ2100_32	1873387	1874507	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	36864	IPR011009 Protein kinase-like domain superfamily;IPR016477 Fructosamine/Ketosamine-3-kinase
XANPAOZ2100_003958-T1	OZ2100_32	1874939	1875444	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	35312	IPR001806 Small GTPase;IPR003578 Small GTPase Rho;IPR027417 P-loop containing nucleoside triphosphate hydrolase
XANPAOZ2100_003959-T1	OZ2100_32	1875686	1877462	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	34565	IPR001406 Pseudouridine synthase I, TruA;IPR020094 Pseudouridine synthase TruA/RsuA/RluB/E/F, N-terminal;IPR020095 Pseudouridine synthase I, TruA, C-terminal;IPR020097 Pseudouridine synthase I, TruA, alpha/beta domain;IPR020103 Pseudouridine synthase, catalytic domain superfamily
XANPAOZ2100_003960-T1	OZ2100_32	1877634	1878255	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	32617	IPR005574 RNA polymerase subunit Rpb4/RPC9;IPR010997 HRDC-like superfamily;IPR038324 Rpb4/RPC9 superfamily;IPR038846 DNA-directed RNA polymerase III subunit RPC9
XANPAOZ2100_003961-T1	OZ2100_32	1878602	1880987	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	31649	IPR002687 Nop domain;IPR012976 NOSIC;IPR036070 Nop domain superfamily;IPR042239 Nop, C-terminal domain;IPR045056 Nucleolar protein Nop56/Nop58
XANPAOZ2100_003962-T1	OZ2100_32	1881275	1882528	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	28976	IPR002843 ATPase, V0 complex, c/d subunit;IPR016727 ATPase, V0 complex, subunit d;IPR035067 V-type ATPase subunit C/d;IPR036079 V-type ATP synthase subunit c/d subunit superfamily;IPR044911 V-type ATP synthase c/d subunit, domain 3 superfamily
XANPAOZ2100_003964-T1	OZ2100_32	1884920	1886530	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	25331	IPR003959 ATPase, AAA-type, core;IPR027417 P-loop containing nucleoside triphosphate hydrolase
XANPAOZ2100_003965-T1	OZ2100_32	1887973	1890230	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	22278	IPR002293 Amino acid/polyamine transporter I
XANPAOZ2100_003966-T1	OZ2100_32	1891858	1892716	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	18393	
XANPAOZ2100_003967-T1	OZ2100_32	1892719	1893280	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	17532	
XANPAOZ2100_003969-T1	OZ2100_32	1906325	1906904	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	3926	IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR040976 Fungal-type protein kinase
XANPAOZ2100_003970-T1	OZ2100_32	1907051	1907652	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	3200	
XANPAOZ2100_003971-T1	OZ2100_32	1910088	1912801	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	0	IPR021842 Protein of unknown function DUF3435
XANPAOZ2100_003948-T1	OZ2100_32	1851181	1852834	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	59070	IPR004000 Actin family;IPR027127 None;IPR043129 ATPase, nucleotide binding domain
XANPAOZ2100_003956-T1	OZ2100_32	1867662	1872807	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	39994	IPR001680 WD40 repeat;IPR007111 NACHT nucleoside triphosphatase;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR029058 Alpha/Beta hydrolase fold;IPR036322 WD40-repeat-containing domain superfamily
XANPAOZ2100_003963-T1	OZ2100_32	1883339	1884567	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	26912	IPR008183 Aldose 1-/Glucose-6-phosphate 1-epimerase;IPR011013 Galactose mutarotase-like domain superfamily;IPR014718 Glycoside hydrolase-type carbohydrate-binding
XANPAOZ2100_003968-T1	OZ2100_32	1900358	1903567	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	9234	IPR002151 Kinesin light chain;IPR011990 Tetratricopeptide-like helical domain superfamily;IPR019734 Tetratricopeptide repeat
XANPAOZ2100_003941-T1	OZ2100_32	1834414	1837737	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	75064	IPR007111 NACHT nucleoside triphosphatase;IPR027417 P-loop containing nucleoside triphosphate hydrolase
XANPAOZ2100_005252-T1	OZ2100_35	265314	267499	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	91825	IPR001128 Cytochrome P450;IPR002401 Cytochrome P450, E-class, group I;IPR017972 Cytochrome P450, conserved site;IPR036396 Cytochrome P450 superfamily
XANPAOZ2100_005253-T1	OZ2100_35	268296	268992	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	90332	IPR004045 Glutathione S-transferase, N-terminal;IPR036249 Thioredoxin-like superfamily
XANPAOZ2100_005254-T1	OZ2100_35	269973	274390	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	84934	IPR002293 Amino acid/polyamine transporter I
XANPAOZ2100_005255-T1	OZ2100_35	280387	281827	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	77497	IPR013057 Amino acid transporter, transmembrane domain
XANPAOZ2100_005256-T1	OZ2100_35	282785	284106	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	75218	IPR012912 Plasmid pRiA4b, Orf3;IPR024047 MM3350-like superfamily
XANPAOZ2100_005257-T1	OZ2100_35	285138	285672	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	73652	
XANPAOZ2100_005258-T1	OZ2100_35	287496	290175	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	69149	IPR004095 TGS;IPR004396 Ribosome-binding ATPase YchF/Obg-like ATPase 1;IPR006073 GTP binding domain;IPR008580 PPPDE peptidase domain;IPR012675 Beta-grasp domain superfamily;IPR012676 TGS-like;IPR013029 YchF, C-terminal domain;IPR023192 TGS-like domain superfamily;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR031167 OBG-type guanine nucleotide-binding (G) domain;IPR041706 YchF, N-terminal;IPR042266 PPPDE peptidase domain superfamily
XANPAOZ2100_005259-T1	OZ2100_35	290873	292062	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	67262	IPR011032 GroES-like superfamily;IPR020843 Polyketide synthase, enoylreductase domain;IPR036291 NAD(P)-binding domain superfamily
XANPAOZ2100_005260-T1	OZ2100_35	292363	293336	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	65988	IPR003604 Matrin/U1-C-like, C2H2-type zinc finger;IPR013085 U1-C, C2H2-type zinc finger;IPR036236 Zinc finger C2H2 superfamily;IPR040023 WW domain-binding protein 4
XANPAOZ2100_005261-T1	OZ2100_35	293827	294668	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	64656	IPR019331 FAM192A/Fyv6, N-terminal;IPR039845 PSME3-interacting protein
XANPAOZ2100_005262-T1	OZ2100_35	295202	297206	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	62118	
XANPAOZ2100_005263-T1	OZ2100_35	298518	299887	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	59437	IPR001107 Band 7 domain;IPR001972 Stomatin/HflK family;IPR032435 Band 7, C-terminal extension;IPR036013 Band 7/SPFH domain superfamily
XANPAOZ2100_005264-T1	OZ2100_35	300552	302061	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	57263	IPR002685 Glycosyl transferase, family 15;IPR029044 Nucleotide-diphospho-sugar transferases
XANPAOZ2100_005265-T1	OZ2100_35	302433	305397	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	53927	IPR001680 WD40 repeat;IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily;IPR011494 Protein HIRA-like, C-terminal;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR019015 HIRA B motif;IPR031120 WD repeat HIR1-like;IPR036322 WD40-repeat-containing domain superfamily
XANPAOZ2100_005266-T1	OZ2100_35	305415	305822	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	53502	IPR001680 WD40 repeat;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR031120 WD repeat HIR1-like;IPR036322 WD40-repeat-containing domain superfamily
XANPAOZ2100_005267-T1	OZ2100_35	306451	307297	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	52027	IPR001971 Ribosomal protein S11;IPR036967 Ribosomal protein S11 superfamily
XANPAOZ2100_005268-T1	OZ2100_35	307560	309266	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	50058	IPR007379 Tim44-like domain;IPR032710 NTF2-like domain superfamily;IPR039544 Tim44-like
XANPAOZ2100_005270-T1	OZ2100_35	314815	315939	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	43385	IPR000704 Casein kinase II, regulatory subunit;IPR016149 Casein kinase II, regulatory subunit, N-terminal;IPR035991 Casein kinase II subunit beta-like
XANPAOZ2100_005271-T1	OZ2100_35	317074	317426	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	41898	
XANPAOZ2100_005272-T1	OZ2100_35	317773	321045	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	38279	IPR009771 Ribosome control protein 1;IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR040096 RAB6A-GEF complex partner protein 1
XANPAOZ2100_005273-T1	OZ2100_35	322010	323243	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	36081	IPR013087 Zinc finger C2H2-type;IPR036236 Zinc finger C2H2 superfamily
XANPAOZ2100_005274-T1	OZ2100_35	325239	325794	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	33530	IPR003807 Domain of unknown function DUF202
XANPAOZ2100_005275-T1	OZ2100_35	326112	326909	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	32415	IPR002478 PUA domain;IPR004521 Uncharacterised domain CHP00451;IPR015947 PUA-like superfamily;IPR016437 MCT-1/Tma20;IPR041366 Pre-PUA domain
XANPAOZ2100_005276-T1	OZ2100_35	328564	329200	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	30124	IPR036908 RlpA-like domain superfamily
XANPAOZ2100_005277-T1	OZ2100_35	331818	336162	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	23162	IPR016024 Armadillo-type fold;IPR026829 None;IPR032691 Mon2/Sec7/BIG1-like, HUS domain;IPR032817 Mon2, C-terminal
XANPAOZ2100_005278-T1	OZ2100_35	339739	341246	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	18078	IPR001128 Cytochrome P450;IPR002401 Cytochrome P450, E-class, group I;IPR017972 Cytochrome P450, conserved site;IPR036396 Cytochrome P450 superfamily
XANPAOZ2100_005279-T1	OZ2100_35	341489	343386	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	15938	IPR000572 Oxidoreductase, molybdopterin-binding domain;IPR001199 Cytochrome b5-like heme/steroid binding domain;IPR005066 Moybdenum cofactor oxidoreductase, dimerisation;IPR008335 Eukaryotic molybdopterin oxidoreductase;IPR014756 Immunoglobulin E-set;IPR036374 Oxidoreductase, molybdopterin-binding domain superfamily;IPR036400 Cytochrome b5-like heme/steroid binding domain superfamily
XANPAOZ2100_005269-T1	OZ2100_35	310301	313922	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	45402	IPR002110 Ankyrin repeat;IPR003123 VPS9 domain;IPR036770 Ankyrin repeat-containing domain superfamily;IPR036871 PX domain superfamily;IPR037191 VPS9 domain superfamily
XANPAOZ2100_005251-T1	OZ2100_35	261674	263997	XANPAOZ2100_tyr3	navis0008	moyaFam	359121	359324	95327	
XANPAOZ2100_005252-T1	OZ2100_35	265314	267499	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	92778	IPR001128 Cytochrome P450;IPR002401 Cytochrome P450, E-class, group I;IPR017972 Cytochrome P450, conserved site;IPR036396 Cytochrome P450 superfamily
XANPAOZ2100_005253-T1	OZ2100_35	268296	268992	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	91285	IPR004045 Glutathione S-transferase, N-terminal;IPR036249 Thioredoxin-like superfamily
XANPAOZ2100_005254-T1	OZ2100_35	269973	274390	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	85887	IPR002293 Amino acid/polyamine transporter I
XANPAOZ2100_005255-T1	OZ2100_35	280387	281827	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	78450	IPR013057 Amino acid transporter, transmembrane domain
XANPAOZ2100_005256-T1	OZ2100_35	282785	284106	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	76171	IPR012912 Plasmid pRiA4b, Orf3;IPR024047 MM3350-like superfamily
XANPAOZ2100_005257-T1	OZ2100_35	285138	285672	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	74605	
XANPAOZ2100_005258-T1	OZ2100_35	287496	290175	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	70102	IPR004095 TGS;IPR004396 Ribosome-binding ATPase YchF/Obg-like ATPase 1;IPR006073 GTP binding domain;IPR008580 PPPDE peptidase domain;IPR012675 Beta-grasp domain superfamily;IPR012676 TGS-like;IPR013029 YchF, C-terminal domain;IPR023192 TGS-like domain superfamily;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR031167 OBG-type guanine nucleotide-binding (G) domain;IPR041706 YchF, N-terminal;IPR042266 PPPDE peptidase domain superfamily
XANPAOZ2100_005259-T1	OZ2100_35	290873	292062	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	68215	IPR011032 GroES-like superfamily;IPR020843 Polyketide synthase, enoylreductase domain;IPR036291 NAD(P)-binding domain superfamily
XANPAOZ2100_005260-T1	OZ2100_35	292363	293336	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	66941	IPR003604 Matrin/U1-C-like, C2H2-type zinc finger;IPR013085 U1-C, C2H2-type zinc finger;IPR036236 Zinc finger C2H2 superfamily;IPR040023 WW domain-binding protein 4
XANPAOZ2100_005261-T1	OZ2100_35	293827	294668	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	65609	IPR019331 FAM192A/Fyv6, N-terminal;IPR039845 PSME3-interacting protein
XANPAOZ2100_005262-T1	OZ2100_35	295202	297206	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	63071	
XANPAOZ2100_005263-T1	OZ2100_35	298518	299887	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	60390	IPR001107 Band 7 domain;IPR001972 Stomatin/HflK family;IPR032435 Band 7, C-terminal extension;IPR036013 Band 7/SPFH domain superfamily
XANPAOZ2100_005264-T1	OZ2100_35	300552	302061	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	58216	IPR002685 Glycosyl transferase, family 15;IPR029044 Nucleotide-diphospho-sugar transferases
XANPAOZ2100_005265-T1	OZ2100_35	302433	305397	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	54880	IPR001680 WD40 repeat;IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily;IPR011494 Protein HIRA-like, C-terminal;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR019015 HIRA B motif;IPR031120 WD repeat HIR1-like;IPR036322 WD40-repeat-containing domain superfamily
XANPAOZ2100_005266-T1	OZ2100_35	305415	305822	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	54346	IPR001680 WD40 repeat;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR031120 WD repeat HIR1-like;IPR036322 WD40-repeat-containing domain superfamily
XANPAOZ2100_005267-T1	OZ2100_35	306451	307297	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	52980	IPR001971 Ribosomal protein S11;IPR036967 Ribosomal protein S11 superfamily
XANPAOZ2100_005268-T1	OZ2100_35	307560	309266	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	51011	IPR007379 Tim44-like domain;IPR032710 NTF2-like domain superfamily;IPR039544 Tim44-like
XANPAOZ2100_005270-T1	OZ2100_35	314815	315939	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	44338	IPR000704 Casein kinase II, regulatory subunit;IPR016149 Casein kinase II, regulatory subunit, N-terminal;IPR035991 Casein kinase II subunit beta-like
XANPAOZ2100_005271-T1	OZ2100_35	317074	317426	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	42687	
XANPAOZ2100_005272-T1	OZ2100_35	317773	321045	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	39232	IPR009771 Ribosome control protein 1;IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR040096 RAB6A-GEF complex partner protein 1
XANPAOZ2100_005273-T1	OZ2100_35	322010	323243	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	37034	IPR013087 Zinc finger C2H2-type;IPR036236 Zinc finger C2H2 superfamily
XANPAOZ2100_005274-T1	OZ2100_35	325239	325794	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	34483	IPR003807 Domain of unknown function DUF202
XANPAOZ2100_005275-T1	OZ2100_35	326112	326909	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	33368	IPR002478 PUA domain;IPR004521 Uncharacterised domain CHP00451;IPR015947 PUA-like superfamily;IPR016437 MCT-1/Tma20;IPR041366 Pre-PUA domain
XANPAOZ2100_005276-T1	OZ2100_35	328564	329200	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	31077	IPR036908 RlpA-like domain superfamily
XANPAOZ2100_005277-T1	OZ2100_35	331818	336162	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	24115	IPR016024 Armadillo-type fold;IPR026829 None;IPR032691 Mon2/Sec7/BIG1-like, HUS domain;IPR032817 Mon2, C-terminal
XANPAOZ2100_005278-T1	OZ2100_35	339739	341246	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	19031	IPR001128 Cytochrome P450;IPR002401 Cytochrome P450, E-class, group I;IPR017972 Cytochrome P450, conserved site;IPR036396 Cytochrome P450 superfamily
XANPAOZ2100_005279-T1	OZ2100_35	341489	343386	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	16891	IPR000572 Oxidoreductase, molybdopterin-binding domain;IPR001199 Cytochrome b5-like heme/steroid binding domain;IPR005066 Moybdenum cofactor oxidoreductase, dimerisation;IPR008335 Eukaryotic molybdopterin oxidoreductase;IPR014756 Immunoglobulin E-set;IPR036374 Oxidoreductase, molybdopterin-binding domain superfamily;IPR036400 Cytochrome b5-like heme/steroid binding domain superfamily
XANPAOZ2100_005280-T1	OZ2100_35	359390	359658	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	371	
XANPAOZ2100_005269-T1	OZ2100_35	310301	313922	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	46355	IPR002110 Ankyrin repeat;IPR003123 VPS9 domain;IPR036770 Ankyrin repeat-containing domain superfamily;IPR036871 PX domain superfamily;IPR037191 VPS9 domain superfamily
XANPAOZ2100_005251-T1	OZ2100_35	261674	263997	XANPAOZ2100_tyr4	navis0009	clade2	359761	360277	96280	
XANPAOZ2100_008949-T1	OZ2100_43	830949	833479	XANPAOZ2100_008954-T1	navis0003	galacticaFam	931278	932679	99200	
XANPAOZ2100_008950-T1	OZ2100_43	833877	834769	XANPAOZ2100_008954-T1	navis0003	galacticaFam	931278	932679	97401	
XANPAOZ2100_008951-T1	OZ2100_43	836940	837314	XANPAOZ2100_008954-T1	navis0003	galacticaFam	931278	932679	94338	
XANPAOZ2100_008952-T1	OZ2100_43	927886	928594	XANPAOZ2100_008954-T1	navis0003	galacticaFam	931278	932679	3392	
XANPAOZ2100_008953-T1	OZ2100_43	928697	929549	XANPAOZ2100_008954-T1	navis0003	galacticaFam	931278	932679	2581	
XANPARI20_004476-T1	scaffold_4	1211618	1212201	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	98542	IPR001765 Carbonic anhydrase;IPR036874 Carbonic anhydrase superfamily
XANPARI20_004477-T1	scaffold_4	1212831	1213713	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	97030	IPR001841 Zinc finger, RING-type;IPR013083 Zinc finger, RING/FYVE/PHD-type
XANPARI20_004478-T1	scaffold_4	1216347	1221234	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	89509	
XANPARI20_004479-T1	scaffold_4	1224981	1226532	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	84211	
XANPARI20_004480-T1	scaffold_4	1230458	1231052	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	79691	
XANPARI20_004481-T1	scaffold_4	1231529	1232075	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	78668	IPR000210 BTB/POZ domain;IPR011333 SKP1/BTB/POZ domain superfamily
XANPARI20_004482-T1	scaffold_4	1233668	1234859	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	75884	
XANPARI20_004483-T1	scaffold_4	1235644	1236184	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	74559	IPR010730 Heterokaryon incompatibility
XANPARI20_004484-T1	scaffold_4	1236685	1237234	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	73509	
XANPARI20_004486-T1	scaffold_4	1269096	1270861	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	39882	
XANPARI20_004487-T1	scaffold_4	1272070	1272487	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	38149	
XANPARI20_004488-T1	scaffold_4	1274075	1275048	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	35695	
XANPARI20_004489-T1	scaffold_4	1285268	1287983	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	22760	IPR004712 Na+/H+ antiporter, fungi;IPR006153 Cation/H+ exchanger;IPR013928 Alkali metal cation/H+ antiporter Nha1, C-terminal
XANPARI20_004490-T1	scaffold_4	1291160	1291801	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	18942	
XANPARI20_004492-T1	scaffold_4	1294821	1295946	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	14797	
XANPARI20_004493-T1	scaffold_4	1296144	1296469	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	14075	
XANPARI20_004494-T1	scaffold_4	1301424	1301916	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	8795	
XANPARI20_004495-T1	scaffold_4	1302043	1302303	XANPARI20_tyr17	navis0007	phoenixFam	1310219	1310743	8176	
