Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n22	0.75	Non-Terminal	XANPAGTX0501_005935-T1, XANPAOZ2100_007354-T1, XANPARI20_003355-T1	XANPAGTX0501_005070-T1, XANPAOZ2100_000020-T1, XANPARI20_006272-T1, XANPAOZ2100_004668-T1, XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n25	0.5	Non-Terminal	XANPAGTX0501_005070-T1, XANPAOZ2100_000020-T1	XANPARI20_006272-T1, XANPAOZ2100_004668-T1, XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n27	0.5	Non-Terminal	XANPARI20_006272-T1, XANPAOZ2100_004668-T1	XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n29	0.5	Non-Terminal	XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1	XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n32	0.25	Non-Terminal	XANPAOZ2100_004006-T1	XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n33	0.25	Non-Terminal	XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1	XANPAOZ2100_004642-T1
OG0000001	N0	n0	1.0	Non-Terminal	XANPAGTX0501_001713-T1, XANPAOZ2100_004645-T1, XANPARI20_002582-T1, XANPARI20_005693-T1, XANCAGTX0491_001389-T1	XANPAOZ2100_003364-T1, XANPARI20_002541-T1, XANCAGTX0491_006095-T1, XANPAGTX0501_005585-T1, XANCAGTX0491_005583-T1, XANPARI20_005800-T1, XANPAOZ2100_005121-T1, XANPAGTX0501_005490-T1, XANPAOZ2100_005043-T1, XANCAGTX0491_005665-T1, XANPARI20_005877-T1, XANPAOZ2100_006696-T1, XANPAGTX0501_009609-T1, XANCAGTX0491_007841-T1, XANPAGTX0501_003182-T1, XANPAOZ2100_002754-T1, XANCAGTX0491_006779-T1
OG0000001	Xanthoria_parietina_SAMEA115359166	n4	1.0	Terminal	XANPARI20_002582-T1	XANPARI20_005693-T1
OG0000001	N0	n5	0.75	Non-Terminal	XANPAOZ2100_003364-T1, XANPARI20_002541-T1, XANCAGTX0491_006095-T1, XANPAGTX0501_005585-T1, XANCAGTX0491_005583-T1, XANPARI20_005800-T1, XANPAOZ2100_005121-T1, XANPAGTX0501_005490-T1, XANPAOZ2100_005043-T1, XANCAGTX0491_005665-T1, XANPARI20_005877-T1	XANPAOZ2100_006696-T1, XANPAGTX0501_009609-T1, XANCAGTX0491_007841-T1, XANPAGTX0501_003182-T1, XANPAOZ2100_002754-T1, XANCAGTX0491_006779-T1
OG0000001	N0	n6	0.75	Non-Terminal	XANPAOZ2100_003364-T1, XANPARI20_002541-T1, XANCAGTX0491_006095-T1	XANPAGTX0501_005585-T1, XANCAGTX0491_005583-T1, XANPARI20_005800-T1, XANPAOZ2100_005121-T1, XANPAGTX0501_005490-T1, XANPAOZ2100_005043-T1, XANCAGTX0491_005665-T1, XANPARI20_005877-T1
OG0000001	N0	n9	1.0	Non-Terminal	XANPAGTX0501_005585-T1, XANCAGTX0491_005583-T1, XANPARI20_005800-T1, XANPAOZ2100_005121-T1	XANPAGTX0501_005490-T1, XANPAOZ2100_005043-T1, XANCAGTX0491_005665-T1, XANPARI20_005877-T1
OG0000001	N0	n16	0.75	Non-Terminal	XANPAOZ2100_006696-T1, XANPAGTX0501_009609-T1, XANCAGTX0491_007841-T1	XANPAGTX0501_003182-T1, XANPAOZ2100_002754-T1, XANCAGTX0491_006779-T1
OG0000002	N0	n0	1.0	Non-Terminal	XANCAGTX0491_004802-T1, XANPAOZ2100_005639-T1, XANPARI20_007334-T1, XANPAGTX0501_010464-T1	XANPARI20_001054-T1, XANPAGTX0501_004622-T1, XANPAOZ2100_000405-T1, XANCAGTX0491_000938-T1, XANPAGTX0501_005742-T1, XANPAOZ2100_007195-T1, XANPARI20_003186-T1, XANCAGTX0491_008354-T1, XANPARI20_008238-T1, XANPAOZ2100_006783-T1, XANPAGTX0501_008852-T1, XANCAGTX0491_007749-T1, XANCAGTX0491_007322-T1, XANCAGTX0491_007322-T2, XANPARI20_005003-T1, XANPAGTX0501_006319-T1, XANPAOZ2100_006227-T1
OG0000002	N0	n4	1.0	Non-Terminal	XANPARI20_001054-T1, XANPAGTX0501_004622-T1, XANPAOZ2100_000405-T1, XANCAGTX0491_000938-T1, XANPAGTX0501_005742-T1, XANPAOZ2100_007195-T1, XANPARI20_003186-T1, XANCAGTX0491_008354-T1, XANPARI20_008238-T1, XANPAOZ2100_006783-T1, XANPAGTX0501_008852-T1, XANCAGTX0491_007749-T1	XANCAGTX0491_007322-T1, XANCAGTX0491_007322-T2, XANPARI20_005003-T1, XANPAGTX0501_006319-T1, XANPAOZ2100_006227-T1
OG0000002	N0	n5	1.0	Non-Terminal	XANPARI20_001054-T1, XANPAGTX0501_004622-T1, XANPAOZ2100_000405-T1, XANCAGTX0491_000938-T1, XANPAGTX0501_005742-T1, XANPAOZ2100_007195-T1, XANPARI20_003186-T1, XANCAGTX0491_008354-T1	XANPARI20_008238-T1, XANPAOZ2100_006783-T1, XANPAGTX0501_008852-T1, XANCAGTX0491_007749-T1
OG0000002	N0	n6	1.0	Non-Terminal	XANPARI20_001054-T1, XANPAGTX0501_004622-T1, XANPAOZ2100_000405-T1, XANCAGTX0491_000938-T1	XANPAGTX0501_005742-T1, XANPAOZ2100_007195-T1, XANPARI20_003186-T1, XANCAGTX0491_008354-T1
OG0000002	Xanthoria_calcicola_GTX0491	n17	1.0	Terminal	XANCAGTX0491_007322-T1	XANCAGTX0491_007322-T2
OG0000003	N0	n0	1.0	Non-Terminal	XANPARI20_003634-T1, XANPAOZ2100_007632-T1, XANPAGTX0501_006264-T1, XANCAGTX0491_007861-T1	XANPAGTX0501_006467-T1, XANPARI20_004872-T1, XANPAOZ2100_006353-T1, XANCAGTX0491_007178-T1, XANCAGTX0491_006063-T1, XANPAOZ2100_002901-T1, XANPARI20_002017-T1, XANPAGTX0501_003347-T1, XANCAGTX0491_006619-T1, XANPAGTX0501_009732-T1, XANPAOZ2100_004666-T1, XANCAGTX0491_006062-T1, XANPARI20_006275-T1, XANPARI20_000263-T1, XANPAOZ2100_008743-T1, XANCAGTX0491_009324-T1
OG0000003	N0	n4	1.0	Non-Terminal	XANPAGTX0501_006467-T1, XANPARI20_004872-T1, XANPAOZ2100_006353-T1, XANCAGTX0491_007178-T1	XANCAGTX0491_006063-T1, XANPAOZ2100_002901-T1, XANPARI20_002017-T1, XANPAGTX0501_003347-T1, XANCAGTX0491_006619-T1, XANPAGTX0501_009732-T1, XANPAOZ2100_004666-T1, XANCAGTX0491_006062-T1, XANPARI20_006275-T1, XANPARI20_000263-T1, XANPAOZ2100_008743-T1, XANCAGTX0491_009324-T1
OG0000003	N0	n8	0.25	Non-Terminal	XANCAGTX0491_006063-T1	XANPAOZ2100_002901-T1, XANPARI20_002017-T1, XANPAGTX0501_003347-T1, XANCAGTX0491_006619-T1, XANPAGTX0501_009732-T1, XANPAOZ2100_004666-T1, XANCAGTX0491_006062-T1, XANPARI20_006275-T1, XANPARI20_000263-T1, XANPAOZ2100_008743-T1, XANCAGTX0491_009324-T1
OG0000003	N0	n9	1.0	Non-Terminal	XANPAOZ2100_002901-T1, XANPARI20_002017-T1, XANPAGTX0501_003347-T1, XANCAGTX0491_006619-T1	XANPAGTX0501_009732-T1, XANPAOZ2100_004666-T1, XANCAGTX0491_006062-T1, XANPARI20_006275-T1, XANPARI20_000263-T1, XANPAOZ2100_008743-T1, XANCAGTX0491_009324-T1
OG0000003	N0	n14	0.75	Non-Terminal	XANPAOZ2100_004666-T1, XANCAGTX0491_006062-T1, XANPARI20_006275-T1	XANPARI20_000263-T1, XANPAOZ2100_008743-T1, XANCAGTX0491_009324-T1
OG0000004	N0	n0	1.0	Non-Terminal	XANPARI20_008858-T1, XANPAOZ2100_008697-T1, XANPAGTX0501_010016-T1, XANPAGTX0501_010016-T2, XANCAGTX0491_009977-T1	XANPARI20_001309-T1, XANPAGTX0501_003140-T1, XANPAOZ2100_000654-T1, XANCAGTX0491_000662-T1, XANPAGTX0501_010327-T1, XANCAGTX0491_004132-T1, XANPAOZ2100_007164-T1, XANPAOZ2100_002083-T1, XANCAGTX0491_004805-T1, XANPAGTX0501_010458-T1, XANCAGTX0491_000238-T1, XANPAOZ2100_001035-T1, XANPAGTX0501_002692-T1, XANPARI20_001699-T1
OG0000004	Xanthoria_parietina_GTX0501	n4	1.0	Terminal	XANPAGTX0501_010016-T1	XANPAGTX0501_010016-T2
OG0000004	N0	n5	1.0	Non-Terminal	XANPARI20_001309-T1, XANPAGTX0501_003140-T1, XANPAOZ2100_000654-T1, XANCAGTX0491_000662-T1, XANPAGTX0501_010327-T1, XANCAGTX0491_004132-T1, XANPAOZ2100_007164-T1, XANPAOZ2100_002083-T1	XANCAGTX0491_004805-T1, XANPAGTX0501_010458-T1, XANCAGTX0491_000238-T1, XANPAOZ2100_001035-T1, XANPAGTX0501_002692-T1, XANPARI20_001699-T1
OG0000004	N0	n6	0.75	Non-Terminal	XANPARI20_001309-T1, XANPAGTX0501_003140-T1, XANPAOZ2100_000654-T1, XANCAGTX0491_000662-T1	XANPAGTX0501_010327-T1, XANCAGTX0491_004132-T1, XANPAOZ2100_007164-T1, XANPAOZ2100_002083-T1
OG0000004	Xanthoria_parietina_SAMEA111342678	n12	1.0	Terminal	XANPAOZ2100_007164-T1	XANPAOZ2100_002083-T1
OG0000004	N0	n13	0.5	Non-Terminal	XANCAGTX0491_004805-T1, XANPAGTX0501_010458-T1	XANCAGTX0491_000238-T1, XANPAOZ2100_001035-T1, XANPAGTX0501_002692-T1, XANPARI20_001699-T1
OG0000005	N0	n0	1.0	Non-Terminal	XANPAOZ2100_003965-T1, XANCAGTX0491_004176-T3, XANPAGTX0501_007314-T2, XANPAGTX0501_007314-T1, XANPARI20_005627-T1	XANCAGTX0491_004176-T1, XANCAGTX0491_004176-T2, XANPAOZ2100_002757-T1, XANCAGTX0491_006777-T1, XANPAGTX0501_003184-T1, XANPAOZ2100_005616-T1, XANPARI20_004109-T1, XANPAGTX0501_010425-T1, XANCAGTX0491_008825-T1, XANPAGTX0501_000042-T1, XANPAOZ2100_002001-T1, XANPARI20_006684-T1, XANCAGTX0491_009334-T1, XANCAGTX0491_003310-T1
OG0000005	Xanthoria_parietina_GTX0501	n4	1.0	Terminal	XANPAGTX0501_007314-T2	XANPAGTX0501_007314-T1
OG0000005	N0	n5	0.25	Non-Terminal	XANCAGTX0491_004176-T1, XANCAGTX0491_004176-T2	XANPAOZ2100_002757-T1, XANCAGTX0491_006777-T1, XANPAGTX0501_003184-T1, XANPAOZ2100_005616-T1, XANPARI20_004109-T1, XANPAGTX0501_010425-T1, XANCAGTX0491_008825-T1, XANPAGTX0501_000042-T1, XANPAOZ2100_002001-T1, XANPARI20_006684-T1, XANCAGTX0491_009334-T1, XANCAGTX0491_003310-T1
OG0000005	Xanthoria_calcicola_GTX0491	n6	1.0	Terminal	XANCAGTX0491_004176-T1	XANCAGTX0491_004176-T2
OG0000005	N0	n7	0.75	Non-Terminal	XANPAOZ2100_002757-T1, XANCAGTX0491_006777-T1, XANPAGTX0501_003184-T1	XANPAOZ2100_005616-T1, XANPARI20_004109-T1, XANPAGTX0501_010425-T1, XANCAGTX0491_008825-T1, XANPAGTX0501_000042-T1, XANPAOZ2100_002001-T1, XANPARI20_006684-T1, XANCAGTX0491_009334-T1, XANCAGTX0491_003310-T1
OG0000005	N0	n10	1.0	Non-Terminal	XANPAOZ2100_005616-T1, XANPARI20_004109-T1, XANPAGTX0501_010425-T1, XANCAGTX0491_008825-T1	XANPAGTX0501_000042-T1, XANPAOZ2100_002001-T1, XANPARI20_006684-T1, XANCAGTX0491_009334-T1, XANCAGTX0491_003310-T1
OG0000005	Xanthoria_calcicola_GTX0491	n17	1.0	Terminal	XANCAGTX0491_009334-T1	XANCAGTX0491_003310-T1
OG0000006	N0	n0	1.0	Non-Terminal	XANPAGTX0501_005346-T1, XANPAOZ2100_004920-T1, XANPARI20_005998-T1, XANCAGTX0491_005799-T1	XANPAGTX0501_005346-T3, XANPAGTX0501_005346-T2, XANCAGTX0491_007143-T1, XANPARI20_004837-T1, XANPAGTX0501_006506-T1, XANPAOZ2100_006385-T1, XANPAOZ2100_004206-T1, XANPARI20_003021-T1, XANCAGTX0491_001870-T1, XANPAGTX0501_001214-T1, XANPAGTX0501_004771-T1, XANCAGTX0491_001080-T1, XANPAOZ2100_000278-T1, XANPARI20_000919-T1
OG0000006	N0	n4	0.25	Non-Terminal	XANPAGTX0501_005346-T3, XANPAGTX0501_005346-T2	XANCAGTX0491_007143-T1, XANPARI20_004837-T1, XANPAGTX0501_006506-T1, XANPAOZ2100_006385-T1, XANPAOZ2100_004206-T1, XANPARI20_003021-T1, XANCAGTX0491_001870-T1, XANPAGTX0501_001214-T1, XANPAGTX0501_004771-T1, XANCAGTX0491_001080-T1, XANPAOZ2100_000278-T1, XANPARI20_000919-T1
OG0000006	Xanthoria_parietina_GTX0501	n5	1.0	Terminal	XANPAGTX0501_005346-T3	XANPAGTX0501_005346-T2
OG0000006	N0	n6	1.0	Non-Terminal	XANCAGTX0491_007143-T1, XANPARI20_004837-T1, XANPAGTX0501_006506-T1, XANPAOZ2100_006385-T1, XANPAOZ2100_004206-T1, XANPARI20_003021-T1, XANCAGTX0491_001870-T1, XANPAGTX0501_001214-T1	XANPAGTX0501_004771-T1, XANCAGTX0491_001080-T1, XANPAOZ2100_000278-T1, XANPARI20_000919-T1
OG0000006	N0	n7	1.0	Non-Terminal	XANCAGTX0491_007143-T1, XANPARI20_004837-T1, XANPAGTX0501_006506-T1, XANPAOZ2100_006385-T1	XANPAOZ2100_004206-T1, XANPARI20_003021-T1, XANCAGTX0491_001870-T1, XANPAGTX0501_001214-T1
OG0000007	N0	n0	1.0	Non-Terminal	XANPAGTX0501_007881-T1, XANPAOZ2100_007071-T1, XANPARI20_008530-T1, XANCAGTX0491_007444-T1	XANCAGTX0491_001034-T1, XANPAOZ2100_000320-T1, XANPAGTX0501_004725-T1, XANPARI20_000964-T1, XANPARI20_008240-T1, XANPAGTX0501_008850-T1, XANPAOZ2100_006785-T1, XANCAGTX0491_007747-T1, XANCAGTX0491_004172-T1, XANPARI20_005636-T1, XANPAGTX0501_007302-T1, XANPAOZ2100_003975-T1
OG0000007	N0	n4	1.0	Non-Terminal	XANCAGTX0491_001034-T1, XANPAOZ2100_000320-T1, XANPAGTX0501_004725-T1, XANPARI20_000964-T1	XANPARI20_008240-T1, XANPAGTX0501_008850-T1, XANPAOZ2100_006785-T1, XANCAGTX0491_007747-T1, XANCAGTX0491_004172-T1, XANPARI20_005636-T1, XANPAGTX0501_007302-T1, XANPAOZ2100_003975-T1
OG0000007	N0	n8	1.0	Non-Terminal	XANPARI20_008240-T1, XANPAGTX0501_008850-T1, XANPAOZ2100_006785-T1, XANCAGTX0491_007747-T1	XANCAGTX0491_004172-T1, XANPARI20_005636-T1, XANPAGTX0501_007302-T1, XANPAOZ2100_003975-T1
OG0000008	N0	n0	1.0	Non-Terminal	XANPAOZ2100_001795-T1, XANPAGTX0501_000281-T1, XANPARI20_006475-T1, XANCAGTX0491_003093-T1	XANPAGTX0501_004383-T1, XANPARI20_006932-T1, XANPAOZ2100_005741-T1, XANCAGTX0491_005842-T1, XANPARI20_006038-T1, XANPAGTX0501_005295-T1, XANPAOZ2100_004882-T1, XANPAOZ2100_004639-T1, XANCAGTX0491_008419-T1, XANPAOZ2100_002769-T1, XANPAOZ2100_005660-T1, XANPAOZ2100_005659-T1
OG0000008	N0	n4	0.75	Non-Terminal	XANPAGTX0501_004383-T1, XANPARI20_006932-T1, XANPAOZ2100_005741-T1	XANCAGTX0491_005842-T1, XANPARI20_006038-T1, XANPAGTX0501_005295-T1, XANPAOZ2100_004882-T1, XANPAOZ2100_004639-T1, XANCAGTX0491_008419-T1, XANPAOZ2100_002769-T1, XANPAOZ2100_005660-T1, XANPAOZ2100_005659-T1
OG0000008	N0	n7	0.5	Non-Terminal	XANCAGTX0491_005842-T1, XANPARI20_006038-T1, XANPAGTX0501_005295-T1, XANPAOZ2100_004882-T1	XANPAOZ2100_004639-T1, XANCAGTX0491_008419-T1, XANPAOZ2100_002769-T1, XANPAOZ2100_005660-T1, XANPAOZ2100_005659-T1
OG0000008	N0	n11	0.25	Non-Terminal	XANPAOZ2100_004639-T1	XANCAGTX0491_008419-T1, XANPAOZ2100_002769-T1, XANPAOZ2100_005660-T1, XANPAOZ2100_005659-T1
OG0000008	Xanthoria_parietina_SAMEA111342678	n13	1.0	Terminal	XANPAOZ2100_002769-T1, XANPAOZ2100_005660-T1	XANPAOZ2100_005659-T1
OG0000008	Xanthoria_parietina_SAMEA111342678	n14	1.0	Terminal	XANPAOZ2100_002769-T1	XANPAOZ2100_005660-T1
OG0000009	N0	n0	1.0	Non-Terminal	XANCAGTX0491_000311-T1, XANPARI20_001633-T1, XANPAGTX0501_002775-T1, XANPAGTX0501_002774-T1, XANPAOZ2100_000972-T1	XANPAOZ2100_003955-T1, XANCAGTX0491_004186-T2, XANPARI20_005616-T1, XANCAGTX0491_004186-T1, XANPAGTX0501_007323-T1, XANPAGTX0501_009737-T1, XANPARI20_000258-T1, XANCAGTX0491_000195-T1, XANCAGTX0491_009329-T1, XANPARI20_005617-T1
OG0000009	Xanthoria_parietina_GTX0501	n4	1.0	Terminal	XANPAGTX0501_002775-T1	XANPAGTX0501_002774-T1
OG0000009	N0	n6	0.25	Non-Terminal	XANCAGTX0491_004186-T2, XANPARI20_005616-T1, XANCAGTX0491_004186-T1, XANPAGTX0501_007323-T1, XANPAGTX0501_009737-T1, XANPARI20_000258-T1, XANCAGTX0491_000195-T1, XANCAGTX0491_009329-T1	XANPARI20_005617-T1
OG0000009	N0	n7	0.75	Non-Terminal	XANCAGTX0491_004186-T2, XANPARI20_005616-T1, XANCAGTX0491_004186-T1, XANPAGTX0501_007323-T1	XANPAGTX0501_009737-T1, XANPARI20_000258-T1, XANCAGTX0491_000195-T1, XANCAGTX0491_009329-T1
OG0000009	N0	n8	0.25	Non-Terminal	XANCAGTX0491_004186-T2	XANPARI20_005616-T1, XANCAGTX0491_004186-T1, XANPAGTX0501_007323-T1
OG0000009	Xanthoria_calcicola_GTX0491	n13	1.0	Terminal	XANCAGTX0491_000195-T1	XANCAGTX0491_009329-T1
OG0000010	N0	n0	1.0	Non-Terminal	XANPAOZ2100_001529-T1, XANCAGTX0491_002790-T1, XANPARI20_008062-T1, XANPAGTX0501_000598-T1	XANCAGTX0491_006733-T1, XANPARI20_001919-T1, XANPAGTX0501_003236-T1, XANPAOZ2100_002800-T1, XANPAOZ2100_005252-T1, XANPARI20_004468-T1, XANPAGTX0501_009037-T1, XANCAGTX0491_001048-T1, XANCAGTX0491_002791-T1, XANCAGTX0491_006792-T1, XANCAGTX0491_008408-T1
OG0000010	N0	n4	1.0	Non-Terminal	XANCAGTX0491_006733-T1, XANPARI20_001919-T1, XANPAGTX0501_003236-T1, XANPAOZ2100_002800-T1	XANPAOZ2100_005252-T1, XANPARI20_004468-T1, XANPAGTX0501_009037-T1, XANCAGTX0491_001048-T1, XANCAGTX0491_002791-T1, XANCAGTX0491_006792-T1, XANCAGTX0491_008408-T1
OG0000010	Xanthoria_calcicola_GTX0491	n11	1.0	Terminal	XANCAGTX0491_001048-T1, XANCAGTX0491_002791-T1	XANCAGTX0491_006792-T1, XANCAGTX0491_008408-T1
OG0000010	Xanthoria_calcicola_GTX0491	n12	1.0	Terminal	XANCAGTX0491_001048-T1	XANCAGTX0491_002791-T1
OG0000010	Xanthoria_calcicola_GTX0491	n13	1.0	Terminal	XANCAGTX0491_006792-T1	XANCAGTX0491_008408-T1
OG0000011	N0	n0	1.0	Non-Terminal	XANPAGTX0501_004366-T1, XANPAOZ2100_005754-T1, XANPARI20_006947-T1, XANCAGTX0491_004947-T1	XANPARI20_007214-T1, XANPAGTX0501_004057-T1, XANPAOZ2100_006021-T1, XANCAGTX0491_005248-T1, XANPAOZ2100_000075-T1, XANCAGTX0491_001310-T1, XANPAGTX0501_005010-T1, XANPAGTX0501_007636-T1, XANCAGTX0491_004472-T1, XANPARI20_005348-T1, XANPAOZ2100_003690-T1
