omeID	taxonID	tyrCount	elementCount
amathi1	Agaricomycetes	0	0
ambphi1	Saccharomycotina	0	0
amnlig1	Dothideomycetes	4	0
amores1	Leotiomycetes	4	0
ampqui1	Dothideomycetes	0	0
ampsp.1	Microsporidia	0	0
ampsp.2	Agaricomycetes	0	0
ampsp.3	Agaricomycetes	0	0
amycha1	Agaricomycetes	1	0
amyenc1	Leotiomycetes	15	0
amylap1	Agaricomycetes	1	0
anarob1	Neocallimastigomycetes	0	0
annalg1	Microsporidia	0	0
annalg2	Microsporidia	0	0
annbov1	Sordariomycetes	0	0
annmae1	Sordariomycetes	0	0
annmin1	Sordariomycetes	0	0
annmor1	Sordariomycetes	0	0
annnit1	Sordariomycetes	0	0
annsty1	Sordariomycetes	7	1
anntru1	Sordariomycetes	1	0
antflo1	Ustilaginomycotina	3	0
antflo2	Ustilaginomycotina	3	0
antloc1	Microsporidia	0	0
antser1	Agaricomycetes	0	0
apipor1	Tremellomycetes	0	0
aplpru1	Dothideomycetes	0	0
apooss1	Mucoromycotina	0	0
aposp.1	Mucoromycotina	0	0
aposp.2	Mucoromycotina	0	0
aposp.3	Mucoromycotina	0	0
armcep1	Agaricomycetes	3	0
armgal1	Agaricomycetes	3	0
armmel2	Agaricomycetes	3	0
armost1	Agaricomycetes	1	0
armsol1	Agaricomycetes	3	0
artben1	Eurotiomycetes	0	0
artele1	Agaricomycetes	0	0
artent1	Orbiliomycetes	0	0
artfla1	Orbiliomycetes	1	0
artmat1	Agaricomycetes	0	0
artoli1	Orbiliomycetes	2	0
artunc1	Eurotiomycetes	7	0
ascapi1	Eurotiomycetes	0	0
ascimm1	Pezizomycetes	2	0
asclen1	Dothideomycetes	0	0
ascnig1	Pezizomycetes	3	0
ascrab1	Dothideomycetes	5	0
ascrub1	Saccharomycotina	0	0
ascrub2	Saccharomycotina	0	0
ascsar1	Leotiomycetes	4	0
aspacu1	Eurotiomycetes	0	0
aspacu2	Eurotiomycetes	1	0
aspacu3	Eurotiomycetes	0	0
aspacu4	Eurotiomycetes	2	2
aspaff1	Eurotiomycetes	14	0
aspalb1	Eurotiomycetes	8	0
aspall1	Eurotiomycetes	11	0
aspall2	Eurotiomycetes	11	0
aspall3	Eurotiomycetes	8	0
aspamo1	Eurotiomycetes	17	0
aspara1	Eurotiomycetes	15	1
aspara2	Eurotiomycetes	14	0
aspara3	Eurotiomycetes	15	1
aspasp1	Eurotiomycetes	12	0
aspasp10	Eurotiomycetes	15	0
aspasp11	Eurotiomycetes	8	2
aspasp12	Eurotiomycetes	2	0
aspasp13	Eurotiomycetes	6	1
aspasp2	Eurotiomycetes	8	0
aspasp3	Eurotiomycetes	22	0
aspasp4	Eurotiomycetes	2	0
aspasp5	Eurotiomycetes	1	0
aspasp6	Eurotiomycetes	11	1
aspasp7	Eurotiomycetes	6	0
aspasp8	Eurotiomycetes	9	2
aspasp9	Eurotiomycetes	4	4
aspave1	Eurotiomycetes	1	0
aspave2	Eurotiomycetes	1	0
aspawa1	Eurotiomycetes	14	3
aspawa2	Eurotiomycetes	9	2
aspber1	Eurotiomycetes	13	0
aspber2	Eurotiomycetes	13	0
aspbom1	Eurotiomycetes	5	0
aspbom2	Eurotiomycetes	5	0
aspbra1	Eurotiomycetes	6	0
aspbru1	Eurotiomycetes	0	0
aspbru2	Eurotiomycetes	0	0
aspbru3	Eurotiomycetes	12	0
aspbru4	Eurotiomycetes	11	0
aspbur1	Eurotiomycetes	10	0
aspcae1	Eurotiomycetes	6	0
aspcae2	Eurotiomycetes	6	0
aspcal2	Eurotiomycetes	14	4
aspcal3	Eurotiomycetes	14	4
aspcam1	Eurotiomycetes	0	0
aspcam2	Eurotiomycetes	0	0
aspcan2	Eurotiomycetes	1	0
aspcan3	Eurotiomycetes	1	0
aspcar1	Eurotiomycetes	1	0
aspcej1	Eurotiomycetes	13	0
aspche1	Eurotiomycetes	14	3
aspche2	Eurotiomycetes	17	9
aspcla2	Eurotiomycetes	8	1
aspcla3	Eurotiomycetes	8	1
aspcor2	Eurotiomycetes	2	0
aspcor3	Eurotiomycetes	2	0
aspcos2	Eurotiomycetes	2	1
aspcos3	Eurotiomycetes	2	1
aspcre1	Eurotiomycetes	5	1
aspcri1	Eurotiomycetes	16	4
aspcri2	Eurotiomycetes	14	6
aspcri3	Eurotiomycetes	16	4
aspcri4	Eurotiomycetes	17	1
aspcri5	Eurotiomycetes	15	1
aspcro1	Eurotiomycetes	8	0
aspele1	Eurotiomycetes	2	0
aspell1	Eurotiomycetes	16	0
aspell2	Eurotiomycetes	17	0
aspeuc1	Eurotiomycetes	0	0
aspeuc2	Eurotiomycetes	0	0
aspfel1	Eurotiomycetes	4	0
aspfel2	Eurotiomycetes	1	0
aspfij1	Eurotiomycetes	0	0
aspfij2	Eurotiomycetes	0	0
aspfis1	Eurotiomycetes	11	7
aspfis2	Eurotiomycetes	13	4
aspfis3	Eurotiomycetes	11	2
aspfis4	Eurotiomycetes	14	4
aspfis5	Eurotiomycetes	15	2
aspfla10	Eurotiomycetes	4	2
aspfla11	Eurotiomycetes	3	2
aspfla12	Eurotiomycetes	4	3
aspfla13	Eurotiomycetes	3	2
aspfla14	Eurotiomycetes	3	2
aspfla4	Eurotiomycetes	2	1
aspfla5	Eurotiomycetes	4	2
aspfla6	Eurotiomycetes	3	2
aspfla7	Eurotiomycetes	8	3
aspfla8	Eurotiomycetes	4	3
aspfla9	Eurotiomycetes	3	0
aspflo1	Eurotiomycetes	4	0
aspfum10	Eurotiomycetes	8	0
aspfum11	Eurotiomycetes	16	1
aspfum12	Eurotiomycetes	9	0
aspfum13	Eurotiomycetes	7	2
aspfum14	Eurotiomycetes	14	0
aspfum15	Eurotiomycetes	14	4
aspfum16	Eurotiomycetes	7	1
aspfum17	Eurotiomycetes	7	2
aspfum18	Eurotiomycetes	5	0
aspfum19	Eurotiomycetes	8	1
aspfum3	Eurotiomycetes	12	5
aspfum4	Eurotiomycetes	16	6
aspfum5	Eurotiomycetes	12	5
aspfum6	Eurotiomycetes	17	8
aspfum7	Eurotiomycetes	8	0
aspfum8	Eurotiomycetes	6	1
aspfum9	Eurotiomycetes	2	0
aspgla1	Eurotiomycetes	20	1
asphan1	Eurotiomycetes	15	0
asphet2	Eurotiomycetes	0	0
asphet3	Eurotiomycetes	0	0
asphir1	Eurotiomycetes	17	1
asphir2	Eurotiomycetes	16	0
asphom1	Eurotiomycetes	4	0
asphom2	Eurotiomycetes	4	0
aspibe1	Eurotiomycetes	6	0
aspibe2	Eurotiomycetes	7	0
aspinc1	Eurotiomycetes	1	0
aspind2	Eurotiomycetes	2	1
aspind3	Eurotiomycetes	2	1
aspjap1	Eurotiomycetes	3	1
aspjap2	Eurotiomycetes	3	1
aspjap3	Eurotiomycetes	1	0
aspjen1	Eurotiomycetes	11	3
aspkaw1	Eurotiomycetes	9	0
asplat1	Eurotiomycetes	9	0
asplat2	Eurotiomycetes	10	0
asplat3	Eurotiomycetes	12	0
asplat4	Eurotiomycetes	14	0
asplat5	Eurotiomycetes	10	0
asplat6	Eurotiomycetes	9	0
asplat7	Eurotiomycetes	14	0
asplen1	Eurotiomycetes	0	0
asplen10	Eurotiomycetes	1	1
asplen2	Eurotiomycetes	2	1
asplen3	Eurotiomycetes	1	0
asplen4	Eurotiomycetes	2	1
asplen5	Eurotiomycetes	4	0
asplen6	Eurotiomycetes	1	0
asplen7	Eurotiomycetes	6	1
asplen8	Eurotiomycetes	6	1
asplen9	Eurotiomycetes	2	0
asplep1	Eurotiomycetes	17	0
asplep2	Eurotiomycetes	17	0
aspluc10	Eurotiomycetes	9	1
aspluc11	Eurotiomycetes	9	1
aspluc12	Eurotiomycetes	9	5
aspluc13	Eurotiomycetes	3	1
aspluc2	Eurotiomycetes	8	1
aspluc3	Eurotiomycetes	9	0
aspluc4	Eurotiomycetes	1	0
aspluc5	Eurotiomycetes	9	1
aspluc6	Eurotiomycetes	9	1
aspluc7	Eurotiomycetes	1	0
aspluc8	Eurotiomycetes	9	1
aspluc9	Eurotiomycetes	9	1
aspmel1	Eurotiomycetes	16	6
aspmin1	Eurotiomycetes	1	0
aspmin2	Eurotiomycetes	1	0
aspmon1	Eurotiomycetes	27	1
aspmul3	Eurotiomycetes	0	0
aspnan1	Eurotiomycetes	9	0
aspneo7	Eurotiomycetes	0	0
aspneo8	Eurotiomycetes	6	1
aspneo9	Eurotiomycetes	0	0
aspnid1	Eurotiomycetes	5	1
aspnid3	Eurotiomycetes	5	3
aspnid4	Eurotiomycetes	8	2
aspnig10	Eurotiomycetes	5	3
aspnig11	Eurotiomycetes	7	4
aspnig12	Eurotiomycetes	8	2
aspnig13	Eurotiomycetes	2	2
aspnig14	Eurotiomycetes	0	0
aspnig15	Eurotiomycetes	13	4
aspnig16	Eurotiomycetes	1	0
aspnig2	Eurotiomycetes	7	0
aspnig3	Eurotiomycetes	5	2
aspnig4	Eurotiomycetes	5	5
aspnig5	Eurotiomycetes	5	3
aspnig6	Eurotiomycetes	5	2
aspnig7	Eurotiomycetes	6	0
aspnig8	Eurotiomycetes	7	0
aspnig9	Eurotiomycetes	6	0
aspnom1	Eurotiomycetes	12	2
aspnom2	Eurotiomycetes	2	0
aspnom3	Eurotiomycetes	2	0
aspnom4	Eurotiomycetes	2	0
aspnov1	Eurotiomycetes	14	1
aspnov2	Eurotiomycetes	7	1
aspnov3	Eurotiomycetes	7	1
aspnov4	Eurotiomycetes	14	1
aspoch1	Eurotiomycetes	2	0
aspoch2	Eurotiomycetes	2	0
aspoch3	Eurotiomycetes	2	0
aspoch4	Eurotiomycetes	2	0
aspoch5	Eurotiomycetes	9	3
aspoch6	Eurotiomycetes	3	2
aspoer1	Eurotiomycetes	1	0
aspoli1	Eurotiomycetes	19	0
aspory1	Eurotiomycetes	10	5
aspory10	Eurotiomycetes	10	3
aspory11	Eurotiomycetes	8	2
aspory12	Eurotiomycetes	11	5
aspory2	Eurotiomycetes	2	0
aspory3	Eurotiomycetes	2	0
aspory4	Eurotiomycetes	10	5
aspory5	Eurotiomycetes	9	4
aspory6	Eurotiomycetes	4	0
aspory7	Eurotiomycetes	4	0
aspory8	Eurotiomycetes	12	4
aspory9	Eurotiomycetes	7	3
asppar1	Eurotiomycetes	3	0
asppar10	Eurotiomycetes	4	1
asppar11	Eurotiomycetes	4	0
asppar12	Eurotiomycetes	4	1
asppar13	Eurotiomycetes	10	1
asppar14	Eurotiomycetes	9	0
asppar4	Eurotiomycetes	3	1
asppar5	Eurotiomycetes	6	0
asppar6	Eurotiomycetes	2	0
asppar7	Eurotiomycetes	3	1
asppar8	Eurotiomycetes	3	2
asppar9	Eurotiomycetes	4	0
aspper1	Eurotiomycetes	11	1
asppho1	Eurotiomycetes	5	2
asppip1	Eurotiomycetes	0	0
asppip2	Eurotiomycetes	0	0
asppro1	Eurotiomycetes	10	1
asppse10	Eurotiomycetes	12	2
asppse11	Eurotiomycetes	2	1
asppse12	Eurotiomycetes	2	1
asppse13	Eurotiomycetes	7	0
asppse14	Eurotiomycetes	7	0
asppse15	Eurotiomycetes	4	0
asppse6	Eurotiomycetes	14	1
asppse7	Eurotiomycetes	7	0
asppse8	Eurotiomycetes	7	0
asppse9	Eurotiomycetes	14	1
asppuu1	Eurotiomycetes	2	1
aspqua1	Eurotiomycetes	12	1
aspram2	Eurotiomycetes	2	0
aspram3	Eurotiomycetes	2	0
asprub1	Eurotiomycetes	13	0
aspsac1	Eurotiomycetes	4	0
aspsac2	Eurotiomycetes	4	0
aspscl2	Eurotiomycetes	1	0
aspscl3	Eurotiomycetes	4	0
aspscl4	Eurotiomycetes	6	0
aspscl5	Eurotiomycetes	14	0
aspscl6	Eurotiomycetes	4	0
aspscl7	Eurotiomycetes	1	0
aspser1	Eurotiomycetes	5	0
aspser2	Eurotiomycetes	5	0
aspsoj1	Eurotiomycetes	12	2
aspsoj2	Eurotiomycetes	13	3
aspsoj3	Eurotiomycetes	13	2
aspsoj4	Eurotiomycetes	10	1
aspsoj5	Eurotiomycetes	11	1
aspsp.1	Eurotiomycetes	5	0
aspspi1	Eurotiomycetes	4	1
aspspi2	Eurotiomycetes	3	0
aspste3	Eurotiomycetes	4	1
aspste4	Eurotiomycetes	4	1
aspsyd1	Eurotiomycetes	8	1
aspsyd2	Eurotiomycetes	8	1
aspsyd3	Eurotiomycetes	15	0
aspsyd4	Eurotiomycetes	17	0
asptai1	Eurotiomycetes	1	0
asptai2	Eurotiomycetes	1	0
asptam1	Eurotiomycetes	11	0
asptam2	Eurotiomycetes	10	0
asptam3	Eurotiomycetes	5	0
asptam4	Eurotiomycetes	11	0
asptan1	Eurotiomycetes	25	0
aspter1	Eurotiomycetes	1	0
aspter10	Eurotiomycetes	6	0
aspter2	Eurotiomycetes	1	0
aspter3	Eurotiomycetes	0	0
aspter4	Eurotiomycetes	1	1
aspter5	Eurotiomycetes	2	0
aspter6	Eurotiomycetes	7	3
aspter7	Eurotiomycetes	2	1
aspter8	Eurotiomycetes	11	2
aspter9	Eurotiomycetes	11	2
aspthe1	Eurotiomycetes	24	0
asptra2	Eurotiomycetes	7	1
asptra3	Eurotiomycetes	7	1
asptri1	Eurotiomycetes	0	0
asptub1	Eurotiomycetes	2	0
asptub10	Eurotiomycetes	5	1
asptub2	Eurotiomycetes	1	0
asptub3	Eurotiomycetes	0	0
asptub4	Eurotiomycetes	0	0
asptub5	Eurotiomycetes	0	0
asptub6	Eurotiomycetes	1	1
asptub7	Eurotiomycetes	0	0
asptub8	Eurotiomycetes	0	0
asptub9	Eurotiomycetes	0	0
asptur1	Eurotiomycetes	2	0
asptur2	Eurotiomycetes	1	0
aspuda1	Eurotiomycetes	4	1
aspuda2	Eurotiomycetes	4	2
aspuda3	Eurotiomycetes	5	0
aspuda4	Eurotiomycetes	10	0
aspuda5	Eurotiomycetes	13	2
aspuda6	Eurotiomycetes	10	0
aspuda7	Eurotiomycetes	4	0
aspung1	Eurotiomycetes	5	0
aspung2	Eurotiomycetes	7	3
aspung3	Eurotiomycetes	8	3
aspung4	Eurotiomycetes	7	3
aspust1	Eurotiomycetes	10	0
aspuva1	Eurotiomycetes	6	0
aspuva2	Eurotiomycetes	6	0
aspvad1	Eurotiomycetes	4	0
aspvad2	Eurotiomycetes	4	0
aspver1	Eurotiomycetes	1	0
aspver2	Eurotiomycetes	14	0
aspvio1	Eurotiomycetes	3	0
aspvio2	Eurotiomycetes	3	0
aspvir1	Eurotiomycetes	1	0
aspvir2	Eurotiomycetes	2	0
aspwel1	Eurotiomycetes	8	2
aspwel2	Eurotiomycetes	8	2
aspwel3	Eurotiomycetes	9	2
aspwel4	Eurotiomycetes	8	0
aspwel5	Eurotiomycetes	9	0
aspwen1	Eurotiomycetes	4	0
aspwes1	Eurotiomycetes	5	1
aspwes2	Eurotiomycetes	3	0
aspzon1	Eurotiomycetes	2	0
astodo1	Agaricomycetes	0	0
astpar1	Agaricomycetes	0	0
astsub1	Sordariomycetes	3	0
athara1	Agaricomycetes	0	0
athara2	Agaricomycetes	0	0
athdec1	Agaricomycetes	0	0
athepi1	Agaricomycetes	1	0
athter1	Agaricomycetes	0	0
athter2	Agaricomycetes	1	0
aulhed1	Dothideomycetes	1	0
auramp1	Agaricomycetes	0	0
aurmel1	Dothideomycetes	1	0
aurmus1	Dothideomycetes	0	0
aurnam1	Dothideomycetes	0	0
aurpul1	Dothideomycetes	1	0
aurpul2	Dothideomycetes	1	0
aurpul3	Dothideomycetes	0	0
aurpul4	Dothideomycetes	3	0
aurpul5	Dothideomycetes	1	0
aurpul6	Dothideomycetes	3	0
aursp.1	Dothideomycetes	0	0
aursp.2	Agaricomycetes	0	0
aursub2	Dothideomycetes	1	0
aursub3	Agaricomycetes	1	0
auruva1	Dothideomycetes	0	0
aurvin1	Dothideomycetes	0	0
aurvul1	Agaricomycetes	1	0
auspsi1	Pucciniomycotina	0	0
babino1	Saccharomycotina	0	0
bacgig1	Lecanoromycetes	4	0
basmer1	Blastocladiomycota	0	0
batden1	Chytridiomycetes	0	0
batden2	Chytridiomycetes	0	0
batsal1	Chytridiomycetes	0	0
baucom1	Dothideomycetes	2	0
baupan1	Dothideomycetes	2	0
beabas1	Sordariomycetes	18	0
beabas2	Sordariomycetes	8	0
beabro1	Sordariomycetes	13	0
bifade1	Mucoromycotina	0	0
bimnov1	Dothideomycetes	34	0
bipmay1	Dothideomycetes	5	0
bipmay2	Dothideomycetes	6	0
bipory1	Dothideomycetes	6	0
bipsor1	Dothideomycetes	3	1
bipsor2	Dothideomycetes	3	0
bipzei1	Dothideomycetes	6	0
bismar1	Sordariomycetes	1	0
bismed1	Sordariomycetes	2	0
bismed2	Sordariomycetes	1	0
bissp.1	Sordariomycetes	0	0
bjeadu1	Agaricomycetes	0	0
blaar.1	Saccharomycotina	0	0
blader2	Eurotiomycetes	25	2
blader3	Eurotiomycetes	16	0
blader4	Eurotiomycetes	16	0
blader5	Eurotiomycetes	19	2
blagil1	Eurotiomycetes	25	2
blapar1	Eurotiomycetes	3	0
blaper1	Eurotiomycetes	77	0
blasil1	Eurotiomycetes	0	0
blazon1	Agaricomycetes	0	0
blugra3	Leotiomycetes	0	0
blugra4	Leotiomycetes	0	0
blugra5	Leotiomycetes	0	0
blugra6	Leotiomycetes	0	0
blugra7	Leotiomycetes	0	0
blugra9	Leotiomycetes	0	0
bluhor1	Leotiomycetes	0	0
blyhel1	Chytridiomycetes	0	0
boeexi1	Dothideomycetes	0	0
boledu1	Agaricomycetes	0	0
boledu2	Agaricomycetes	0	0
bolret1	Agaricomycetes	0	0
bonmes1	Agaricomycetes	1	0
botacl1	Leotiomycetes	4	0
botbot1	Agaricomycetes	0	0
botbys1	Leotiomycetes	0	0
botcal1	Leotiomycetes	8	0
botcin3	Leotiomycetes	2	0
botcin4	Leotiomycetes	1	0
botcin5	Leotiomycetes	1	0
botcon1	Leotiomycetes	4	0
botdew1	Leotiomycetes	1	1
botdot1	Dothideomycetes	3	0
botell1	Leotiomycetes	0	0
botell2	Leotiomycetes	0	0
botfra1	Leotiomycetes	2	0
botgal1	Leotiomycetes	1	0
botglo1	Leotiomycetes	0	0
bothya1	Leotiomycetes	3	0
botnar1	Leotiomycetes	0	0
botpae1	Leotiomycetes	1	0
botpor1	Leotiomycetes	5	0
botpor2	Leotiomycetes	5	0
botsin1	Leotiomycetes	1	1
botsqu1	Leotiomycetes	0	0
bottul1	Leotiomycetes	4	0
brebru10	Saccharomycotina	0	0
brebru2	Saccharomycotina	0	0
brebru3	Saccharomycotina	0	0
brebru5	Saccharomycotina	0	0
brebru6	Saccharomycotina	0	0
brenaa1	Saccharomycotina	0	0
brenan1	Saccharomycotina	0	0
butros1	Agaricomycetes	1	0
byscir1	Dothideomycetes	5	0
bysspe1	Eurotiomycetes	0	0
cadmal1	Leotiomycetes	17	0
cadsp.1	Leotiomycetes	41	0
cadsp.2	Leotiomycetes	15	0
caechu1	Neocallimastigomycetes	0	0
calcor1	Dacrymycetes	0	0
calmar1	Leotiomycetes	17	0
calvis1	Dacrymycetes	0	0
camtin1	Sordariomycetes	3	0
canafr1	Saccharomycotina	0	0
canalb10	Saccharomycotina	0	0
canalb11	Saccharomycotina	0	0
canalb12	Saccharomycotina	0	0
canalb13	Saccharomycotina	0	0
canalb14	Saccharomycotina	0	0
canalb15	Saccharomycotina	0	0
canalb16	Saccharomycotina	0	0
canalb17	Saccharomycotina	0	0
canalb18	Saccharomycotina	0	0
canalb19	Saccharomycotina	0	0
canalb2	Saccharomycotina	0	0
canalb20	Saccharomycotina	0	0
canalb21	Saccharomycotina	0	0
canalb22	Saccharomycotina	0	0
canalb23	Saccharomycotina	0	0
canalb24	Saccharomycotina	0	0
canalb25	Saccharomycotina	0	0
canalb26	Saccharomycotina	0	0
canalb27	Saccharomycotina	0	0
canalb28	Saccharomycotina	0	0
canalb3	Saccharomycotina	0	0
canalb4	Saccharomycotina	0	0
canalb7	Saccharomycotina	0	0
canalb8	Saccharomycotina	0	0
canalb9	Saccharomycotina	0	0
cananz1	Agaricomycetes	0	0
canara1	Saccharomycotina	0	0
canaur1	Saccharomycotina	0	0
canaur2	Saccharomycotina	0	0
canaur3	Saccharomycotina	0	0
canaur4	Saccharomycotina	0	0
canaur5	Saccharomycotina	0	0
canaur6	Saccharomycotina	0	0
canaur7	Saccharomycotina	0	0
canaur8	Saccharomycotina	0	0
canboi1	Saccharomycotina	0	0
cancal1	Saccharomycotina	0	0
cancal2	Saccharomycotina	0	0
candub1	Saccharomycotina	0	0
canduo1	Saccharomycotina	0	0
cangla1	Saccharomycotina	0	0
cangla10	Saccharomycotina	0	0
cangla11	Saccharomycotina	0	0
cangla12	Saccharomycotina	0	0
cangla13	Saccharomycotina	0	0
cangla2	Saccharomycotina	0	0
cangla3	Saccharomycotina	0	0
cangla4	Saccharomycotina	0	0
cangla5	Saccharomycotina	0	0
cangla6	Saccharomycotina	0	0
cangla7	Saccharomycotina	0	0
cangla8	Saccharomycotina	0	0
cangla9	Saccharomycotina	0	0
canhae1	Saccharomycotina	0	0
canhae2	Saccharomycotina	0	0
canhae3	Saccharomycotina	0	0
caninc1	Saccharomycotina	0	0
canint1	Saccharomycotina	0	0
canint2	Saccharomycotina	0	0
canmal1	Saccharomycotina	0	0
canmet1	Saccharomycotina	0	0
canort1	Saccharomycotina	0	0
canpar1	Saccharomycotina	0	0
canpse1	Saccharomycotina	0	0
cansub1	Saccharomycotina	0	0
cantan1	Saccharomycotina	0	0
cantro1	Saccharomycotina	0	0
canvis1	Saccharomycotina	0	0
capcor1	Eurotiomycetes	2	0
capepi1	Eurotiomycetes	2	0
capsem1	Eurotiomycetes	0	0
catang1	Blastocladiomycota	0	0
caupro1	Chytridiomycetes	0	0
caupro2	Chytridiomycetes	0	0
cengeo1	Dothideomycetes	37	0
cerber1	Dothideomycetes	6	0
cerbet1	Dothideomycetes	2	0
cerbom1	Ustilaginomycotina	1	0
cerfim1	Sordariomycetes	0	0
cergua1	Ustilaginomycotina	1	0
cerkik1	Dothideomycetes	6	0
cerpla1	Sordariomycetes	1	0
cersp.10	Agaricomycetes	0	0
cersp.13	Agaricomycetes	0	0
cersp.14	Agaricomycetes	0	0
cersp.15	Agaricomycetes	0	0
cersp.16	Agaricomycetes	0	0
cersp.17	Agaricomycetes	0	0
cersp.4	Agaricomycetes	0	0
cersp.8	Agaricomycetes	0	0
certhe1	Agaricomycetes	0	0
cerzea1	Dothideomycetes	2	0
cerzei1	Dothideomycetes	4	0
chafun1	Sordariomycetes	1	0
chaglo1	Sordariomycetes	5	1
chaglo2	Sordariomycetes	1	0
chalon1	Leotiomycetes	1	0
chasp.2	Sordariomycetes	2	0
chasp.4	Eurotiomycetes	3	0
chasp.5	Eurotiomycetes	0	0
chasp.6	Eurotiomycetes	0	0
chasp.7	Eurotiomycetes	11	0
chasp.8	Sordariomycetes	1	0
chathe1	Sordariomycetes	0	0
chivir1	Agaricomycetes	1	0
chlaer1	Leotiomycetes	8	0
choven1	Pezizomycetes	7	0
chycon1	Chytridiomycetes	0	0
citmat1	Saccharomycotina	0	0
claaff1	Sordariomycetes	0	0
claaff2	Sordariomycetes	0	0
claafr1	Sordariomycetes	0	0
claaqu1	Dothideomycetes	2	0
claaru1	Sordariomycetes	0	0
claaru2	Sordariomycetes	0	0
claban1	Eurotiomycetes	2	0
clacap1	Sordariomycetes	0	0
clacar1	Eurotiomycetes	0	0
clacit1	Sordariomycetes	0	0
clacyp1	Sordariomycetes	0	0
cladig1	Sordariomycetes	0	0
claely1	Dothideomycetes	19	0
claful1	Dothideomycetes	3	0
clagra1	Lecanoromycetes	1	0
clahum1	Sordariomycetes	0	0
claimm1	Eurotiomycetes	4	0
clalov1	Sordariomycetes	0	0
clalus2	Saccharomycotina	0	0
clamax1	Sordariomycetes	0	0
clamon1	Sordariomycetes	0	0
clapaz1	Sordariomycetes	0	0
clapsa1	Eurotiomycetes	4	0
clapur1	Sordariomycetes	0	0
clapus1	Sordariomycetes	0	0
clapyx1	Agaricomycetes	0	0
clasor1	Sordariomycetes	0	0
clasp.1	Agaricomycetes	0	0
clasp.10	Sordariomycetes	0	0
clasp.11	Sordariomycetes	0	0
clasp.2	Sordariomycetes	0	0
clasp.3	Sordariomycetes	0	0
clasp.4	Sordariomycetes	0	0
clasp.5	Sordariomycetes	0	0
clasp.6	Sordariomycetes	0	0
clasp.7	Sordariomycetes	0	0
clasp.8	Sordariomycetes	0	0
clasp.9	Sordariomycetes	0	0
claspa1	Sordariomycetes	0	0
clasph1	Dothideomycetes	0	0
clayeg1	Eurotiomycetes	0	0
cligib1	Agaricomycetes	0	0
cloaqu1	Dothideomycetes	10	0
clobys1	Sordariomycetes	0	0
clorhi1	Sordariomycetes	10	0
closol1	Sordariomycetes	0	0
coccar1	Dothideomycetes	6	0
cocimm1	Eurotiomycetes	16	6
cocimm2	Eurotiomycetes	12	0
