omeID	taxonID	taxonCount	tyrCount	elementCount
amareg1	Amanita regalis	1	0	0
amarub1	Amanita rubescens	1	0	0
amathi1	Amanita thiersii	1	0	0
ambphi1	Ambrosiozyma philentoma	1	0	0
amnlig1	Amniculicola lignicola	1	4	0
amores1	Amorphotheca resinae	1	4	0
ampqui1	Ampelomyces quisqualis	1	0	0
ampsp.1	Amphiamblys sp.	1	0	0
ampsp.2	Amphinema sp.	2	0	0
ampsp.3	Amphinema sp.	2	0	0
amycha1	Amylostereum chailletii	1	1	0
amyenc1	Amylocarpus encephaloides	1	15	0
amylap1	Amylocystis lapponica	1	1	0
anarob1	Anaeromyces robustus	1	0	0
annalg1	Anncaliia algerae	2	0	0
annalg2	Anncaliia algerae	2	0	0
annbov1	Annulohypoxylon bovei	1	0	0
annmae1	Annulohypoxylon maeteangense	1	0	0
annmin1	Annulohypoxylon minutellum	1	0	0
annmor1	Annulohypoxylon moriforme	1	0	0
annnit1	Annulohypoxylon nitens	1	0	0
annsty1	Annulohypoxylon stygium	1	7	1
anntru1	Annulohypoxylon truncatum	1	1	0
antflo1	Anthracocystis flocculosa	2	3	0
antflo2	Anthracocystis flocculosa	2	3	0
antloc1	Antonospora locustae	1	0	0
antser1	Antrodia serialis	1	0	0
apipor1	Apiotrichum porosum	1	0	0
aplpru1	Aplosporella prunicola	1	0	0
apooss1	Apophysomyces ossiformis	1	0	0
aposp.1	Apophysomyces sp.	3	0	0
aposp.2	Apophysomyces sp.	3	0	0
aposp.3	Apophysomyces sp.	3	0	0
armcep1	Armillaria cepistipes	1	3	0
armgal1	Armillaria gallica	1	3	0
armmel2	Armillaria mellea	1	3	0
armost1	Armillaria ostoyae	1	1	0
armsol1	Armillaria solidipes	1	3	0
artben1	Arthroderma benhamiae	1	0	0
artele1	Artolenzites elegans	1	0	0
artent1	Arthrobotrys entomopaga	1	0	0
artfla1	Arthrobotrys flagrans	1	1	0
artmat1	Arthromyces matolae	1	0	0
artoli1	Arthrobotrys oligospora	1	2	0
artunc1	Arthroderma uncinatum	1	7	0
ascapi1	Ascosphaera apis	1	0	0
ascimm1	Ascobolus immersus	1	2	0
asclen1	Ascochyta lentis	1	0	0
ascnig1	Ascodesmis nigricans	1	3	0
ascrab1	Ascochyta rabiei	1	5	0
ascrub1	Ascoidea rubescens	2	0	0
ascrub2	Ascoidea rubescens	2	0	0
ascsar1	Ascocoryne sarcoides	1	4	0
aspacu1	Aspergillus aculeatinus	3	0	0
aspacu2	Aspergillus aculeatus	1	1	0
aspacu3	Aspergillus aculeatinus	3	0	0
aspacu4	Aspergillus aculeatinus	3	2	2
aspaff1	Aspergillus aff.floccosus	1	14	0
aspalb1	Aspergillus albertensis	1	8	0
aspall1	Aspergillus alliaceus	3	11	0
aspall2	Aspergillus alliaceus	3	11	0
aspall3	Aspergillus alliaceus	3	8	0
aspamo1	Aspergillus amoenus	1	17	0
aspara1	Aspergillus arachidicola	3	15	1
aspara2	Aspergillus arachidicola	3	14	0
aspara3	Aspergillus arachidicola	3	15	1
aspasp1	Aspergillus sp.	14	12	0
aspasp10	Aspergillus sp.	14	15	0
aspasp11	Aspergillus sp.	14	8	2
aspasp12	Aspergillus sp.	14	2	0
aspasp13	Aspergillus sp.	14	6	1
aspasp2	Aspergillus sp.	14	8	0
aspasp3	Aspergillus sp.	14	22	0
aspasp4	Aspergillus sp.	14	2	0
aspasp5	Aspergillus sp.	14	1	0
aspasp6	Aspergillus sp.	14	11	1
aspasp7	Aspergillus sp.	14	6	0
aspasp8	Aspergillus sp.	14	9	2
aspasp9	Aspergillus sp.	14	4	4
aspave1	Aspergillus avenaceus	2	1	0
aspave2	Aspergillus avenaceus	2	1	0
aspawa1	Aspergillus awamori	2	14	3
aspawa2	Aspergillus awamori	2	9	2
aspber1	Aspergillus bertholletius	1	13	0
aspber2	Aspergillus bertholletiae	1	13	0
aspbom1	Aspergillus bombycis	2	5	0
aspbom2	Aspergillus bombycis	2	5	0
aspbra1	Aspergillus brasiliensis	1	6	0
aspbru1	Aspergillus brunneoviolaceus	2	0	0
aspbru2	Aspergillus brunneoviolaceus	2	0	0
aspbru3	Aspergillus brunneus	2	12	0
aspbru4	Aspergillus brunneus	2	11	0
aspbur1	Aspergillus burnettii	1	10	0
aspcae1	Aspergillus caelatus	2	6	0
aspcae2	Aspergillus caelatus	2	6	0
aspcal2	Aspergillus calidoustus	2	14	4
aspcal3	Aspergillus calidoustus	2	14	4
aspcam1	Aspergillus campestris	2	0	0
aspcam2	Aspergillus campestris	2	0	0
aspcan2	Aspergillus candidus	2	1	0
aspcan3	Aspergillus candidus	2	1	0
aspcar1	Aspergillus carbonarius	1	1	0
aspcej1	Aspergillus cejpii	1	13	0
aspche1	Aspergillus chevalieri	2	14	3
aspche2	Aspergillus chevalieri	2	17	9
aspcla2	Aspergillus clavatus	2	8	1
aspcla3	Aspergillus clavatus	2	8	1
aspcor2	Aspergillus coremiiformis	2	2	0
aspcor3	Aspergillus coremiiformis	2	2	0
aspcos2	Aspergillus costaricaensis	2	2	1
aspcos3	Aspergillus costaricaensis	2	2	1
aspcre1	Aspergillus creber	1	5	1
aspcri1	Aspergillus cristatus	5	16	4
aspcri2	Aspergillus cristatus	5	14	6
aspcri3	Aspergillus cristatus	5	16	4
aspcri4	Aspergillus cristatus	5	17	1
aspcri5	Aspergillus cristatus	5	15	1
aspcro1	Aspergillus croceus	1	8	0
aspele1	Aspergillus elegans	1	2	0
aspell1	Aspergillus ellipticus	2	16	0
aspell2	Aspergillus ellipticus	2	17	0
aspeuc1	Aspergillus eucalypticola	2	0	0
aspeuc2	Aspergillus eucalypticola	2	0	0
aspfel1	Aspergillus felis	2	4	0
aspfel2	Aspergillus felis	2	1	0
aspfij1	Aspergillus fijiensis	2	0	0
aspfij2	Aspergillus fijiensis	2	0	0
aspfis1	Aspergillus fischeri	5	11	7
aspfis2	Aspergillus fischeri	5	13	4
aspfis3	Aspergillus fischeri	5	11	2
aspfis4	Aspergillus fischeri	5	14	4
aspfis5	Aspergillus fischeri	5	15	2
aspfla10	Aspergillus flavus	11	4	2
aspfla11	Aspergillus flavus	11	3	2
aspfla12	Aspergillus flavus	11	4	3
aspfla13	Aspergillus flavus	11	3	2
aspfla14	Aspergillus flavus	11	3	2
aspfla4	Aspergillus flavus	11	2	1
aspfla5	Aspergillus flavus	11	4	2
aspfla6	Aspergillus flavus	11	3	2
aspfla7	Aspergillus flavus	11	8	3
aspfla8	Aspergillus flavus	11	4	3
aspfla9	Aspergillus flavus	11	3	0
aspflo1	Aspergillus floridensis	1	4	0
aspfum10	Aspergillus fumigatus	13	8	0
aspfum11	Aspergillus fumigatiaffinis	4	16	1
aspfum12	Aspergillus fumigatiaffinis	4	9	0
aspfum13	Aspergillus fumigatiaffinis	4	7	2
aspfum14	Aspergillus fumigatiaffinis	4	14	0
aspfum15	Aspergillus fumigatus	13	14	4
aspfum16	Aspergillus fumigatus	13	7	1
aspfum17	Aspergillus fumigatus	13	7	2
aspfum18	Aspergillus fumigatus	13	5	0
aspfum19	Aspergillus fumigatus	13	8	1
aspfum3	Aspergillus fumigatus	13	12	5
aspfum4	Aspergillus fumigatus	13	16	6
aspfum5	Aspergillus fumigatus	13	12	5
aspfum6	Aspergillus fumigatus	13	17	8
aspfum7	Aspergillus fumigatus	13	8	0
aspfum8	Aspergillus fumigatus	13	6	1
aspfum9	Aspergillus fumigatus	13	2	0
aspgla1	Aspergillus glaucus	1	20	1
asphan1	Aspergillus hancockii	1	15	0
asphet2	Aspergillus heteromorphus	2	0	0
asphet3	Aspergillus heteromorphus	2	0	0
asphir1	Aspergillus hiratsukae	2	17	1
asphir2	Aspergillus hiratsukae	2	16	0
asphom1	Aspergillus homomorphus	2	4	0
asphom2	Aspergillus homomorphus	2	4	0
aspibe1	Aspergillus ibericus	2	6	0
aspibe2	Aspergillus ibericus	2	7	0
aspinc1	Aspergillus incahuasiensis	1	1	0
aspind2	Aspergillus indologenus	2	2	1
aspind3	Aspergillus indologenus	2	2	1
aspjap1	Aspergillus japonicus	3	3	1
aspjap2	Aspergillus japonicus	3	3	1
aspjap3	Aspergillus japonicus	3	1	0
aspjen1	Aspergillus jensenii	1	11	3
aspkaw1	Aspergillus kawachii	1	9	0
asplat1	Aspergillus latus	7	9	0
asplat2	Aspergillus latus	7	10	0
asplat3	Aspergillus latus	7	12	0
asplat4	Aspergillus latus	7	14	0
asplat5	Aspergillus latus	7	10	0
asplat6	Aspergillus latus	7	9	0
asplat7	Aspergillus latus	7	14	0
asplen1	Aspergillus lentulus	10	0	0
asplen10	Aspergillus lentulus	10	1	1
asplen2	Aspergillus lentulus	10	2	1
asplen3	Aspergillus lentulus	10	1	0
asplen4	Aspergillus lentulus	10	2	1
asplen5	Aspergillus lentulus	10	4	0
asplen6	Aspergillus lentulus	10	1	0
asplen7	Aspergillus lentulus	10	6	1
asplen8	Aspergillus lentulus	10	6	1
asplen9	Aspergillus lentulus	10	2	0
asplep1	Aspergillus leporis	2	17	0
asplep2	Aspergillus leporis	2	17	0
aspluc10	Aspergillus luchuensis	12	9	1
aspluc11	Aspergillus luchuensis	12	9	1
aspluc12	Aspergillus luchuensis	12	9	5
aspluc13	Aspergillus luchuensis	12	3	1
aspluc2	Aspergillus luchuensis	12	8	1
aspluc3	Aspergillus luchuensis	12	9	0
aspluc4	Aspergillus luchuensis	12	1	0
aspluc5	Aspergillus luchuensis	12	9	1
aspluc6	Aspergillus luchuensis	12	9	1
aspluc7	Aspergillus luchuensis	12	1	0
aspluc8	Aspergillus luchuensis	12	9	1
aspluc9	Aspergillus luchuensis	12	9	1
aspmel1	Aspergillus melleus	1	16	6
aspmin1	Aspergillus minisclerotigenes	2	1	0
aspmin2	Aspergillus minisclerotigenes	2	1	0
aspmon1	Aspergillus montevidensis	1	27	1
aspmul3	Aspergillus mulundensis	1	0	0
aspnan1	Aspergillus nanangensis	1	9	0
aspneo7	Aspergillus neoniger	2	0	0
aspneo8	Aspergillus neoellipticus	1	6	1
aspneo9	Aspergillus neoniger	2	0	0
aspnid1	Aspergillus nidulans	3	5	1
aspnid3	Aspergillus nidulans	3	5	3
aspnid4	Aspergillus nidulans	3	8	2
aspnig10	Aspergillus niger	15	5	3
aspnig11	Aspergillus niger	15	7	4
aspnig12	Aspergillus niger	15	8	2
aspnig13	Aspergillus niger	15	2	2
aspnig14	Aspergillus niger	15	0	0
aspnig15	Aspergillus niger	15	13	4
aspnig16	Aspergillus niger	15	1	0
aspnig2	Aspergillus niger	15	7	0
aspnig3	Aspergillus niger	15	5	2
aspnig4	Aspergillus niger	15	5	5
aspnig5	Aspergillus niger	15	5	3
aspnig6	Aspergillus niger	15	5	2
aspnig7	Aspergillus niger	15	6	0
aspnig8	Aspergillus niger	15	7	0
aspnig9	Aspergillus niger	15	6	0
aspnom1	Aspergillus nomius	2	12	2
aspnom2	Aspergillus nomius	2	2	0
aspnom3	Aspergillus nomiae	2	2	0
aspnom4	Aspergillus nomiae	2	2	0
aspnov1	Aspergillus novoparasiticus	2	14	1
aspnov2	Aspergillus novofumigatus	2	7	1
aspnov3	Aspergillus novofumigatus	2	7	1
aspnov4	Aspergillus novoparasiticus	2	14	1
aspoch1	Aspergillus ochraceoroseus	4	2	0
aspoch2	Aspergillus ochraceoroseus	4	2	0
aspoch3	Aspergillus ochraceoroseus	4	2	0
aspoch4	Aspergillus ochraceoroseus	4	2	0
aspoch5	Aspergillus ochraceus	2	9	3
aspoch6	Aspergillus ochraceus	2	3	2
aspoer1	Aspergillus oerlinghausenensis	1	1	0
aspoli1	Aspergillus olivimuriae	1	19	0
aspory1	Aspergillus oryzae	12	10	5
aspory10	Aspergillus oryzae	12	10	3
aspory11	Aspergillus oryzae	12	8	2
aspory12	Aspergillus oryzae	12	11	5
aspory2	Aspergillus oryzae	12	2	0
aspory3	Aspergillus oryzae	12	2	0
aspory4	Aspergillus oryzae	12	10	5
aspory5	Aspergillus oryzae	12	9	4
aspory6	Aspergillus oryzae	12	4	0
aspory7	Aspergillus oryzae	12	4	0
aspory8	Aspergillus oryzae	12	12	4
aspory9	Aspergillus oryzae	12	7	3
asppar1	Aspergillus parvisclerotigenus	1	3	0
asppar10	Aspergillus parasiticus	11	4	1
asppar11	Aspergillus parasiticus	11	4	0
asppar12	Aspergillus parasiticus	11	4	1
asppar13	Aspergillus parasiticus	11	10	1
asppar14	Aspergillus parasiticus	11	9	0
asppar4	Aspergillus parasiticus	11	3	1
asppar5	Aspergillus parasiticus	11	6	0
asppar6	Aspergillus parasiticus	11	2	0
asppar7	Aspergillus parasiticus	11	3	1
asppar8	Aspergillus parasiticus	11	3	2
asppar9	Aspergillus parasiticus	11	4	0
aspper1	Aspergillus persii	1	11	1
asppho1	Aspergillus phoenicis	1	5	2
asppip1	Aspergillus piperis	2	0	0
asppip2	Aspergillus piperis	2	0	0
asppro1	Aspergillus protuberus	1	10	1
asppse10	Aspergillus pseudonomiae	2	12	2
asppse11	Aspergillus pseudoterreus	2	2	1
asppse12	Aspergillus pseudoterreus	2	2	1
asppse13	Aspergillus pseudotamarii	2	7	0
asppse14	Aspergillus pseudocaelatus	2	7	0
asppse15	Aspergillus pseudoviridinutans	1	4	0
asppse6	Aspergillus pseudonomius	1	14	1
asppse7	Aspergillus pseudotamarii	2	7	0
asppse8	Aspergillus pseudocaelatus	2	7	0
asppse9	Aspergillus pseudonomiae	2	14	1
asppuu1	Aspergillus puulaauensis	1	2	1
aspqua1	Aspergillus quadrilineatus	1	12	1
aspram2	Aspergillus rambellii	2	2	0
aspram3	Aspergillus rambellii	2	2	0
asprub1	Aspergillus ruber	1	13	0
aspsac1	Aspergillus saccharolyticus	2	4	0
aspsac2	Aspergillus saccharolyticus	2	4	0
aspscl2	Aspergillus sclerotiicarbonarius	2	1	0
aspscl3	Aspergillus sclerotioniger	2	4	0
aspscl4	Aspergillus sclerotialis	1	6	0
aspscl5	Aspergillus sclerotiorum	1	14	0
aspscl6	Aspergillus sclerotioniger	2	4	0
aspscl7	Aspergillus sclerotiicarbonarius	2	1	0
aspser1	Aspergillus sergii	2	5	0
aspser2	Aspergillus sergii	2	5	0
aspsoj1	Aspergillus sojae	5	12	2
aspsoj2	Aspergillus sojae	5	13	3
aspsoj3	Aspergillus sojae	5	13	2
aspsoj4	Aspergillus sojae	5	10	1
aspsoj5	Aspergillus sojae	5	11	1
aspsp.1	Aspergillus sp.	14	5	0
aspspi1	Aspergillus spinulosporus	2	4	1
aspspi2	Aspergillus spinulosporus	2	3	0
aspste3	Aspergillus steynii	2	4	1
aspste4	Aspergillus steynii	2	4	1
aspsyd1	Aspergillus sydowii	4	8	1
aspsyd2	Aspergillus sydowii	4	8	1
aspsyd3	Aspergillus sydowii	4	15	0
aspsyd4	Aspergillus sydowii	4	17	0
asptai1	Aspergillus taichungensis	2	1	0
asptai2	Aspergillus taichungensis	2	1	0
asptam1	Aspergillus tamarii	4	11	0
asptam2	Aspergillus tamarii	4	10	0
asptam3	Aspergillus tamarii	4	5	0
asptam4	Aspergillus tamarii	4	11	0
asptan1	Aspergillus tanneri	1	25	0
aspter1	Aspergillus terreus	10	1	0
aspter10	Aspergillus terreus	10	6	0
aspter2	Aspergillus terreus	10	1	0
aspter3	Aspergillus terreus	10	0	0
aspter4	Aspergillus terreus	10	1	1
aspter5	Aspergillus terreus	10	2	0
aspter6	Aspergillus terreus	10	7	3
aspter7	Aspergillus terreus	10	2	1
aspter8	Aspergillus terreus	10	11	2
aspter9	Aspergillus terreus	10	11	2
aspthe1	Aspergillus thermomutatus	1	24	0
asptra2	Aspergillus transmontanensis	2	7	1
asptra3	Aspergillus transmontanensis	2	7	1
asptri1	Aspergillus tritici	1	0	0
asptub1	Aspergillus tubingensis	10	2	0
asptub10	Aspergillus tubingensis	10	5	1
asptub2	Aspergillus tubingensis	10	1	0
asptub3	Aspergillus tubingensis	10	0	0
asptub4	Aspergillus tubingensis	10	0	0
asptub5	Aspergillus tubingensis	10	0	0
asptub6	Aspergillus tubingensis	10	1	1
asptub7	Aspergillus tubingensis	10	0	0
asptub8	Aspergillus tubingensis	10	0	0
asptub9	Aspergillus tubingensis	10	0	0
asptur1	Aspergillus turcosus	2	2	0
asptur2	Aspergillus turcosus	2	1	0
aspuda1	Aspergillus udagawae	7	4	1
aspuda2	Aspergillus udagawae	7	4	2
aspuda3	Aspergillus udagawae	7	5	0
aspuda4	Aspergillus udagawae	7	10	0
aspuda5	Aspergillus udagawae	7	13	2
aspuda6	Aspergillus udagawae	7	10	0
aspuda7	Aspergillus udagawae	7	4	0
aspung1	Aspergillus unguis	4	5	0
aspung2	Aspergillus unguis	4	7	3
aspung3	Aspergillus unguis	4	8	3
aspung4	Aspergillus unguis	4	7	3
aspust1	Aspergillus ustus	1	10	0
aspuva1	Aspergillus uvarum	2	6	0
aspuva2	Aspergillus uvarum	2	6	0
aspvad1	Aspergillus vadensis	2	4	0
aspvad2	Aspergillus vadensis	2	4	0
aspver1	Aspergillus versicolor	2	1	0
aspver2	Aspergillus versicolor	2	14	0
aspvio1	Aspergillus violaceofuscus	2	3	0
aspvio2	Aspergillus violaceofuscus	2	3	0
aspvir1	Aspergillus viridinutans	2	1	0
aspvir2	Aspergillus viridinutans	2	2	0
aspwel1	Aspergillus welwitschiae	5	8	2
aspwel2	Aspergillus welwitschiae	5	8	2
aspwel3	Aspergillus welwitschiae	5	9	2
aspwel4	Aspergillus welwitschiae	5	8	0
aspwel5	Aspergillus welwitschiae	5	9	0
aspwen1	Aspergillus wentii	1	4	0
aspwes1	Aspergillus westerdijkiae	2	5	1
aspwes2	Aspergillus westerdijkiae	2	3	0
aspzon1	Aspergillus zonatus	1	2	0
astodo1	Astraeus odoratus	1	0	0
astpar1	Asterophora parasitica	1	0	0
astsub1	Astrocystis sublimbata	1	3	0
athara1	Athelia arachnoidea	2	0	0
athara2	Athelia arachnoidea	2	0	0
athdec1	Athelia decipiens	1	0	0
athepi1	Athelia epiphylla	1	1	0
athter1	Athelia termitophila	2	0	0
athter2	Athelia termitophila	2	1	0
aulhed1	Aulographum hederae	1	1	0
auramp1	Auriculariopsis ampla	1	0	0
aurmel1	Aureobasidium melanogenum	1	1	0
aurmus1	Aureobasidium mustum	1	0	0
aurnam1	Aureobasidium namibiae	1	0	0
aurpul1	Aureobasidium pullulans	6	1	0
aurpul2	Aureobasidium pullulans	6	1	0
aurpul3	Aureobasidium pullulans	6	0	0
aurpul4	Aureobasidium pullulans	6	3	0
aurpul5	Aureobasidium pullulans	6	1	0
aurpul6	Aureobasidium pullulans	6	3	0
aursp.1	Aureobasidium sp.	1	0	0
aursp.2	Auriculariales sp.	1	0	0
aursub2	Aureobasidium subglaciale	1	1	0
aursub3	Auricularia subglabra	1	1	0
auruva1	Aureobasidium uvarum	1	0	0
aurvin1	Aureobasidium vineae	1	0	0
aurvul1	Auriscalpium vulgare	1	1	0
auspsi1	Austropuccinia psidii	1	0	0
babino1	Babjeviella inositovora	1	0	0
bacgig1	Bacidia gigantensis	1	4	0
basmer1	Basidiobolus meristosporus	1	0	0
batden1	Batrachochytrium dendrobatidis	2	0	0
batden2	Batrachochytrium dendrobatidis	2	0	0
batsal1	Batrachochytrium salamandrivorans	1	0	0
baucom1	Baudoinia compniacensis	1	2	0
baupan1	Baudoinia panamericana	1	2	0
beabas1	Beauveria bassiana	2	18	0
beabas2	Beauveria bassiana	2	8	0
beabro1	Beauveria brongniartii	1	13	0
bifade1	Bifiguratus adelaidae	1	0	0
bimnov1	Bimuria novae-zelandiae	1	34	0
bipmay1	Bipolaris maydis	2	5	0
bipmay2	Bipolaris maydis	2	6	0
bipory1	Bipolaris oryzae	1	6	0
bipsor1	Bipolaris sorokiniana	2	3	1
bipsor2	Bipolaris sorokiniana	2	3	0
bipzei1	Bipolaris zeicola	1	6	0
bismar1	Biscogniauxia marginata	1	1	0
bismed1	Biscogniauxia mediterranea	2	2	0
bismed2	Biscogniauxia mediterranea	2	1	0
bissp.1	Biscogniauxia sp.	1	0	0
bjeadu1	Bjerkandera adusta	1	0	0
blaar.1	Blastobotrys (Arxula)	1	0	0
blader2	Blastomyces dermatitidis	4	25	2
blader3	Blastomyces dermatitidis	4	16	0
blader4	Blastomyces dermatitidis	4	16	0
blader5	Blastomyces dermatitidis	4	19	2
blagil1	Blastomyces gilchristii	1	25	2
blapar1	Blastomyces parvus	1	3	0
blaper1	Blastomyces percursus	1	77	0
blasil1	Blastomyces silverae	1	0	0
blazon1	Blastosporella zonata	1	0	0
blugra3	Blumeria graminis	6	0	0
blugra4	Blumeria graminis	6	0	0
blugra5	Blumeria graminis	6	0	0
blugra6	Blumeria graminis	6	0	0
blugra7	Blumeria graminis	6	0	0
blugra9	Blumeria graminis	6	0	0
bluhor1	Blumeria hordei	1	0	0
blyhel1	Blyttiomyces helicus	1	0	0
boeexi1	Boeremia exigua	1	0	0
boledu1	Boletus edulis	2	0	0
boledu2	Boletus edulis	2	0	0
bolret1	Boletus reticuloceps	1	0	0
bonmes1	Bondarzewia mesenterica	1	1	0
botacl1	Botrytis aclada	1	4	0
botbot1	Botryobasidium botryosum	1	0	0
botbys1	Botrytis byssoidea	1	0	0
botcal1	Botryotinia calthae	1	8	0
botcin3	Botrytis cinerea	3	2	0
botcin4	Botrytis cinerea	3	1	0
botcin5	Botrytis cinerea	3	1	0
botcon1	Botryotinia convoluta	1	4	0
botdew1	Botrytis deweyae	1	1	1
botdot1	Botryosphaeria dothidea	1	3	0
botell1	Botrytis elliptica	2	0	0
botell2	Botrytis elliptica	2	0	0
botfra1	Botrytis fragariae	1	2	0
botgal1	Botrytis galanthina	1	1	0
botglo1	Botryotinia globosa	1	0	0
bothya1	Botrytis hyacinthi	1	3	0
botnar1	Botryotinia narcissicola	1	0	0
botpae1	Botrytis paeoniae	1	1	0
botpor1	Botrytis porri	2	5	0
botpor2	Botrytis porri	2	5	0
botsin1	Botrytis sinoallii	1	1	1
botsqu1	Botryotinia squamosa	1	0	0
bottul1	Botrytis tulipae	1	4	0
brebru10	Brettanomyces bruxellensis	5	0	0
brebru2	Brettanomyces bruxellensis	5	0	0
brebru3	Brettanomyces bruxellensis	5	0	0
brebru5	Brettanomyces bruxellensis	5	0	0
brebru6	Brettanomyces bruxellensis	5	0	0
brenaa1	Brettanomyces naardenensis	1	0	0
brenan1	Brettanomyces nanus	1	0	0
butros1	Butyriboletus roseoflavus	1	1	0
byscir1	Byssothecium circinans	1	5	0
bysspe1	Byssochlamys spectabilis	1	0	0
cadmal1	Cadophora malorum	1	17	0
cadsp.1	Cadophora sp.	2	41	0
cadsp.2	Cadophora sp.	2	15	0
caechu1	Caecomyces churrovis	1	0	0
calcor1	Calocera cornea	1	0	0
calmar1	Calycina marina	1	17	0
calvis1	Calocera viscosa	1	0	0
camtin1	Camillea tinctor	1	3	0
canafr1	Candida africana	1	0	0
canalb10	Candida albicans	25	0	0
canalb11	Candida albicans	25	0	0
canalb12	Candida albicans	25	0	0
canalb13	Candida albicans	25	0	0
canalb14	Candida albicans	25	0	0
canalb15	Candida albicans	25	0	0
canalb16	Candida albicans	25	0	0
canalb17	Candida albicans	25	0	0
canalb18	Candida albicans	25	0	0
canalb19	Candida albicans	25	0	0
canalb2	Candida albicans	25	0	0
canalb20	Candida albicans	25	0	0
canalb21	Candida albicans	25	0	0
canalb22	Candida albicans	25	0	0
canalb23	Candida albicans	25	0	0
canalb24	Candida albicans	25	0	0
canalb25	Candida albicans	25	0	0
canalb26	Candida albicans	25	0	0
canalb27	Candida albicans	25	0	0
canalb28	Candida albicans	25	0	0
canalb3	Candida albicans	25	0	0
canalb4	Candida albicans	25	0	0
canalb7	Candida albicans	25	0	0
canalb8	Candida albicans	25	0	0
canalb9	Candida albicans	25	0	0
cananz1	Cantharellus anzutake	1	0	0
canara1	Candida arabinofermentans	1	0	0
canaur1	Candida auris	8	0	0
canaur2	Candida auris	8	0	0
canaur3	Candida auris	8	0	0
canaur4	Candida auris	8	0	0
canaur5	Candida auris	8	0	0
canaur6	Candida auris	8	0	0
canaur7	Candida auris	8	0	0
canaur8	Candida auris	8	0	0
canboi1	Candida boidinii	1	0	0
cancal1	Candida californica	2	0	0
cancal2	Candida californica	2	0	0
candub1	Candida dubliniensis	1	0	0
canduo1	Candida duobushaemulonis	1	0	0
cangla1	Candida glabrata	13	0	0
cangla10	Candida glabrata	13	0	0
cangla11	Candida glabrata	13	0	0
cangla12	Candida glabrata	13	0	0
