geneID	repID_mmseqs90/80	repID_mmseqs50/80	familyID
altals1_tyr65	altalt12_tyr72	claely1_486881	fam10
altals1_tyr66	altals1_tyr66	lenflu1_KAF2676861.1	fam05
altalt11_tyr67	altlon1_tyr176	altlon1_tyr176	fam10
altalt11_tyr68	altalt11_tyr68	lizemp1_118025	fam10
altalt11_tyr69	altalt11_tyr69	lenflu1_KAF2676861.1	fam05
altalt12_tyr70	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altalt12_tyr71	altalt13_tyr75	lenflu1_KAF2676861.1	fam05
altalt12_tyr72	altalt12_tyr72	claely1_486881	fam10
altalt13_tyr73	altalt13_tyr73	altatr1_tyr120	fam05
altalt13_tyr74	altalt12_tyr72	claely1_486881	fam10
altalt13_tyr75	altalt13_tyr75	lenflu1_KAF2676861.1	fam05
altalt14_tyr76	altlon1_tyr176	altlon1_tyr176	fam10
altalt4_495603	altlon1_tyr176	altlon1_tyr176	fam10
altalt5_1003687	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altalt6_tyr79	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altalt7_tyr80	altalt7_tyr80	claely1_486881	fam10
altalt7_tyr81	altalt11_tyr68	lizemp1_118025	fam10
altalt7_tyr82	altlon1_tyr176	altlon1_tyr176	fam10
altalt8_tyr83	altalt8_tyr83	altlon1_tyr172	fam05
altalt8_tyr84	altalt12_tyr72	claely1_486881	fam10
altalt9_tyr85	altalt9_tyr85	decgau1_636434	fam04
altalt9_tyr86	altalt9_tyr86	lizemp1_118025	fam10
altalt9_tyr87	altalt9_tyr87	altalt9_tyr87	fam10
altarb1_tyr88	altalt12_tyr72	claely1_486881	fam10
altarb2_tyr89	altarb3_tyr92	altlon1_tyr172	fam05
altarb3_tyr90	altarb3_tyr90	altlon1_tyr176	fam10
altarb3_tyr91	altatr1_tyr111	lizemp1_118025	fam10
altarb3_tyr92	altarb3_tyr92	altlon1_tyr172	fam05
altarb3_tyr93	altlon1_tyr176	altlon1_tyr176	fam10
altarb4_tyr94	altarb4_tyr94	lizemp1_118025	fam10
altarb4_tyr95	altlon1_tyr176	altlon1_tyr176	fam10
altarb4_tyr96	altarb4_tyr96	pyrtri11_KAG9375895.1	fam10
altarb5_tyr100	altarb5_tyr100	altarb5_tyr100	fam05
altarb5_tyr101	altarb5_tyr101	bipmay1_ENH98990.1	fam05
altarb5_tyr103	altarb5_tyr103	lenflu1_KAF2676861.1	fam05
altarb5_tyr97	altarb3_tyr90	altlon1_tyr176	fam10
altarb5_tyr98	altarb5_tyr101	bipmay1_ENH98990.1	fam05
altarb5_tyr99	altarb5_tyr99	lenflu1_KAF2676861.1	fam05
altarb6_tyr104	altalt12_tyr72	claely1_486881	fam10
altarb7_tyr105	altarb7_tyr105	altatr1_tyr120	fam05
altarb7_tyr106	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altarb7_tyr107	altarb7_tyr107	altarb7_tyr109	fam05
altarb7_tyr109	altarb7_tyr109	altarb7_tyr109	fam05
altatr1_CAG5179564.1	altatr1_CAG5179564.1	altatr1_CAG5179564.1	fam05
altatr1_CAG5182952.1	altatr1_tyr111	lizemp1_118025	fam10
altatr1_CAG5188954.1	altgan2_tyr168	altlon1_tyr172	fam05
altatr1_CAG5189908.1_CAG5189909.1	altatr1_CAG5189908.1_CAG5189909.1	decgau1_636434	n.d.
altatr1_tyr111	altatr1_tyr111	lizemp1_118025	fam10
altatr1_tyr112	altatr1_tyr112	pyrtri11_KAG9375895.1	fam10
altatr1_tyr113	altarb3_tyr90	altlon1_tyr176	fam10
altatr1_tyr114	altatr1_tyr114	altatr1_tyr114	fam10
altatr1_tyr115	altarb3_tyr90	altlon1_tyr176	fam10
altatr1_tyr118	altatr1_tyr111	lizemp1_118025	fam10
altatr1_tyr120	altatr1_tyr120	altatr1_tyr120	fam05
altatr1_tyr121	altatr1_tyr121	altatr1_tyr121	fam10
altatr1_tyr122	altarb3_tyr90	altlon1_tyr176	fam10
altatr2_tyr123	altatr2_tyr123	lizemp1_118025	fam10
altatr2_tyr124	cocvic1_31780	lenflu1_KAF2676861.1	fam05
altatr2_tyr125	altatr2_tyr125	altatr2_tyr125	fam10
altatr2_tyr126	altarb3_tyr90	altlon1_tyr176	fam10
altatr2_tyr127	altgan2_tyr168	altlon1_tyr172	fam05
altbra3_tyr135	cocvic1_31780	lenflu1_KAF2676861.1	fam05
altbra3_tyr136	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altbra3_tyr137	altbra3_tyr137	lizemp1_118025	fam10
altbra3_tyr138	altbra3_tyr138	decgau1_636434	fam04
altbra3_tyr139	altbra3_tyr139	altatr1_tyr120	fam05
altbra3_tyr140	cocvic1_31780	lenflu1_KAF2676861.1	fam05
altbra3_tyr141	cocvic1_31780	lenflu1_KAF2676861.1	fam05
altbra3_tyr142	altbra3_tyr147	cocmiy1_41658	fam05
altbra3_tyr143	cocvic1_31780	lenflu1_KAF2676861.1	fam05
altbra3_tyr144	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altbra3_tyr145	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altbra3_tyr146	altbra3_tyr146	cocmiy1_41658	fam05
altbra3_tyr147	altbra3_tyr147	cocmiy1_41658	fam05
altcon1_tyr148	altbra3_tyr138	decgau1_636434	fam04
altcon1_tyr149	altcon1_tyr149	claely1_486881	fam10
altcon1_tyr150	altatr1_tyr111	lizemp1_118025	fam10
altcon1_tyr151	altcon1_tyr151	altatr1_tyr114	fam10
altcon1_tyr152	altarb3_tyr90	altlon1_tyr176	fam10
altcon1_tyr153	altcon1_tyr153	lizemp1_tyr7984	fam10
altcon1_tyr154	cocvic1_31780	lenflu1_KAF2676861.1	fam05
altgai1_tyr155	altgai1_tyr155	altgai1_tyr155	fam10
altgai1_tyr156	phisub1_14867	vergal1_118749	fam06
altgai1_tyr157	altgai1_tyr157	altgai1_tyr157	clade03
altgai1_tyr158	altgai1_tyr158	altgai1_tyr158	fam05
altgai1_tyr159	altgai1_tyr159	altgai1_tyr159	fam04
altgan1_tyr160	altgan2_tyr167	decgau1_636434	fam04
altgan1_tyr161	altgan1_tyr161	ophdis1_tyr8516	fam05
altgan1_tyr162	altgan2_tyr168	altlon1_tyr172	fam05
altgan1_tyr163	altgan2_tyr166	altgan2_tyr166	fam06
altgan1_tyr164	altgan2_tyr165	altgan2_tyr165	fam10
altgan2_tyr165	altgan2_tyr165	altgan2_tyr165	fam10
altgan2_tyr166	altgan2_tyr166	altgan2_tyr166	fam06
altgan2_tyr167	altgan2_tyr167	decgau1_636434	fam04
altgan2_tyr168	altgan2_tyr168	altlon1_tyr172	fam05
altgan2_tyr169	altgan1_tyr161	ophdis1_tyr8516	fam05
altlon1_tyr170	altlon1_tyr176	altlon1_tyr176	fam10
altlon1_tyr171	altalt11_tyr68	lizemp1_118025	fam10
altlon1_tyr172	altlon1_tyr172	altlon1_tyr172	fam05
altlon1_tyr173	altlon1_tyr173	altlon1_tyr172	fam05
altlon1_tyr174	altlon1_tyr176	altlon1_tyr176	fam10
altlon1_tyr175	altalt11_tyr68	lizemp1_118025	fam10
altlon1_tyr176	altlon1_tyr176	altlon1_tyr176	fam10
altlon1_tyr177	altalt11_tyr68	lizemp1_118025	fam10
altlon1_tyr178	altbra3_tyr138	decgau1_636434	fam04
altlon1_tyr179	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altlon1_tyr180	altlon1_tyr176	altlon1_tyr176	fam10
altlon1_tyr181	altalt11_tyr68	lizemp1_118025	fam10
altpan1_KAG9186438.1	altpan1_KAG9186438.1	lenflu1_KAF2676861.1	fam05
altros1_418766	altros2_tyr189	altros2_tyr189	fam04
altros1_438891	altros1_438891	pyrtri11_KAG9375895.1	fam10
altros1_439761	altros2_tyr193	decgau1_636434	fam04
altros1_443054	altros1_438891	pyrtri11_KAG9375895.1	fam10
altros1_455456	altros2_tyr190	altlon1_tyr172	fam05
altros2_tyr189	altros2_tyr189	altros2_tyr189	fam04
altros2_tyr190	altros2_tyr190	altlon1_tyr172	fam05
altros2_tyr191	altros1_438891	pyrtri11_KAG9375895.1	fam10
altros2_tyr192	altros1_438891	pyrtri11_KAG9375895.1	fam10
altros2_tyr193	altros2_tyr193	decgau1_636434	fam04
altsol1_tyr195	altsol2_tyr198	altsol2_tyr198	clade03
altsol2_tyr196	altatr1_tyr111	lizemp1_118025	fam10
altsol2_tyr197	altlon1_tyr176	altlon1_tyr176	fam10
altsol2_tyr198	altsol2_tyr198	altsol2_tyr198	clade03
altsp.4_RII11855.1	altlon1_tyr176	altlon1_tyr176	fam10
altsp.4_RII11859.1	lizemp1_122135	ophdis1_450230	fam04
altsp.4_RII17389.1	altsp.4_RII17389.1	altatr1_tyr120	fam05
altsp.4_RII22842.1_RII22841.1	altalt11_tyr68	lizemp1_118025	n.d.
altsp.4_RII22934.1_RII22935.1	altals1_tyr64	lenflu1_KAF2676861.1	n.d.
altsp.4_tyr203	altsp.4_tyr203	claely1_177683	fam05
altten1_tyr205	altalt12_tyr72	claely1_486881	fam10
altten3_tyr206	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altten3_tyr207	altalt8_tyr83	altlon1_tyr172	fam05
altten4_tyr209	altalt8_tyr83	altlon1_tyr172	fam05
altten4_tyr210	altalt12_tyr72	claely1_486881	fam10
altten4_tyr211	altatr1_tyr111	lizemp1_118025	fam10
altten4_tyr212	altlon1_tyr176	altlon1_tyr176	fam10
altten5_tyr214	altten5_tyr214	altatr1_tyr120	fam05
altten5_tyr215	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altten5_tyr216	altten5_tyr216	lenflu1_KAF2676861.1	fam05
altten6_tyr217	altalt12_tyr72	claely1_486881	fam10
altten7_tyr218	altalt8_tyr83	altlon1_tyr172	fam05
altten7_tyr219	altalt12_tyr72	claely1_486881	fam10
altten7_tyr220	altlon1_tyr176	altlon1_tyr176	fam10
altten7_tyr222	altatr1_tyr111	lizemp1_118025	fam10
altten8_tyr223	altals1_tyr64	lenflu1_KAF2676861.1	fam05
altten8_tyr224	altten8_tyr224	lenflu1_KAF2676861.1	fam05
amamus4_1720	amamus4_1720	amamus4_1720	fam11
amapse1_tyr227	amapse1_tyr227	amapse1_tyr227	fam11
amnlig1_385301	amnlig1_385301	amnlig1_385301	fam05
amnlig1_424037	amnlig1_424037	amnlig1_424037	fam04
amnlig1_568699_568700	amnlig1_568699_568700	amnlig1_568699_568700	n.d.
amnlig1_599142	amnlig1_599142	amnlig1_599142	fam10
amores1_PSS18287.1	amores1_PSS18287.1	amores1_PSS18287.1	fam04
amores1_PSS18505.1	amores1_PSS18505.1	amores1_PSS18505.1	fam01
amores1_PSS18507.1	amores1_PSS18507.1	amores1_PSS18507.1	fam07
amores1_PSS27036.1_PSS27037.1	amores1_PSS27036.1_PSS27037.1	lachya1_TVY22339.1	n.d.
amycha1_1183561	amycha1_1183561	amycha1_1183561	fam11
amyenc1_385848_385852_488278	amyenc1_385848_385852_488278	rhesp.1_375297	n.d.
amyenc1_386345_507659	amyenc1_386345_507659	amyenc1_386345_507659	n.d.
amyenc1_389645	amyenc1_389645	amyenc1_389645	fam08
amyenc1_432340_521054	amyenc1_432340_521054	amyenc1_432340_521054	n.d.
amyenc1_445798	amyenc1_445798	amyenc1_445798	fam05
amyenc1_46620	amyenc1_46620	amyenc1_46620	fam05
amyenc1_480357	amyenc1_480357	amyenc1_480357	fam01
amyenc1_489673	amyenc1_489673	psesp.11_OBT51882.1_OBT51880.1	fam01
amyenc1_498371	amyenc1_498371	psesp.18_KFY46141.1_KFY46142.1	fam05
amyenc1_503499	amyenc1_503499	hymalb1_CAG8982670.1	fam05
amyenc1_505978	amyenc1_505978	zalvar1_538602	fam01
amyenc1_513885	amyenc1_513885	psesp.18_KFY46141.1_KFY46142.1	fam05
amyenc1_537715	amyenc1_537715	amyenc1_537715	fam05
amyenc1_547861	amyenc1_547861	amyenc1_547861	fam04
amyenc1_tyr249	amyenc1_tyr249	zalvar1_678354	fam10
amylap1_691785	amylap1_691785	treper1_499963_134336	fam09
annsty1_339604_401957	annsty1_339604_401957	annsty1_339604_401957	n.d.
annsty1_389805	annsty1_389805	hyptru1_432624	fam09
annsty1_404214	annsty1_404214	annsty1_404214	fam09
annsty1_424102	roster1_tyr10014	roster1_tyr10014	fam09
annsty1_425486	roster1_482691	hyptru1_435293	fam09
annsty1_426290	roster1_tyr10014	roster1_tyr10014	fam09
annsty1_427123	annsty1_427123	annsty1_427123	fam09
anntru1_173788	anntru1_173788	dalgra1_438190	fam01
antflo1_EPQ27817.1	pseflo1_2014	pseflo1_2014	fam11
antflo1_EPQ28709.1	antflo1_EPQ28709.1	antflo1_EPQ28709.1	fam11
antflo1_EPQ29348.1	pseflo1_6738	pseflo1_6738	fam11
antflo2_SPO37866.1	pseflo1_6738	pseflo1_6738	fam11
antflo2_SPO39522.1	antflo1_EPQ28709.1	antflo1_EPQ28709.1	fam11
antflo2_SPO41055.1	pseflo1_2014	pseflo1_2014	fam11
armcep1_10306	armgal1_1110280	armcep1_7624	fam11
armcep1_6418	armcep1_6418	armost1_262017	fam11
armcep1_7624	armcep1_7624	armcep1_7624	fam11
armgal1_1110280	armgal1_1110280	armcep1_7624	fam11
armgal1_273901	armgal1_9371	armgal1_9371	fam11
armgal1_9371	armgal1_9371	armgal1_9371	fam11
armmel2_4879	armmel2_4879	armcep1_7624	fam11
armmel2_6973	armmel2_6973	armcep1_7624	fam11
armmel2_9893	armmel2_9893	armmel2_9893	fam08
armost1_262017	armost1_262017	armost1_262017	fam11
armsol1_123340	armsol1_123340	armsol1_123340	fam10
armsol1_356845	armsol1_356845	armsol1_356845	fam11
armsol1_970671	armsol1_970671	armost1_262017	fam11
artfla1_tyr311	artfla1_tyr311	artfla1_tyr311	fam03
artoli1_7049	artoli1_7049	artoli1_7049	fam03
artoli1_7110	orboli1_EGX47257.1	daccio1_otherdc0103420	fam03
artunc1_KAF3481524.1	artunc1_KAF3492106.1	hiscap1_tyr7335	fam05
artunc1_KAF3484272.1	artunc1_KAF3484272.1	artunc1_KAF3484272.1	fam05
artunc1_KAF3484334.1	artunc1_KAF3484334.1	psesp.12_OBT39661.1_OBT39658.1_OBT39659.1	fam01
artunc1_KAF3492095.1	artunc1_KAF3492095.1	artunc1_KAF3492095.1	fam05
artunc1_KAF3492106.1	artunc1_KAF3492106.1	hiscap1_tyr7335	fam05
artunc1_KAF3492426.1	artunc1_KAF3492426.1	aspuda5_tyr3030	fam05
artunc1_KAF3492431.1	artunc1_KAF3492431.1	artunc1_KAF3492431.1	fam01
ascimm1_310173	ascimm1_310173	ascimm1_310173	clade03
ascimm1_331854	ascimm1_331854	ascimm1_331854	clade03
ascnig1_307582	ascnig1_307582	ascnig1_307582	fam03
ascnig1_364912	ascnig1_364912	ascnig1_364912	fam08
ascnig1_383553	ascnig1_383553	ascnig1_383553	fam03
ascrab1_136	ascrab1_136	lizemp1_103933	fam10
ascrab1_3350	ascrab1_3350	didexi1_10501	fam10
ascrab1_9994	ascrab1_9994	decgau1_636434	fam04
ascrab1_tyr338	ascrab1_tyr338	ascrab1_tyr338	fam05
ascrab1_tyr340	ascrab1_tyr340	ascrab1_tyr340	fam05
ascsar1_3734	ascsar1_3734	ascsar1_3734	clade03
ascsar1_7037	ascsar1_7037	ascsar1_7037	fam11
ascsar1_9624	ascsar1_9624	ascsar1_9624	fam08
ascsar1_tyr345	ascsar1_tyr345	ascsar1_tyr345	fam01
aspacu2_OJJ98566.1	aspacu2_OJJ98566.1	aspflo1_tyr1232	fam05
aspacu4_tyr350	aspacu4_tyr350	aspacu4_tyr350	fam07
aspacu4_tyr352	aspjap1_tyr1560	aspscl6_tyr2634	fam06
aspaff1_tyr353	aspaff1_tyr353	aspawa2_tyr663	fam06
aspaff1_tyr354	aspasp10_tyr512	aspscl4_RJE24476.1	fam03
aspaff1_tyr355	aspaff1_tyr360	aspnov4_tyr2198	fam05
aspaff1_tyr356	neofis1_8912	aspawa2_tyr663	fam06
aspaff1_tyr357	aspter9_tyr2931	aspasp3_tyr590	fam06
aspaff1_tyr358	aspaff1_tyr358	aspsoj2_tyr2667	fam05
aspaff1_tyr359	aspaff1_tyr359	aspter10_tyr2883	fam07
aspaff1_tyr360	aspaff1_tyr360	aspnov4_tyr2198	fam05
aspaff1_tyr361	aspasp9_tyr633	hiscap1_tyr7335	fam05
aspaff1_tyr363	aspasp10_tyr512	aspscl4_RJE24476.1	fam03
aspaff1_tyr364	aspaff1_tyr364	aspaff1_tyr364	fam02
aspaff1_tyr365	aspaff1_tyr365	aspaff1_tyr365	fam07
aspaff1_tyr366	aspasp10_tyr512	aspscl4_RJE24476.1	fam03
aspaff1_tyr367	aspaff1_tyr367	aspmon1_tyr1978	fam05
aspalb1_173061_184389_157107_184391	aspall3_tyr416	asppar5_tyr2396	n.d.
aspalb1_174933	aspalb1_174933	aspalb1_174933	fam06
aspalb1_174944	aspall3_tyr423	aspory2_EIT83020.1_EIT83023.1	fam05
aspalb1_189487	aspalb1_189487	asplat7_tyr1712	fam03
aspalb1_196100	aspalb1_196100	aspcri1_2283	fam01
aspalb1_tyr370	aspall1_tyr385	aspall1_tyr385	fam06
aspalb1_tyr375	aspall3_tyr418	aspall3_tyr418	fam05
aspalb1_tyr379	aspall3_tyr425	aspasp3_tyr590	fam06
aspall1_293821	aspall2_tyr412	aspuda5_tyr3030	fam05
aspall1_303437	aspuda6_tyr3044	aspory2_EIT83020.1_EIT83023.1	fam05
aspall1_303449	aspalb1_174933	aspalb1_174933	fam06
aspall1_304970	aspalb1_196100	aspcri1_2283	fam01
aspall1_314468	aspalb1_189487	asplat7_tyr1712	fam03
aspall1_314534	aspall2_tyr397	aspber2_KAE8383921.1	fam01
aspall1_tyr383	aspall2_tyr406	aspall2_tyr406	fam06
aspall1_tyr385	aspall1_tyr385	aspall1_tyr385	fam06
aspall1_tyr392	aspall2_tyr403	aspnid4_tyr2031	fam02
aspall1_tyr395	asplen7_tyr1760	aspche2_tyr892	fam06
aspall1_tyr396	aspall2_tyr398	aspall2_tyr398	fam01
aspall2_tyr397	aspall2_tyr397	aspber2_KAE8383921.1	fam01
aspall2_tyr398	aspall2_tyr398	aspall2_tyr398	fam01
aspall2_tyr399	aspalb1_196100	aspcri1_2283	fam01
aspall2_tyr403	aspall2_tyr403	aspnid4_tyr2031	fam02
aspall2_tyr404	asplen7_tyr1760	aspche2_tyr892	fam06
aspall2_tyr405	aspuda6_tyr3044	aspory2_EIT83020.1_EIT83023.1	fam05
aspall2_tyr406	aspall2_tyr406	aspall2_tyr406	fam06
aspall2_tyr407	aspalb1_174933	aspalb1_174933	fam06
aspall2_tyr408	aspalb1_189487	asplat7_tyr1712	fam03
aspall2_tyr412	aspall2_tyr412	aspuda5_tyr3030	fam05
aspall2_tyr413	aspall1_tyr385	aspall1_tyr385	fam06
aspall3_tyr415	aspall1_tyr385	aspall1_tyr385	fam06
aspall3_tyr416	aspall3_tyr416	asppar5_tyr2396	fam06
aspall3_tyr418	aspall3_tyr418	aspall3_tyr418	fam05
aspall3_tyr421	aspalb1_189487	asplat7_tyr1712	fam03
aspall3_tyr422	aspalb1_196100	aspcri1_2283	fam01
aspall3_tyr423	aspall3_tyr423	aspory2_EIT83020.1_EIT83023.1	fam05
aspall3_tyr424	aspalb1_174933	aspalb1_174933	fam06
aspall3_tyr425	aspall3_tyr425	aspasp3_tyr590	fam06
aspamo1_tyr426	aspamo1_tyr426	paeniv1_60142	fam05
aspamo1_tyr427	aspamo1_tyr427	aspamo1_tyr427	fam05
aspamo1_tyr428	aspamo1_tyr428	aspamo1_tyr428	fam05
aspamo1_tyr430	aspcal3_tyr821	aspcri1_2283	fam01
aspamo1_tyr433	aspamo1_tyr433	aspamo1_tyr433	fam07
aspamo1_tyr434	aspamo1_tyr434	aspgla1_OJJ83717.1	fam02
aspamo1_tyr435	aspamo1_tyr435	pendec1_3206	fam02
aspamo1_tyr436	aspasp3_tyr586	aspche2_tyr892	fam06
aspamo1_tyr437	aspamo1_tyr437	paeniv1_60142	fam05
aspamo1_tyr438	aspjen1_tyr1575	penant1_1867_1868	fam02
aspamo1_tyr439	aspasp11_tyr515	blader5_EQL29727.1	fam05
aspamo1_tyr440	aspamo1_tyr440	aspamo1_tyr440	fam01
aspamo1_tyr441	aspasp3_tyr586	aspche2_tyr892	fam06
aspamo1_tyr442	aspamo1_tyr442	asplat4_tyr1654	fam07
aspamo1_tyr443	asppro1_tyr2445	aspory2_EIT83020.1_EIT83023.1	fam05
aspamo1_tyr444	aspamo1_tyr444	aspthe1_tyr2959	fam07
aspamo1_tyr446	aspsyd3_tyr2775	aspcri1_2283	fam01
aspara1_156729	aspara3_tyr484	aspara3_tyr484	fam05
aspara1_156995	aspara3_tyr493	asphan1_KAF7586733.1	fam05
aspara1_157014	aspara3_tyr491	aspgla1_OJJ84750.1	fam05
aspara1_160700	aspara1_160700	aspara1_160700	fam05
aspara1_165018	aspory1_9839_9840	paeniv1_60142	fam05
aspara1_170171	aspara1_170171	asppar13_tyr2371	fam05
aspara1_170455_173857	aspara3_tyr489	aspara3_tyr489	n.d.
aspara1_172919	aspbom1_4180	asppar13_tyr2371	fam05
aspara1_173079	aspara3_tyr480	penrub2_KAF3021169.1	fam01
aspara1_tyr448	aspara3_tyr483	aspasp3_tyr575	fam05
aspara1_tyr453	aspfla10_tyr1186	aspche2_tyr892	fam06
aspara1_tyr457	aspara1_tyr457	aspara1_tyr457	fam07
aspara1_tyr458	aspara3_tyr486	aspara2_tyr474	fam01
aspara1_tyr459	aspber1_tyr678	asppse7_tyr2516	fam06
aspara1_tyr461	aspfla10_tyr1186	aspche2_tyr892	fam06
aspara2_tyr462	aspber1_tyr678	asppse7_tyr2516	fam06
aspara2_tyr463	aspara2_tyr463	aspara2_tyr463	fam06
aspara2_tyr465	aspara2_tyr465	penrub2_KAF3021169.1	fam01
aspara2_tyr466	aspara2_tyr466	aspfis5_tyr1169	fam01
aspara2_tyr467	aspara2_tyr467	aspara2_tyr467	fam07
aspara2_tyr468	aspara2_tyr468	aspara2_tyr468	fam05
aspara2_tyr470	aspara2_tyr470	aspara2_tyr470	fam05
aspara2_tyr472	asphan1_KAF7590037.1	asptam4_tyr2843	fam06
aspara2_tyr473	aspara2_tyr473	penbra1_3631	fam06
aspara2_tyr474	aspara2_tyr474	aspara2_tyr474	fam01
aspara2_tyr475	aspara1_tyr457	aspara1_tyr457	fam07
aspara2_tyr476	aspara2_tyr476	aspfum5_EAL87801.2	fam07
aspara2_tyr477	aspara1_160700	aspara1_160700	fam05
aspara2_tyr478	aspara3_tyr483	aspasp3_tyr575	fam05
aspara3_tyr479	aspara1_170171	asppar13_tyr2371	fam05
aspara3_tyr480	aspara3_tyr480	penrub2_KAF3021169.1	fam01
aspara3_tyr481	aspory1_9839_9840	paeniv1_60142	fam05
aspara3_tyr482	aspara1_160700	aspara1_160700	fam05
aspara3_tyr483	aspara3_tyr483	aspasp3_tyr575	fam05
aspara3_tyr484	aspara3_tyr484	aspara3_tyr484	fam05
aspara3_tyr485	aspara1_tyr457	aspara1_tyr457	fam07
aspara3_tyr486	aspara3_tyr486	aspara2_tyr474	fam01
aspara3_tyr487	aspber1_tyr678	asppse7_tyr2516	fam06
aspara3_tyr488	aspfla10_tyr1186	aspche2_tyr892	fam06
aspara3_tyr489	aspara3_tyr489	aspara3_tyr489	fam05
aspara3_tyr490	aspfla10_tyr1186	aspche2_tyr892	fam06
aspara3_tyr491	aspara3_tyr491	aspgla1_OJJ84750.1	fam05
aspara3_tyr492	aspbom1_4180	asppar13_tyr2371	fam05
aspara3_tyr493	aspara3_tyr493	asphan1_KAF7586733.1	fam05
aspasp10_tyr494	aspter9_tyr2934	blader5_EQL29727.1	fam05
aspasp10_tyr495	aspasp10_tyr495	aspasp3_tyr590	fam06
aspasp10_tyr497	aspaff1_tyr358	aspsoj2_tyr2667	fam05
aspasp10_tyr499	aspasp10_tyr499	aspsoj2_tyr2667	fam05
aspasp10_tyr500	aspasp10_tyr500	asplat7_tyr1724	fam03
aspasp10_tyr503	aspasp10_tyr503	penbra1_3631	fam06
aspasp10_tyr504	aspasp10_tyr504	asphir2_tyr1515	fam07
aspasp10_tyr505	aspasp10_tyr505	aspcri1_2283	fam01
aspasp10_tyr506	aspter9_tyr2934	blader5_EQL29727.1	fam05
aspasp10_tyr507	aspasp10_tyr507	aspsoj2_tyr2667	fam05
aspasp10_tyr508	aspasp10_tyr508	aspasp11_tyr514	fam06
aspasp10_tyr509	aspasp10_tyr509	aspcej1_tyr842	fam06
aspasp10_tyr510	aspasp10_tyr510	aspnan1_KAF9882992.1	fam05
aspasp10_tyr511	aspasp10_tyr511	penbra1_3631	fam06
aspasp10_tyr512	aspasp10_tyr512	aspscl4_RJE24476.1	fam03
aspasp11_tyr513	aspasp11_tyr513	penbra1_3631	fam06
aspasp11_tyr514	aspasp11_tyr514	aspasp11_tyr514	fam06
aspasp11_tyr515	aspasp11_tyr515	blader5_EQL29727.1	fam05
aspasp11_tyr517	aspasp11_tyr517	aspscl4_RJE24476.1	fam03
