Orthogroup	Xanthoria_parietina_GTX0501	Xanthoria_parietina_SAMEA115359166
OG0000016	XANPAGTX0501_009951-T1	XANPARI20_006721-T1, XANPARI20_006818-T1
OG0000017	XANPAGTX0501_009938-T1	XANPARI20_006808-T1
OG0000017	XANPAGTX0501_009940-T1	XANPARI20_006809-T1
OG0000017	XANPAGTX0501_010547-T1	XANPARI20_002570-T1
OG0000018	XANPAGTX0501_005571-T1	XANPARI20_005811-T1
OG0000018	XANPAGTX0501_010000-T1	XANPARI20_008871-T1
OG0000018	XANPAGTX0501_001653-T1	XANPARI20_002633-T1
OG0000019	XANPAGTX0501_005440-T1	XANPARI20_005922-T1
OG0000019	XANPAGTX0501_000930-T1	XANPARI20_007783-T1
OG0000019	XANPAGTX0501_007295-T1	XANPARI20_005642-T1
OG0000020	XANPAGTX0501_009756-T1	XANPARI20_000243-T1
OG0000020	XANPAGTX0501_010606-T1, XANPAGTX0501_010605-T1, XANPAGTX0501_010604-T1	XANPARI20_002465-T1
OG0000021	XANPAGTX0501_005604-T1	XANPARI20_005784-T1
OG0000021	XANPAGTX0501_002641-T1	XANPARI20_001740-T1
OG0000021	XANPAGTX0501_004396-T1	XANPARI20_006920-T1
OG0000022	XANPAGTX0501_000759-T1	XANPARI20_007930-T1
OG0000022	XANPAGTX0501_004944-T1	XANPARI20_000765-T1
OG0000023	XANPAGTX0501_001050-T1	XANPARI20_009192-T1
OG0000023	XANPAGTX0501_000213-T1	XANPARI20_006537-T1
OG0000024	XANPAGTX0501_001066-T1	XANPARI20_009178-T1
OG0000024	XANPAGTX0501_000458-T1	XANPARI20_008183-T1, XANPARI20_006307-T1
OG0000025	XANPAGTX0501_010657-T1	XANPARI20_003664-T1
OG0000025	XANPAGTX0501_006874-T1	XANPARI20_007736-T1
OG0000025	XANPAGTX0501_006874-T2	XANPARI20_003121-T1
OG0000026	XANPAGTX0501_008371-T1	XANPARI20_009061-T1
OG0000026	XANPAGTX0501_010175-T1	XANPARI20_007398-T1
OG0000026	XANPAGTX0501_000704-T1	XANPARI20_007976-T1
OG0000027	XANPAGTX0501_000712-T1	XANPARI20_007968-T1
OG0000027	XANPAGTX0501_009180-T1	XANPARI20_004067-T1
OG0000027	XANPAGTX0501_005736-T1	XANPARI20_003181-T1
OG0000028	XANPAGTX0501_010155-T1	XANPARI20_004184-T1
OG0000028	XANPAGTX0501_008412-T1	XANPARI20_009022-T1
OG0000029	XANPAGTX0501_009258-T1	XANPARI20_001262-T1
OG0000030	XANPAGTX0501_003758-T1, XANPAGTX0501_003758-T2	XANPARI20_002378-T1
OG0000030	XANPAGTX0501_001366-T1	XANPARI20_002886-T1
OG0000031	XANPAGTX0501_002430-T1	XANPARI20_000714-T1
OG0000031	XANPAGTX0501_006948-T1	XANPARI20_007672-T1
OG0000033	XANPAGTX0501_010623-T1	XANPARI20_004127-T1
OG0000033	XANPAGTX0501_010622-T1	XANPARI20_002510-T1, XANPARI20_002558-T1, XANPARI20_002557-T1
OG0000034	XANPAGTX0501_006123-T1	XANPARI20_003512-T1, XANPARI20_007368-T1
OG0000034	XANPAGTX0501_007981-T1	XANPARI20_005767-T1
OG0000035	XANPAGTX0501_009718-T1	XANPARI20_000276-T1
OG0000035	XANPAGTX0501_006128-T1	XANPARI20_007363-T1
OG0000035	XANPAGTX0501_006129-T1	XANPARI20_003517-T1
OG0000036	XANPAGTX0501_003171-T1	XANPARI20_001909-T1
OG0000036	XANPAGTX0501_003172-T1	XANPARI20_007766-T1, XANPARI20_003161-T1, XANPARI20_005028-T1, XANPARI20_007765-T1, XANPARI20_003159-T1, XANPARI20_003163-T1, XANPARI20_003158-T1, XANPARI20_001908-T1
OG0000037	XANPAGTX0501_010408-T1	XANPARI20_004124-T1
OG0000037	XANPAGTX0501_005414-T1	XANPARI20_005942-T1
OG0000038	XANPAGTX0501_000906-T1	XANPARI20_007804-T1
OG0000038	XANPAGTX0501_009339-T1	XANPARI20_001192-T1
OG0000039	XANPAGTX0501_004604-T1	XANPARI20_001071-T1
OG0000039	XANPAGTX0501_009760-T1	XANPARI20_000241-T1
OG0000040	XANPAGTX0501_010190-T1, XANPAGTX0501_010189-T1	XANPARI20_007408-T1
OG0000040	XANPAGTX0501_004706-T1	XANPARI20_000978-T1
OG0000041	XANPAGTX0501_001334-T2	XANPARI20_002916-T1
OG0000041	XANPAGTX0501_010747-T1, XANPAGTX0501_008066-T1	XANPARI20_005118-T1
OG0000042	XANPAGTX0501_006865-T1	XANPARI20_007743-T1
OG0000042	XANPAGTX0501_000446-T1	XANPARI20_006318-T1, XANPARI20_008193-T1
OG0000043	XANPAGTX0501_000579-T1	XANPARI20_008081-T1
OG0000044	XANPAGTX0501_009934-T1	XANPARI20_006804-T1, XANPARI20_006734-T1
OG0000044	XANPAGTX0501_010591-T1	XANPARI20_002477-T1
OG0000045	XANPAGTX0501_008257-T1	XANPARI20_005295-T1
OG0000045	XANPAGTX0501_003206-T1	XANPARI20_002560-T1
OG0000046	XANPAGTX0501_009391-T1	XANPARI20_004257-T1
OG0000046	XANPAGTX0501_007897-T1	XANPARI20_008544-T1
OG0000047	XANPAGTX0501_005710-T1, XANPAGTX0501_010718-T1, XANPAGTX0501_000954-T1, XANPAGTX0501_005103-T1	XANPARI20_008840-T1
OG0000047	XANPAGTX0501_000955-T1	XANPARI20_004504-T1
OG0000048	XANPAGTX0501_004498-T1	XANPARI20_001160-T1
OG0000048	XANPAGTX0501_004682-T1	XANPARI20_001000-T1
OG0000049	XANPAGTX0501_004619-T1, XANPAGTX0501_003841-T1, XANPAGTX0501_003837-T1, XANPAGTX0501_004619-T2	XANPARI20_001056-T1
OG0000050	XANPAGTX0501_009455-T1	XANPARI20_004309-T1
OG0000051	XANPAGTX0501_001706-T1	XANPARI20_005686-T1, XANPARI20_002590-T1
OG0000051	XANPAGTX0501_006090-T1	XANPARI20_003483-T1
OG0000052	XANPAGTX0501_001700-T1	XANPARI20_005672-T1, XANPARI20_002604-T1, XANPARI20_005770-T1, XANPARI20_006772-T1
OG0000053	XANPAGTX0501_001474-T1, XANPAGTX0501_001474-T3, XANPAGTX0501_001474-T2, XANPAGTX0501_001474-T4	XANPARI20_002794-T1
OG0000054	XANPAGTX0501_001769-T1	XANPARI20_008711-T1
OG0000054	XANPAGTX0501_010624-T1	XANPARI20_004128-T1
OG0000055	XANPAGTX0501_008272-T1	XANPARI20_003129-T1
OG0000055	XANPAGTX0501_001305-T1	XANPARI20_002941-T1
OG0000056	XANPAGTX0501_001238-T1	XANPARI20_002999-T1
OG0000056	XANPAGTX0501_005534-T1	XANPARI20_005843-T1
OG0000057	XANPAGTX0501_006867-T1	XANPARI20_007741-T1
OG0000057	XANPAGTX0501_009909-T2	XANPARI20_006749-T1
OG0000058	XANPAGTX0501_006307-T1	XANPARI20_005013-T1
OG0000058	XANPAGTX0501_010206-T1, XANPAGTX0501_007259-T1	XANPARI20_007421-T1
OG0000059	XANPAGTX0501_003406-T1	XANPARI20_002063-T1
OG0000059	XANPAGTX0501_000757-T1	XANPARI20_007932-T1
OG0000060	XANPAGTX0501_005461-T1	XANPARI20_005903-T1
OG0000060	XANPAGTX0501_000636-T1	XANPARI20_008030-T1
OG0000061	XANPAGTX0501_006019-T1	XANPARI20_003429-T1
OG0000061	XANPAGTX0501_000472-T1	XANPARI20_008170-T1, XANPARI20_006294-T1
OG0000062	XANPAGTX0501_000142-T1	XANPARI20_006598-T1
OG0000063	XANPAGTX0501_004372-T1	XANPARI20_006940-T1
OG0000063	XANPAGTX0501_009937-T1	XANPARI20_006807-T1, XANPARI20_006732-T1
OG0000064	XANPAGTX0501_001905-T2, XANPAGTX0501_001905-T1	XANPARI20_008595-T1, XANPARI20_008594-T1
OG0000065	XANPAGTX0501_007267-T1, XANPAGTX0501_010710-T1	XANPARI20_005667-T1
OG0000066	XANPAGTX0501_006827-T1	XANPARI20_004549-T1
OG0000066	XANPAGTX0501_007502-T1	XANPARI20_005463-T1
OG0000067	XANPAGTX0501_003507-T1	XANPARI20_002150-T1
OG0000067	XANPAGTX0501_008136-T1	XANPARI20_005179-T1
OG0000068	XANPAGTX0501_003577-T1	XANPARI20_002212-T1
OG0000068	XANPAGTX0501_005739-T1	XANPARI20_003184-T1
OG0000069	XANPAGTX0501_010407-T1	XANPARI20_004125-T1
OG0000070	XANPAGTX0501_004267-T4, XANPAGTX0501_004267-T3, XANPAGTX0501_004267-T2, XANPAGTX0501_004267-T1	XANPARI20_007035-T1
OG0000071	XANPAGTX0501_009897-T1	XANPARI20_006759-T1
OG0000071	XANPAGTX0501_003899-T1, XANPAGTX0501_008580-T1	XANPARI20_006779-T1
OG0000072	XANPAGTX0501_005397-T1, XANPAGTX0501_005395-T1, XANPAGTX0501_005396-T1	XANPARI20_005956-T1
OG0000073	XANPAGTX0501_006513-T1	XANPARI20_004830-T1
OG0000073	XANPAGTX0501_009483-T1	XANPARI20_004337-T1
OG0000074	XANPAGTX0501_006365-T1	XANPARI20_004961-T1
OG0000074	XANPAGTX0501_008627-T1	XANPARI20_003746-T1
OG0000075	XANPAGTX0501_006125-T1	XANPARI20_003514-T1, XANPARI20_007366-T1
OG0000075	XANPAGTX0501_009719-T1	XANPARI20_000275-T1
OG0000076	XANPAGTX0501_002603-T1	XANPARI20_001775-T1
OG0000076	XANPAGTX0501_009712-T1	XANPARI20_000281-T1
OG0000077	XANPAGTX0501_002604-T1	XANPARI20_001774-T1
OG0000077	XANPAGTX0501_009714-T1	XANPARI20_000279-T1
OG0000078	XANPAGTX0501_002635-T1	XANPARI20_001745-T1
OG0000078	XANPAGTX0501_000608-T1	XANPARI20_008054-T1
OG0000079	XANPAGTX0501_000443-T2	XANPARI20_008196-T1
OG0000079	XANPAGTX0501_000443-T1	XANPARI20_006321-T1
OG0000080	XANPAGTX0501_002649-T1	XANPARI20_001734-T1
OG0000080	XANPAGTX0501_007321-T1	XANPARI20_005619-T1
OG0000081	XANPAGTX0501_002693-T1	XANPARI20_001698-T1
OG0000081	XANPAGTX0501_000804-T1	XANPARI20_007887-T1
OG0000082	XANPAGTX0501_003310-T1	XANPARI20_001986-T1
OG0000082	XANPAGTX0501_002699-T1	XANPARI20_001693-T1
OG0000083	XANPAGTX0501_002817-T2, XANPAGTX0501_002817-T3, XANPAGTX0501_002817-T1	XANPARI20_001595-T1
OG0000084	XANPAGTX0501_005851-T1	XANPARI20_003282-T1
OG0000084	XANPAGTX0501_002846-T1	XANPARI20_001572-T1
OG0000085	XANPAGTX0501_002999-T2	XANPARI20_001440-T1
OG0000086	XANPAGTX0501_003062-T1	XANPARI20_001381-T1
OG0000086	XANPAGTX0501_001584-T1	XANPARI20_002699-T1
OG0000087	XANPAGTX0501_003112-T1	XANPARI20_001336-T1
OG0000087	XANPAGTX0501_004685-T1	XANPARI20_000997-T1
OG0000088	XANPAGTX0501_009295-T1	XANPARI20_001228-T1
OG0000088	XANPAGTX0501_008148-T1	XANPARI20_005190-T1
OG0000089	XANPAGTX0501_009296-T1	XANPARI20_001227-T1
OG0000089	XANPAGTX0501_005079-T1	XANPARI20_000738-T1
OG0000090	XANPAGTX0501_004628-T1	XANPARI20_001048-T1
OG0000090	XANPAGTX0501_009319-T1	XANPARI20_001210-T1
OG0000091	XANPAGTX0501_009351-T1	XANPARI20_001180-T1
OG0000091	XANPAGTX0501_005193-T1	XANPARI20_006145-T1
OG0000092	XANPAGTX0501_009001-T1	XANPARI20_004441-T1
OG0000092	XANPAGTX0501_004726-T1	XANPARI20_000963-T1
OG0000093	XANPAGTX0501_001163-T1	XANPARI20_003071-T1
OG0000094	XANPAGTX0501_003805-T1	XANPARI20_002420-T1
OG0000094	XANPAGTX0501_004932-T1	XANPARI20_000776-T1
OG0000095	XANPAGTX0501_001615-T1	XANPARI20_004211-T1
OG0000096	XANPAGTX0501_001329-T1, XANPAGTX0501_001329-T3, XANPAGTX0501_001329-T2	XANPARI20_002921-T1
OG0000097	XANPAGTX0501_010692-T1, XANPAGTX0501_006358-T1	XANPARI20_004969-T1
OG0000098	XANPAGTX0501_006466-T1	XANPARI20_004873-T1
OG0000098	XANPAGTX0501_001147-T1	XANPARI20_003086-T1
OG0000099	XANPAGTX0501_006909-T1	XANPARI20_007707-T1
OG0000100	XANPAGTX0501_007030-T1	XANPARI20_007605-T1
OG0000100	XANPAGTX0501_008487-T1	XANPARI20_008952-T1
OG0000101	XANPAGTX0501_010181-T1	XANPARI20_007403-T1
OG0000102	XANPAGTX0501_000832-T1	XANPARI20_007868-T1
OG0000102	XANPAGTX0501_003269-T1	XANPARI20_001948-T1
OG0000103	XANPAGTX0501_000708-T1	XANPARI20_007972-T1
OG0000103	XANPAGTX0501_008921-T1	XANPARI20_004374-T1
OG0000104	XANPAGTX0501_000603-T1	XANPARI20_008057-T1
OG0000105	XANPAGTX0501_002245-T1	XANPARI20_000545-T1
OG0000105	XANPAGTX0501_000586-T1	XANPARI20_008074-T1
OG0000106	XANPAGTX0501_000488-T2, XANPAGTX0501_008369-T1, XANPAGTX0501_000488-T1, XANPAGTX0501_000488-T3	XANPARI20_008156-T1
OG0000107	XANPAGTX0501_000434-T1	XANPARI20_008201-T1
OG0000107	XANPAGTX0501_000433-T1	XANPARI20_006328-T1, XANPARI20_008202-T1
OG0000108	XANPAGTX0501_008642-T1, XANPAGTX0501_003838-T1, XANPAGTX0501_000143-T2, XANPAGTX0501_000143-T1	XANPARI20_006597-T1
OG0000109	XANPAGTX0501_000047-T1	XANPARI20_006681-T1
OG0000109	XANPAGTX0501_010457-T1	XANPARI20_007338-T1
OG0000110	XANPAGTX0501_000011-T1	XANPARI20_006709-T1, XANPARI20_006830-T1
OG0000111	XANPAGTX0501_002138-T1	XANPARI20_000454-T1
OG0000111	XANPAGTX0501_010339-T1	XANPARI20_004201-T1
OG0000112	XANPAGTX0501_001963-T1	XANPARI20_000308-T1, XANPARI20_008559-T1
OG0000112	XANPAGTX0501_001964-T1	XANPARI20_007440-T1
OG0000113	XANPAGTX0501_001825-T1	XANPARI20_008661-T1
OG0000113	XANPAGTX0501_007969-T1	XANPARI20_005757-T1
OG0000114	XANPAGTX0501_010519-T1, XANPAGTX0501_010279-T1, XANPAGTX0501_010518-T1, XANPAGTX0501_010278-T1, XANPAGTX0501_010521-T1	XANPARI20_008798-T1
OG0000116	XANPAGTX0501_005601-T1	XANPARI20_005788-T1
OG0000116	XANPAGTX0501_010322-T1	XANPARI20_008831-T1
OG0000117	XANPAGTX0501_003309-T1	XANPARI20_001985-T1
OG0000117	XANPAGTX0501_007683-T1	XANPARI20_005304-T1
OG0000118	XANPAGTX0501_008255-T1	XANPARI20_005293-T1
OG0000118	XANPAGTX0501_009847-T1	XANPARI20_000002-T1
OG0000119	XANPAGTX0501_005494-T1, XANPAGTX0501_010536-T1, XANPAGTX0501_005494-T2	XANPARI20_005873-T1
OG0000120	XANPAGTX0501_004276-T3, XANPAGTX0501_004276-T5, XANPAGTX0501_004276-T2, XANPAGTX0501_004276-T4, XANPAGTX0501_004276-T1	XANPARI20_007027-T1
OG0000121	XANPAGTX0501_005727-T1	XANPARI20_003172-T1
OG0000122	XANPAGTX0501_009545-T1	XANPARI20_000105-T1
OG0000123	XANPAGTX0501_005537-T1	XANPARI20_005840-T1
OG0000123	XANPAGTX0501_009960-T1	XANPARI20_008901-T1
OG0000124	XANPAGTX0501_005246-T2	XANPARI20_006075-T1
OG0000124	XANPAGTX0501_005246-T1, XANPAGTX0501_005246-T3	XANPARI20_006097-T1
OG0000125	XANPAGTX0501_009817-T1	XANPARI20_000025-T1
OG0000126	XANPAGTX0501_006316-T1	XANPARI20_005005-T1
OG0000126	XANPAGTX0501_003560-T1	XANPARI20_002196-T1
OG0000127	XANPAGTX0501_006312-T1	XANPARI20_005009-T1
OG0000127	XANPAGTX0501_003237-T1	XANPARI20_001920-T1
OG0000128	XANPAGTX0501_006266-T1	XANPARI20_003636-T1
OG0000128	XANPAGTX0501_006829-T1	XANPARI20_004547-T1
OG0000129	XANPAGTX0501_008869-T1	XANPARI20_008224-T1
OG0000129	XANPAGTX0501_009562-T1	XANPARI20_000092-T1
OG0000130	XANPAGTX0501_006283-T1, XANPAGTX0501_010459-T1, XANPAGTX0501_010460-T1, XANPAGTX0501_010025-T1	XANPARI20_003650-T1
OG0000131	XANPAGTX0501_009753-T1, XANPAGTX0501_010553-T1	XANPARI20_004094-T1
OG0000132	XANPAGTX0501_010677-T1, XANPAGTX0501_006861-T1, XANPAGTX0501_009199-T1, XANPAGTX0501_005399-T1, XANPAGTX0501_009217-T1	XANPARI20_005032-T1
OG0000133	XANPAGTX0501_005715-T1	XANPARI20_003164-T1
OG0000133	XANPAGTX0501_005084-T1	XANPARI20_002559-T1, XANPARI20_000734-T1
OG0000134	XANPAGTX0501_002591-T1	XANPARI20_001788-T1
OG0000135	XANPAGTX0501_002627-T1	XANPARI20_001753-T1
OG0000135	XANPAGTX0501_010028-T1	XANPARI20_008848-T1
OG0000136	XANPAGTX0501_002773-T4, XANPAGTX0501_002773-T2, XANPAGTX0501_002773-T1, XANPAGTX0501_002773-T3	XANPARI20_001634-T1
OG0000137	XANPAGTX0501_002847-T2, XANPAGTX0501_002847-T1, XANPAGTX0501_002847-T3	XANPARI20_001571-T1
OG0000138	XANPAGTX0501_002886-T1, XANPAGTX0501_002886-T3, XANPAGTX0501_002886-T2, XANPAGTX0501_002886-T4	XANPARI20_001534-T1
OG0000139	XANPAGTX0501_003063-T2, XANPAGTX0501_003063-T3, XANPAGTX0501_003063-T1	XANPARI20_001380-T1
OG0000140	XANPAGTX0501_003065-T3, XANPAGTX0501_003065-T1, XANPAGTX0501_003065-T2	XANPARI20_001378-T1
OG0000141	XANPAGTX0501_006124-T2	XANPARI20_003513-T1
OG0000141	XANPAGTX0501_006124-T1	XANPARI20_007367-T1
OG0000142	XANPAGTX0501_008070-T1, XANPAGTX0501_008069-T1	XANPARI20_005120-T1
OG0000143	XANPAGTX0501_004669-T3, XANPAGTX0501_004669-T1, XANPAGTX0501_004669-T2, XANPAGTX0501_004669-T4	XANPARI20_001009-T1
OG0000144	XANPAGTX0501_004703-T1	XANPARI20_000981-T1
OG0000145	XANPAGTX0501_004841-T1, XANPAGTX0501_004841-T4, XANPAGTX0501_004841-T2, XANPAGTX0501_004841-T3	XANPARI20_000858-T1
OG0000146	XANPAGTX0501_009613-T1, XANPAGTX0501_004947-T1	XANPARI20_000763-T1
OG0000147	XANPAGTX0501_009385-T1	XANPARI20_004252-T1
OG0000148	XANPAGTX0501_009120-T1	XANPARI20_004013-T1
OG0000149	XANPAGTX0501_006190-T1	XANPARI20_003571-T1
OG0000150	XANPAGTX0501_001523-T1, XANPAGTX0501_001522-T1	XANPARI20_002757-T1
OG0000151	XANPAGTX0501_006918-T1	XANPARI20_007698-T1
OG0000151	XANPAGTX0501_001453-T1	XANPARI20_002809-T1
OG0000152	XANPAGTX0501_009795-T2, XANPAGTX0501_009795-T1	XANPARI20_000047-T1
OG0000153	XANPAGTX0501_001249-T1, XANPAGTX0501_001249-T3, XANPAGTX0501_001249-T2	XANPARI20_002990-T1
OG0000154	XANPAGTX0501_001156-T3, XANPAGTX0501_001156-T2, XANPAGTX0501_001156-T1	XANPARI20_003077-T1
OG0000155	XANPAGTX0501_001112-T1	XANPARI20_003117-T1, XANPARI20_008947-T1
OG0000156	XANPAGTX0501_001011-T1	XANPARI20_009228-T1
OG0000157	XANPAGTX0501_001973-T1	XANPARI20_000311-T1, XANPARI20_008555-T1
OG0000158	XANPAGTX0501_006888-T1	XANPARI20_007725-T1
OG0000159	XANPAGTX0501_010227-T1, XANPAGTX0501_007240-T1, XANPAGTX0501_010226-T1, XANPAGTX0501_007241-T1	XANPARI20_007437-T1
OG0000160	XANPAGTX0501_000836-T1, XANPAGTX0501_000836-T2, XANPAGTX0501_000836-T3	XANPARI20_007864-T1
OG0000161	XANPAGTX0501_010117-T1, XANPAGTX0501_010117-T2	XANPARI20_004152-T1
OG0000162	XANPAGTX0501_000576-T1	XANPARI20_006273-T1
OG0000163	XANPAGTX0501_000225-T1	XANPARI20_006526-T1
OG0000164	XANPAGTX0501_000357-T1	XANPARI20_006401-T1
OG0000165	XANPAGTX0501_000196-T1	XANPARI20_006553-T1
OG0000166	XANPAGTX0501_000191-T1	XANPARI20_006557-T1
OG0000167	XANPAGTX0501_000968-T1	XANPARI20_004489-T1
OG0000167	XANPAGTX0501_000039-T1	XANPARI20_006687-T1
OG0000168	XANPAGTX0501_000034-T1	XANPARI20_006847-T1
OG0000168	XANPAGTX0501_000035-T1	XANPARI20_006848-T1
OG0000169	XANPAGTX0501_000013-T1	XANPARI20_006832-T1
OG0000169	XANPAGTX0501_000014-T1	XANPARI20_006707-T1
OG0000170	XANPAGTX0501_008674-T1, XANPAGTX0501_008674-T2	XANPARI20_003700-T1
OG0000171	XANPAGTX0501_009929-T1	XANPARI20_006737-T1
OG0000171	XANPAGTX0501_009928-T1	XANPARI20_006801-T1
OG0000172	XANPAGTX0501_009904-T1	XANPARI20_006785-T1, XANPARI20_006754-T1
OG0000173	XANPAGTX0501_009899-T1	XANPARI20_006781-T1
OG0000173	XANPAGTX0501_009900-T1	XANPARI20_006782-T1
OG0000174	XANPAGTX0501_002416-T1, XANPAGTX0501_002415-T1	XANPARI20_000701-T1
OG0000175	XANPAGTX0501_002276-T1	XANPARI20_000571-T1
OG0000176	XANPAGTX0501_002212-T1	XANPARI20_000518-T1
OG0000177	XANPAGTX0501_001999-T1	XANPARI20_000332-T1
OG0000178	XANPAGTX0501_001953-T1	XANPARI20_000304-T1
OG0000178	XANPAGTX0501_001952-T1	XANPARI20_000303-T1
OG0000179	XANPAGTX0501_010261-T1	XANPARI20_008762-T1
OG0000180	XANPAGTX0501_010288-T1	XANPARI20_008803-T1
OG0000181	XANPAGTX0501_007337-T1, XANPAGTX0501_010475-T1, XANPAGTX0501_007338-T1	XANPARI20_005603-T1
OG0000182	XANPAGTX0501_007515-T1	XANPARI20_005452-T1
OG0000183	XANPAGTX0501_007663-T1	XANPARI20_005328-T1
OG0000184	XANPAGTX0501_007997-T1	XANPARI20_005061-T1
OG0000184	XANPAGTX0501_007996-T1	XANPARI20_005060-T1
OG0000185	XANPAGTX0501_003374-T1	XANPARI20_002039-T1
OG0000186	XANPAGTX0501_005256-T1	XANPARI20_006089-T1
OG0000187	XANPAGTX0501_010632-T1	XANPARI20_004134-T1
OG0000188	XANPAGTX0501_004390-T1	XANPARI20_006926-T1
OG0000188	XANPAGTX0501_005255-T1	XANPARI20_006090-T1
OG0000189	XANPAGTX0501_004032-T1, XANPAGTX0501_004032-T2	XANPARI20_007236-T1
OG0000190	XANPAGTX0501_004012-T2	XANPARI20_007255-T1
OG0000191	XANPAGTX0501_003967-T1, XANPAGTX0501_003967-T2	XANPARI20_007296-T1
OG0000192	XANPAGTX0501_008858-T1	XANPARI20_008233-T1
OG0000193	XANPAGTX0501_005567-T1	XANPARI20_005813-T1
OG0000194	XANPAGTX0501_005266-T1	XANPARI20_006080-T1, XANPARI20_006063-T1
OG0000195	XANPAGTX0501_006790-T1	XANPARI20_004584-T1
OG0000195	XANPAGTX0501_010358-T1	XANPARI20_006229-T1
OG0000196	XANPAGTX0501_001029-T1, XANPAGTX0501_005930-T1, XANPAGTX0501_009650-T1, XANPAGTX0501_010620-T1	XANPARI20_002452-T1
OG0000197	XANPAGTX0501_003329-T1	XANPARI20_002002-T1
OG0000197	XANPAGTX0501_009986-T1	XANPARI20_008880-T1
OG0000198	XANPAGTX0501_003270-T1	XANPARI20_001952-T1
OG0000198	XANPAGTX0501_010434-T1	XANPARI20_004101-T1
