Captain_Sequence	First_Cluster_Rep	Second_Cluster_Rep
imshaugia.aleurites.2_tyr2746	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
crespoa.crozalsiana.1_tyr3017	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
parmeliaceae.sp..2_tyr3179	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
evernia.prunastri.1_tyr3467	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
parmotrema.perlatum.1_tyr3500	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
platismatia.glauca.1_tyr3613	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
evernia.prunastri.1_tyr3751	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
parmeliaceae.sp..6_tyr3757	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
platismatia.glauca.1_tyr3812	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
platismatia.glauca.2_tyr3893	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
bulbothrix.scortella.1_tyr2571	bulbothrix.scortella.1_tyr2571	puttea.exsequens.1_tyr4125
bulbothrix.scortella.1_tyr3897	bulbothrix.scortella.1_tyr3897	bulbothrix.scortella.1_tyr3897
byssoloma.meadii.1_tyr1150	byssoloma.meadii.1_tyr1150	alectoria.sarmentosa.4_tyr2248
byssoloma.meadii.1_tyr1250	byssoloma.meadii.1_tyr1250	lecanorales.sp..6_tyr1295
byssoloma.meadii.1_tyr3705	byssoloma.meadii.1_tyr3705	lecanoromycetes.sp..3_tyr106
byssoloma.meadii.1_tyr551	byssoloma.meadii.1_tyr551	lecanorales.sp..5_tyr406
byssoloma.subdiscordans.1_tyr3807	byssoloma.subdiscordans.1_tyr3807	umbilicaria.hispanica.1_tyr1614
calogaya.arnoldii.1_tyr1881	calogaya.arnoldii.1_tyr1881	xanthoria.sp..2_tyr633
calogaya.arnoldii.2_tyr1401	calogaya.arnoldii.2_tyr1401	calogaya.arnoldii.2_tyr1401
caloplaca.aetnensis.1_tyr1915	caloplaca.aetnensis.1_tyr1915	xanthoria.sp..2_tyr633
caloplaca.aetnensis.1_tyr716	caloplaca.aetnensis.1_tyr716	umbilicaria.mammulata.1_tyr624
caloplaca.sp..1_tyr2181	caloplaca.sp..1_tyr2181	caloplaca.sp..1_tyr2181
caloplaca.sp..2_tyr1451	caloplaca.sp..2_tyr1451	mobergia.calculiformis.1_tyr3516
caloplaca.sp..2_tyr2406	caloplaca.sp..2_tyr2406	teloschistes.exilis.3_tyr394
cetradonia.linearis.1_tyr3193	cetradonia.linearis.1_tyr3193	lecanorales.sp..2_tyr2300
cetrelia.chicitae.1_tyr924	cetrelia.chicitae.1_tyr924	alectoria.sarmentosa.4_tyr2248
cetrelia.olivetorum.1_tyr1650	cetrelia.olivetorum.1_tyr1650	parmelia.squarrosa.1_tyr1871
chaetothyriales.sp..1_tyr1264	chaetothyriales.sp..1_tyr1264	chaetothyriales.sp..1_tyr1264
chaetothyriales.sp..1_tyr950	chaetothyriales.sp..1_tyr1264	chaetothyriales.sp..1_tyr1264
chaetothyriales.sp..1_tyr3637	chaetothyriales.sp..1_tyr3637	melanina.sp..1_tyr579
chaetothyriales.sp..1_tyr954	chaetothyriales.sp..1_tyr954	chaetothyriales.sp..1_tyr954
chaetothyriales.sp..1_tyr955	chaetothyriales.sp..1_tyr955	muellerella.sp..1_tyr1325
chrysothrix.sp..1_tyr2178	chrysothrix.sp..1_tyr2178	chrysothrix.sp..1_tyr303
chrysothrix.sp..1_tyr2503	chrysothrix.sp..1_tyr2503	chrysothrix.sp..1_tyr2503
chrysothrix.sp..1_tyr303	chrysothrix.sp..1_tyr303	chrysothrix.sp..1_tyr303
chrysothrix.sp..1_tyr3844	chrysothrix.sp..1_tyr3844	chrysothrix.sp..1_tyr3844
circinaria.calcarea.1_tyr1727	circinaria.calcarea.1_tyr1727	alectoria.sarmentosa.3_tyr1179
circinaria.calcarea.1_tyr3668	circinaria.calcarea.1_tyr3668	circinaria.calcarea.1_tyr3668
circinaria.calcarea.1_tyr662	circinaria.calcarea.1_tyr662	alectoria.sarmentosa.4_tyr2248
cladonia.coccifera.1_tyr2439	cladonia.coccifera.1_tyr2439	cladonia.coccifera.1_tyr2439
cladonia.coccifera.1_tyr4081	cladonia.coccifera.1_tyr4081	parmotrema.reticulatum.1_tyr3664
cladonia.diversa.1_tyr882	cladonia.diversa.1_tyr882	flavoplaca.marina.2_tyr1816
cladonia.diversa.2_tyr1126	cladonia.diversa.2_tyr1126	cladonia.diversa.2_tyr1126
cladonia.diversa.1_tyr1585	cladonia.diversa.2_tyr1126	cladonia.diversa.2_tyr1126
cladonia.diversa.2_tyr1587	cladonia.diversa.2_tyr1587	cladonia.diversa.2_tyr1587
cladonia.coccifera.1_tyr2429	cladonia.diversa.2_tyr1587	cladonia.diversa.2_tyr1587
cladonia.diversa.1_tyr3529	cladonia.diversa.2_tyr1587	cladonia.diversa.2_tyr1587
cladonia.diversa.2_tyr3489	cladonia.diversa.2_tyr3489	cladonia.diversa.2_tyr1126
cladonia.diversa.1_tyr1586	cladonia.diversa.2_tyr3489	cladonia.diversa.2_tyr1126
cladonia.diversa.2_tyr3629	cladonia.diversa.2_tyr3629	umbilicaria.crustulosa.2_tyr2366
cladonia.furcata.1_tyr1068	cladonia.furcata.1_tyr1068	cladonia.furcata.1_tyr1068
cladonia.grayi.1_tyr2378	cladonia.grayi.1_tyr2378	alectoria.sarmentosa.4_tyr2248
cladonia.pyxidata.1_tyr1813	cladonia.grayi.1_tyr2378	alectoria.sarmentosa.4_tyr2248
cladonia.diversa.1_tyr3620	cladonia.grayi.1_tyr2378	alectoria.sarmentosa.4_tyr2248
cladonia.kurokawae.1_tyr1067	cladonia.kurokawae.1_tyr1067	cladonia.kurokawae.1_tyr1067
cladonia.kurokawae.1_tyr218	cladonia.kurokawae.1_tyr218	cladonia.kurokawae.1_tyr218
cladonia.macilenta.1_tyr1721	cladonia.macilenta.1_tyr1721	cladonia.macilenta.1_tyr1721
cladonia.metacorallifera.1_tyr1526	cladonia.macilenta.1_tyr1721	cladonia.macilenta.1_tyr1721
cladonia.macilenta.2_tyr3842	cladonia.macilenta.2_tyr3842	cladonia.coccifera.1_tyr2439
cladonia.macilenta.1_tyr3228	cladonia.macilenta.2_tyr3842	cladonia.coccifera.1_tyr2439
cladonia.metacorallifera.1_tyr3646	cladonia.metacorallifera.1_tyr3646	alectoria.sarmentosa.4_tyr2248
cladonia.ochrochlora.1_tyr483	cladonia.ochrochlora.1_tyr483	umbilicaria.crustulosa.2_tyr1381
cladonia.peziziformis.1_tyr2189	cladonia.peziziformis.1_tyr2189	alectoria.sarmentosa.3_tyr1179
cladonia.sp..5_tyr687	cladonia.peziziformis.1_tyr2189	alectoria.sarmentosa.3_tyr1179
cladonia.peziziformis.1_tyr751	cladonia.peziziformis.1_tyr751	cladonia.peziziformis.1_tyr751
cladonia.sp..5_tyr472	cladonia.peziziformis.1_tyr751	cladonia.peziziformis.1_tyr751
cladonia.portentosa.1_tyr1897	cladonia.portentosa.1_tyr1897	cladonia.diversa.2_tyr1587
cladonia.rangiferina.1_tyr305	cladonia.rangiferina.1_tyr305	lecanorales.sp..3_tyr2207
cladonia.rangiferina.2_tyr2351	cladonia.rangiferina.2_tyr2351	cladonia.rangiferina.2_tyr2351
cladonia.rangiferina.3_tyr774	cladonia.rangiferina.3_tyr774	cladonia.uncialis.1_tyr1299
cladonia.robbinsii.1_tyr1298	cladonia.robbinsii.1_tyr1298	lecanorales.sp..5_tyr406
cladonia.sp..2_tyr949	cladonia.robbinsii.1_tyr1298	lecanorales.sp..5_tyr406
cladonia.robbinsii.1_tyr1649	cladonia.robbinsii.1_tyr1649	cladonia.diversa.2_tyr1587
cladonia.polycarpoides.1_tyr3396	cladonia.robbinsii.1_tyr1649	cladonia.diversa.2_tyr1587
cladonia.sp..2_tyr3530	cladonia.robbinsii.1_tyr1649	cladonia.diversa.2_tyr1587
cladonia.robbinsii.1_tyr222	cladonia.robbinsii.1_tyr222	ramalina.farinacea.1_tyr4179
cladonia.sp..2_tyr2127	cladonia.sp..2_tyr2127	lecanora.subimmergens.1_tyr2007
cladonia.robbinsii.1_tyr1015	cladonia.sp..2_tyr2127	lecanora.subimmergens.1_tyr2007
cladonia.sp..3_tyr2825	cladonia.sp..3_tyr2825	cladonia.diversa.2_tyr1126
cladonia.petrophila.1_tyr460	cladonia.sp..3_tyr2825	cladonia.diversa.2_tyr1126
cladonia.sp..3_tyr3586	cladonia.sp..3_tyr3586	parmotrema.reticulatum.1_tyr3664
cladonia.ochrochlora.1_tyr1133	cladonia.sp..3_tyr3586	parmotrema.reticulatum.1_tyr3664
cladonia.petrophila.1_tyr2719	cladonia.sp..3_tyr3586	parmotrema.reticulatum.1_tyr3664
cladonia.sp..3_tyr3587	cladonia.sp..3_tyr3587	alectoria.sarmentosa.4_tyr2248
cladonia.petrophila.1_tyr686	cladonia.sp..3_tyr3587	alectoria.sarmentosa.4_tyr2248
cladonia.sp..3_tyr3641	cladonia.sp..3_tyr3641	umbilicaria.hispanica.1_tyr1614
cladonia.sp..8_tyr24	cladonia.sp..3_tyr3641	umbilicaria.hispanica.1_tyr1614
cladonia.petrophila.1_tyr211	cladonia.sp..3_tyr3641	umbilicaria.hispanica.1_tyr1614
cladonia.subtenuis.1_tyr676	cladonia.sp..3_tyr3641	umbilicaria.hispanica.1_tyr1614
cladonia.ochrochlora.1_tyr1069	cladonia.sp..3_tyr3641	umbilicaria.hispanica.1_tyr1614
cladonia.pyxidata.1_tyr2964	cladonia.sp..3_tyr3641	umbilicaria.hispanica.1_tyr1614
cladonia.sp..3_tyr4170	cladonia.sp..3_tyr4170	cladonia.diversa.2_tyr1126
cladonia.petrophila.1_tyr2138	cladonia.sp..3_tyr4170	cladonia.diversa.2_tyr1126
cladonia.sp..6_tyr1274	cladonia.sp..6_tyr1274	umbilicaria.crustulosa.2_tyr2366
cladonia.sp..7_tyr3011	cladonia.sp..6_tyr1274	umbilicaria.crustulosa.2_tyr2366
cladonia.sp..7_tyr4148	cladonia.sp..6_tyr1274	umbilicaria.crustulosa.2_tyr2366
cladonia.sp..6_tyr2493	cladonia.sp..6_tyr2493	cladonia.furcata.1_tyr1068
cladonia.sp..7_tyr2486	cladonia.sp..6_tyr2493	cladonia.furcata.1_tyr1068
cladonia.sp..6_tyr3316	cladonia.sp..6_tyr3316	lecanorales.sp..5_tyr406
cladonia.sp..7_tyr2860	cladonia.sp..6_tyr3316	lecanorales.sp..5_tyr406
cladonia.sp..6_tyr4014	cladonia.sp..6_tyr4014	usnea.ceratina.2_tyr3511
cladonia.sp..7_tyr1450	cladonia.sp..6_tyr4014	usnea.ceratina.2_tyr3511
cladonia.sp..7_tyr2921	cladonia.sp..7_tyr2921	lecanorales.sp..5_tyr406
cladonia.sp..6_tyr2494	cladonia.sp..7_tyr2921	lecanorales.sp..5_tyr406
cladonia.sp..7_tyr2922	cladonia.sp..7_tyr2922	lecanorales.sp..5_tyr406
cladonia.sp..6_tyr2495	cladonia.sp..7_tyr2922	lecanorales.sp..5_tyr406
cladonia.sp..9_tyr1278	cladonia.sp..9_tyr1278	usnea.hakonensis.1_tyr513
cladonia.uncialis.4_tyr103	cladonia.sp..9_tyr1278	usnea.hakonensis.1_tyr513
cladonia.squamosa.1_tyr2236	cladonia.squamosa.1_tyr2236	cladonia.diversa.2_tyr1126
cladonia.squamosa.3_tyr2801	cladonia.squamosa.3_tyr2801	umbilicaria.spodochroa.4_tyr2482
cladonia.squamosa.4_tyr3051	cladonia.squamosa.4_tyr3051	umbilicaria.hispanica.1_tyr1614
cladonia.squamosa.1_tyr159	cladonia.squamosa.4_tyr3051	umbilicaria.hispanica.1_tyr1614
cladonia.uncialis.1_tyr1299	cladonia.uncialis.1_tyr1299	cladonia.uncialis.1_tyr1299
cladonia.uncialis.1_tyr1943	cladonia.uncialis.1_tyr1943	umbilicaria.phaea.3_tyr2049
cladonia.uncialis.1_tyr3676	cladonia.uncialis.1_tyr3676	melanelia.culbersonii.1_tyr901
cladonia.uncialis.4_tyr3273	cladonia.uncialis.4_tyr3273	parmotrema.reticulatum.1_tyr3664
cladophialophora.endolichena.1_tyr2203	cladophialophora.endolichena.1_tyr2203	cladophialophora.endolichena.1_tyr2203
cladophialophora.endolichena.1_tyr430	cladophialophora.endolichena.1_tyr430	umbilicaria.vellea.1_tyr4141
cladophialophora.endolichena.1_tyr5	cladophialophora.endolichena.1_tyr5	cladophialophora.endolichena.1_tyr5
cladophialophora.endolichena.1_tyr8	cladophialophora.endolichena.1_tyr8	cladophialophora.endolichena.1_tyr8
cladophialophora.endolichena.1_tyr428	cladophialophora.endolichena.1_tyr8	cladophialophora.endolichena.1_tyr8
cladophialophora.endolichena.1_tyr969	cladophialophora.endolichena.1_tyr969	endocarpon.pusillum.2_tyr109
cladophialophora.endolichena.1_tyr7	cladophialophora.endolichena.1_tyr969	endocarpon.pusillum.2_tyr109
cladophialophora.sp..1_tyr1003	cladophialophora.sp..1_tyr1003	cladophialophora.sp..1_tyr1003
cladophialophora.sp..1_tyr1004	cladophialophora.sp..1_tyr1004	cladophialophora.sp..1_tyr1004
cladophialophora.sp..1_tyr3151	cladophialophora.sp..1_tyr3151	cladophialophora.sp..1_tyr4136
cladophialophora.sp..1_tyr3153	cladophialophora.sp..1_tyr3153	cladophialophora.sp..1_tyr3153
cladophialophora.sp..1_tyr4136	cladophialophora.sp..1_tyr4136	cladophialophora.sp..1_tyr4136
cladophialophora.sp..2_tyr2183	cladophialophora.sp..2_tyr2183	cladophialophora.sp..2_tyr2183
cladophialophora.sp..2_tyr3779	cladophialophora.sp..2_tyr3779	melanina.sp..1_tyr579
cladophialophora.sp..2_tyr3780	cladophialophora.sp..2_tyr3780	cladophialophora.sp..2_tyr3780
cladophialophora.sp..2_tyr400	cladophialophora.sp..2_tyr400	cladophialophora.sp..2_tyr400
cladophialophora.sp..2_tyr399	cladophialophora.sp..2_tyr400	cladophialophora.sp..2_tyr400
cladophialophora.sp..2_tyr403	cladophialophora.sp..2_tyr403	cladophialophora.sp..2_tyr403
collema.furfuraceum.1_tyr571	collema.furfuraceum.1_tyr571	collema.furfuraceum.1_tyr571
coniocarpon.cinnabarinum.1_tyr1072	coniocarpon.cinnabarinum.1_tyr1072	coniocarpon.cinnabarinum.1_tyr1072
coniocarpon.cinnabarinum.1_tyr1808	coniocarpon.cinnabarinum.1_tyr1808	coniocarpon.cinnabarinum.1_tyr1808
coniocarpon.cinnabarinum.1_tyr1809	coniocarpon.cinnabarinum.1_tyr1809	coniocarpon.cinnabarinum.1_tyr1809
coniocarpon.cinnabarinum.1_tyr976	coniocarpon.cinnabarinum.1_tyr976	coniocarpon.cinnabarinum.1_tyr976
coniocarpon.cinnabarinum.2_tyr3781	coniocarpon.cinnabarinum.1_tyr976	coniocarpon.cinnabarinum.1_tyr976
coniocarpon.cinnabarinum.2_tyr1478	coniocarpon.cinnabarinum.2_tyr1478	coniocarpon.cinnabarinum.1_tyr1808
coniocarpon.cinnabarinum.2_tyr1581	coniocarpon.cinnabarinum.2_tyr1581	coniocarpon.cinnabarinum.2_tyr1581
coniocarpon.cinnabarinum.2_tyr169	coniocarpon.cinnabarinum.2_tyr169	coniocarpon.cinnabarinum.2_tyr169
coniocarpon.cinnabarinum.2_tyr2144	coniocarpon.cinnabarinum.2_tyr2144	coniocarpon.cinnabarinum.2_tyr2144
coniocarpon.cinnabarinum.2_tyr3740	coniocarpon.cinnabarinum.2_tyr3740	coniocarpon.cinnabarinum.2_tyr3740
cornicularia.normoerica.1_tyr3481	cornicularia.normoerica.1_tyr3481	xanthoparmelia.taractica.1_tyr3364
cornicularia.normoerica.2_tyr176	cornicularia.normoerica.2_tyr176	cornicularia.normoerica.2_tyr176
cornicularia.normoerica.2_tyr2887	cornicularia.normoerica.2_tyr2887	flavoparmelia.baltimorensis.1_tyr3090
cornicularia.normoerica.2_tyr3836	cornicularia.normoerica.2_tyr3836	xanthoparmelia.taractica.1_tyr3364
