query	subject	pid	taxid	phylum	class	order	species
XANPARI20_008745-T1	KAA6407579.1	57.931	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	56.376	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	69.298	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	56.944	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	55.263	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	52.795	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	54.194	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	54.839	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	63.71	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	63.2	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	54.362	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	54.362	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	50.888	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	61.364	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	52.349	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	54.225	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	60.976	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	61.157	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	60.163	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	59.459	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	61	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	45.882	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	60.606	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36658.1	61.111	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36658.1	64.078	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36658.1	37.113	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38392.1	68.333	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38392.1	56.198	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	XP_067503105.1	45.226	794803	Ascomycota	Dothideomycetes	Gloniales	Cenococcum geophilum
XANPARI20_008745-T1	XP_067503105.1	56.589	794803	Ascomycota	Dothideomycetes	Gloniales	Cenococcum geophilum
XANPARI20_008745-T1	KAK3170554.1	60.274	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	54.268	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	65.354	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	56.954	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	56.954	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	56.291	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	55	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	75.714	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3170554.1	43.262	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	SLM36246.1	57.5	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36246.1	54.839	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36246.1	43.81	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36246.1	63.393	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	58.94	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	59.603	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	57.419	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	53.179	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	55	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	56.954	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	55.625	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	64.567	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	55	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	54.967	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	56.25	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	65.854	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	55.629	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	55.629	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	52.469	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	52.903	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	52.469	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6408092.1	56.115	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36391.1	53.448	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36391.1	52.047	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36391.1	55.039	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36391.1	50	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37411.1	58.278	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37411.1	56.954	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37411.1	65.546	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37411.1	55.372	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37411.1	58.036	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37996.1	68.217	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37996.1	67.213	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37996.1	44.348	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38766.1	71.681	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38766.1	54.955	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38766.1	71.429	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37317.1	53.75	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37317.1	60.584	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37317.1	57.042	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37317.1	63.303	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36667.1	56.954	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36667.1	69.492	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36667.1	54.967	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36667.1	40.107	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36667.1	71.429	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37523.1	55.625	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37523.1	65.957	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAK3174277.1	53.988	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	56.291	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	52.903	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	50.92	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	50.307	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	50.993	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	46.023	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	37.805	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	45.614	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	47.368	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	KAK3174277.1	37.333	209136	Ascomycota	Lecanoromycetes	Lecanorales	Lepraria neglecta
XANPARI20_008745-T1	SLM37388.1	53.216	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37388.1	56.25	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37388.1	54.839	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37388.1	64.167	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37231.1	56.376	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37231.1	65.116	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37231.1	64.045	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6412630.1	56.173	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6412630.1	64.463	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6412630.1	51.479	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6412630.1	58.915	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6412630.1	57.143	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6412630.1	46.809	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36517.1	46.635	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36517.1	57.616	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36517.1	57.616	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36517.1	65.116	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6409958.1	58.599	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6409958.1	51.667	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6409958.1	56.954	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6409958.1	53.75	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6409958.1	54.194	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6409958.1	48.701	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6409958.1	57.143	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	57.5	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	57.5	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	58.389	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	56.875	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	56.79	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	54.386	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	56.667	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	57.616	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	56.25	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	56.376	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	45.946	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6415656.1	63.235	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36674.1	71.053	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36674.1	52.679	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36674.1	75.926	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38786.1	70.536	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38786.1	53.636	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38786.1	69.841	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37703.1	59.028	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37703.1	65.323	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37703.1	55.629	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37662.1	60.741	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37662.1	66.667	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	XP_066717805.1	63.333	2905665	Ascomycota	Sordariomycetes	Amphisphaeriales	Apiospora phragmitis
XANPARI20_008745-T1	XP_066717805.1	48.936	2905665	Ascomycota	Sordariomycetes	Amphisphaeriales	Apiospora phragmitis
XANPARI20_008745-T1	XP_066717805.1	68.966	2905665	Ascomycota	Sordariomycetes	Amphisphaeriales	Apiospora phragmitis
XANPARI20_008745-T1	KAK5309118.1	58.824	348802	Ascomycota	Eurotiomycetes	Chaetothyriales	Exophiala xenobiotica
XANPARI20_008745-T1	KAK5309118.1	47.02	348802	Ascomycota	Eurotiomycetes	Chaetothyriales	Exophiala xenobiotica
XANPARI20_008745-T1	KAK5309118.1	51.786	348802	Ascomycota	Eurotiomycetes	Chaetothyriales	Exophiala xenobiotica
XANPARI20_008745-T1	SLM36590.1	69.492	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36590.1	65.354	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36590.1	62.5	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36590.1	57.241	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36905.1	61.765	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36905.1	58.333	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36905.1	66.957	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36905.1	60.833	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM34305.1	58.824	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM34305.1	49.432	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM34305.1	62.308	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM34305.1	59.483	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM34305.1	57.143	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37412.1	65.891	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37412.1	55.346	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37412.1	54.375	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37412.1	53.488	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	XP_067503106.1	61.417	794803	Ascomycota	Dothideomycetes	Gloniales	Cenococcum geophilum
XANPARI20_008745-T1	XP_067503106.1	58.491	794803	Ascomycota	Dothideomycetes	Gloniales	Cenococcum geophilum
XANPARI20_008745-T1	XP_067503106.1	61.29	794803	Ascomycota	Dothideomycetes	Gloniales	Cenococcum geophilum
XANPARI20_008745-T1	XP_067503106.1	44.776	794803	Ascomycota	Dothideomycetes	Gloniales	Cenococcum geophilum
XANPARI20_008745-T1	KAK1840600.1	54.717	1836956	Ascomycota	Sordariomycetes	Glomerellales	Colletotrichum chrysophilum
XANPARI20_008745-T1	KAK1840600.1	58.824	1836956	Ascomycota	Sordariomycetes	Glomerellales	Colletotrichum chrysophilum
XANPARI20_008745-T1	KAK1840600.1	52.147	1836956	Ascomycota	Sordariomycetes	Glomerellales	Colletotrichum chrysophilum
XANPARI20_008745-T1	KAK1840600.1	51.553	1836956	Ascomycota	Sordariomycetes	Glomerellales	Colletotrichum chrysophilum
XANPARI20_008745-T1	KAK1840600.1	52.288	1836956	Ascomycota	Sordariomycetes	Glomerellales	Colletotrichum chrysophilum
XANPARI20_008745-T1	KAK1840600.1	50	1836956	Ascomycota	Sordariomycetes	Glomerellales	Colletotrichum chrysophilum
XANPARI20_008745-T1	KAK1840600.1	46.269	1836956	Ascomycota	Sordariomycetes	Glomerellales	Colletotrichum chrysophilum
XANPARI20_008745-T1	SLM37362.1	65.116	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM37362.1	53.788	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAK5071395.1	58.824	1690604	Ascomycota	Eurotiomycetes	Chaetothyriales	Lithohypha guttulata
XANPARI20_008745-T1	KAK5071395.1	49.007	1690604	Ascomycota	Eurotiomycetes	Chaetothyriales	Lithohypha guttulata
XANPARI20_008745-T1	KAK5071395.1	50.735	1690604	Ascomycota	Eurotiomycetes	Chaetothyriales	Lithohypha guttulata
XANPARI20_008745-T1	KAK5071395.1	60	1690604	Ascomycota	Eurotiomycetes	Chaetothyriales	Lithohypha guttulata
XANPARI20_008745-T1	SLM36627.1	56.522	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36627.1	67.48	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36627.1	71.304	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36627.1	50.877	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAJ9654757.1	55.862	3383035	Ascomycota	Eurotiomycetes	Chaetothyriales	Neophaeococcomyces mojaviensis
XANPARI20_008745-T1	SLM38367.1	64.516	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
