>SBS000001 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034207.1:4887211.0-4979594.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000020 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030957.1:3360122.0-3505012.0] [family=Enterprise]
>SBS000021 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=Scaffold23:755129.0-847771.0] [family=Arwing]
>SBS000022 [organism=Fusarium solani] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=NGZQ01000004.1:7815688.0-7988077.0] [family=Phoenix]
>SBS000023 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034206.1:2033096.0-2304271.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000024 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CM001231.1:196018.0-463799.0] [assembly=GCF_000002495.2] [family=Arwing]
>SBS000025 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BLJY01000009.1:911306.0-934185.0] [family=Prometheus]
>SBS000026 [organism=Fusarium asiaticum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGDVI010000011.1:52108.0-79431.0] [family=Prometheus]
>SBS000027 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP047252.1:3324301.0-3382558.0] [family=Enterprise]
>SBS000028 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024421.1:567057.0-589029.0] [family=Hephaestus]
>SBS000029 [organism=Aspergillus welwitschiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=PUWS01000002.1:1101188.0-1162066.0] [family=Prometheus]
>SBS000030 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=None]
>SBS000032 [organism=Aspergillus parasiticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=SJFK01000037.1:125836.0-144204.0] [family=Tardis]
>SBS000033 [organism=Aspergillus quadrilineatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAXYA010000028.1:156259.0-220302.0] [family=Hephaestus]
>SBS000034 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig1:6079297.0-6151107.0] [family=Phoenix]
>SBS000035 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=Supercontig1:3154173.0-3230984.0] [family=Phoenix]
>SBS000036 [organism=Talaromyces rugulosus] [lineage=Fungi; Eurotiales; Trichocomaceae; Talaromyces] [location=None:nan-nan] [family=Hephaestus]
>SBS000037 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MCQI02000147.1:5716.0-79000.0] [family=Enterprise]
>SBS000038 [organism=Exserohilum turcicum] [lineage=Fungi; Pleosporales; Pleosporaceae; Exserohilum] [location=None:nan-nan] [family=None]
>SBS000039 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP035528.1:220918.0-367811.0] [family=Enterprise]
>SBS000040 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DF340821.1:37642.0-183943.0] [family=Enterprise]
>SBS000041 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JABULI020000007.1:71354.0-193851.0] [family=Enterprise]
>SBS000042 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JZDT01000227.1:17623.0-38818.0] [family=Prometheus]
>SBS000043 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Enterprise]
>SBS000044 [organism=Fusarium cf.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=WEYN01000008.1:297888.0-336480.0] [family=Phoenix]
>SBS000045 [organism=Aspergillus costaricensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KZ824550.1:567019.0-599783.0] [family=Prometheus]
>SBS000046 [organism=Fonsecaea monophora] [lineage=Fungi; Chaetothyriales; Herpotrichiellaceae; Fonsecaea] [location=scaffold14:129391.0-148590.0] [family=Galactica]
>SBS000047 [organism=Bipolaris maydis] [lineage=Fungi; Pleosporales; Pleosporaceae; Bipolaris] [location=None:nan-nan] [family=Voyager]
>SBS000048 [organism=Aspergillus parasiticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP051030.1:3322877.0-3370188.0] [family=Enterprise]
>SBS000049 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JACDXP010000017.1:1334453.0-1435036.0] [family=Arwing]
>SBS000050 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=RSAI01000015.1:5152970.0-5194402.0] [family=Phoenix]
>SBS000051 [organism=Aspergillus lentulus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAAPU010000119.1:2787.0-22970.0] [family=Hephaestus]
>SBS000052 [organism=Coccidioides posadasii] [lineage=Fungi; Onygenales; None; Coccidioides] [location=DS268111.1:2191178.0-2209913.0] [family=Prometheus]
>SBS000053 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QPMW01000008.1:503270.0-567017.0] [assembly=GCA_013201905.1] [family=Galactica]
>SBS000054 [organism=Paracoccidioides brasiliensis] [lineage=Fungi; Onygenales; None; Paracoccidioides] [location=KN275967.1:493588.0-512153.0] [family=Prometheus]
>SBS000055 [organism=Penicillium sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=JAASRZ010000049.1:1795307.0-2295171.0] [family=Galactica]
>SBS000056 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGRPH010000004.1:5090778.0-5308428.0] [family=Phoenix]
>SBS000057 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJHJC010000004.1:3740350.0-3836960.0] [family=Arwing]
>SBS000058 [organism=Alternaria solani] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CP022024.1:1744502.0-1841491.0] [family=Voyager]
>SBS000059 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS027690.1:158505.0-215524.0] [assembly=GCF_000149645.3] [family=Phoenix]
>SBS000061 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=RAIK01000030.1:146159.0-247707.0] [family=Enterprise]
>SBS000062 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Prometheus]
>SBS000063 [organism=Aspergillus parasiticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=SJFC01000085.1:397544.0-412699.0] [family=Tardis]
>SBS000064 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig8:1735277.0-1792853.0] [family=Prometheus]
>SBS000065 [organism=Fusarium sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAHBOG010000006.1:68831.0-208907.0] [family=Prometheus]
>SBS000066 [organism=Aspergillus parasiticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=SJFE01000042.1:74046.0-91569.0] [family=Tardis]
>SBS000067 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030965.1:3443963.0-3548951.0] [family=Enterprise]
>SBS000068 [organism=Aspergillus japonicus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold1:975749.0-1065030.0] [assembly=GCF_003184785.1] [family=Tardis]
>SBS000069 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=GG692427.1:390977.0-410461.0] [family=Phoenix]
>SBS000070 [organism=Aspergillus awamori] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BDHI01000029.1:635764.0-843103.0] [assembly=GCA_003850985.1] [family=Phoenix]
>SBS000071 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=Supercontig3:467695.0-542192.0] [family=Tardis]
>SBS000072 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034207.1:4887211.0-4979594.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000073 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBJ01000005.1:240906.0-289108.0] [family=Enterprise]
>SBS000074 [organism=Monascus ruber] [lineage=Fungi; Eurotiales; Aspergillaceae; Monascus] [location=None:nan-nan] [family=Prometheus]
>SBS000075 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000076 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBN01000008.1:736042.0-788006.0] [family=Prometheus]
>SBS000077 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=RAIK01000015.1:31836.0-312389.0] [family=Prometheus]
>SBS000078 [organism=Penicillium solitum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=scaffold23:299600.0-389296.0] [family=Galactica]
>SBS000079 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000080 [organism=Tuber melanosporum] [lineage=Fungi; Pezizales; Tuberaceae; Tuber] [location=scaffold55:505281.0-588437.0] [family=Phoenix]
>SBS000081 [organism=Penicillium sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=JAASRZ010000051.1:2247145.0-2516424.0] [family=Phoenix]
>SBS000082 [organism=Fusarium sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAHKOB010000060.1:14589.0-38281.0] [family=Prometheus]
>SBS000083 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=supercont11:3696105.0-3878536.0] [family=Galactica]
>SBS000085 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold3:2481137.0-2567031.0] [family=Galactica]
>SBS000086 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069118.1:1861466.0-1956363.0] [family=Prometheus]
>SBS000087 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGYP010000002.1:226004.0-417485.0] [family=Phoenix]
>SBS000088 [organism=Aspergillus lentulus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000089 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499602.1:1067885.0-1139051.0] [family=Prometheus]
>SBS000090 [organism=Aspergillus awamori] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BDHI01000028.1:382207.0-432717.0] [assembly=GCA_003850985.1] [family=Prometheus]
>SBS000091 [organism=Aspergillus aculeatinus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPID010000035.1:102155.0-191811.0] [family=Enterprise]
>SBS000092 [organism=Aspergillus udagawae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BLKF01000049.1:77577.0-188639.0] [family=Enterprise]
>SBS000093 [organism=Aspergillus melleus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPPX010000002.1:1217641.0-1312319.0] [family=Prometheus]
>SBS000094 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig1:5331576.0-5365248.0] [family=Tardis]
>SBS000095 [organism=Talaromyces marneffei] [lineage=Fungi; Eurotiales; Trichocomaceae; Talaromyces] [location=None:nan-nan] [family=Voyager]
>SBS000096 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=VZUP01000002.1:2012492.0-2106929.0] [family=Voyager]
>SBS000097 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=supercont12:3862818.0-3944426.0] [family=Arwing]
>SBS000098 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig3:2706777.0-2736243.0] [family=Prometheus]
>SBS000099 [organism=Fusarium pseudograminearum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CP064755.1:7041455.0-7088851.0] [family=Phoenix]
>SBS000100 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069106.1:2995624.0-3010643.0] [family=Tardis]
>SBS000101 [organism=Aspergillus neoellipticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=QDFW01000097.1:43060.0-116442.0] [family=Enterprise]
>SBS000102 [organism=Alternaria gaisen] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=PDWZ02000016.1:36624.0-197826.0] [family=Enterprise]
>SBS000103 [organism=Fusarium fujikuroi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=FMJU01000007.1:272999.0-352848.0] [family=Arwing]
>SBS000104 [organism=Fusarium sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JACTAS010000012.1:146365.0-237899.0] [family=Arwing]
>SBS000105 [organism=Fusarium fujikuroi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=NCQQ02000013.1:596520.0-687904.0] [family=Arwing]
>SBS000106 [organism=Bipolaris victoriae] [lineage=Fungi; Pleosporales; Pleosporaceae; Bipolaris] [location=None:nan-nan] [family=None]
>SBS000107 [organism=Bipolaris maydis] [lineage=Fungi; Pleosporales; Pleosporaceae; Bipolaris] [location=None:nan-nan] [family=None]
>SBS000108 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGQB010000010.1:862962.0-922759.0] [family=Phoenix]
>SBS000110 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGQA010000010.1:1619696.0-1679504.0] [family=Phoenix]
>SBS000111 [organism=Penicillium sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Enterprise]
>SBS000112 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CP064747.1:6513082.0-6539372.0] [family=Arwing]
>SBS000113 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBJ01000005.1:77268.0-224083.0] [family=Enterprise]
>SBS000114 [organism=Bipolaris sorokiniana] [lineage=Fungi; Pleosporales; Pleosporaceae; Bipolaris] [location=None:nan-nan] [family=None]
>SBS000115 [organism=Talaromyces cellulolyticus] [lineage=Fungi; Eurotiales; Trichocomaceae; Talaromyces] [location=DF933829.1:2711573.0-2776486.0] [assembly=GCA_000829775.1] [family=Hephaestus]
>SBS000116 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=WHVT01000010.1:41561.0-69014.0] [assembly=GCA_016748045.1] [family=Tardis]
>SBS000117 [organism=Fusarium asiaticum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGDVI010000001.1:66220.0-94630.0] [family=Arwing]
>SBS000118 [organism=Fusarium redolens] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=scaffold23:257211.0-390310.0] [assembly=GCF_020744475.1] [family=Phoenix]
>SBS000119 [organism=Verticillium dahliae] [lineage=Fungi; Glomerellales; Plectosphaerellaceae; Verticillium] [location=scaffold11:915627.0-1466381.0] [assembly=GCA_020726535.1] [family=Arwing]
>SBS000120 [organism=Aspergillus pseudonomiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=ML734311.1:17779.0-90435.0] [assembly=GCA_009176395.1] [family=Prometheus]
>SBS000121 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000122 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=PVEM01000006.1:2764770.0-2791209.0] [family=Arwing]
>SBS000123 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Enterprise]
>SBS000124 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=RAIK01000007.1:839302.0-1024094.0] [family=Galactica]
>SBS000125 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGJDX010000020.1:1215270.0-1268023.0] [family=Prometheus]
>SBS000126 [organism=Trichoderma asperellum] [lineage=Fungi; Hypocreales; Hypocreaceae; Trichoderma] [location=None:nan-nan] [family=Galactica]
>SBS000127 [organism=Fusarium pseudograminearum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CP064756.1:6772613.0-6900387.0] [family=Arwing]
>SBS000128 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034204.1:3598305.0-3824913.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000129 [organism=Aspergillus unguis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGUQD010000006.1:1029240.0-1144851.0] [family=Phoenix]
>SBS000130 [organism=Spiromastix sp.] [lineage=Fungi; Onygenales; None; Spiromastix] [location=None:nan-nan] [family=Prometheus]
>SBS000131 [organism=Paracoccidioides lutzii] [lineage=Fungi; Onygenales; None; Paracoccidioides] [location=KN294001:407056.0-440623.0] [family=Prometheus]
>SBS000133 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig5:1639775.0-1706592.0] [family=Voyager]
>SBS000134 [organism=Aspergillus awamori] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BCGT01000003.1:4020534.0-4072407.0] [family=Prometheus]
>SBS000135 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=None:nan-nan] [family=Voyager]
>SBS000136 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=BJEP01000002.1:4044498.0-4310519.0] [family=Prometheus]
>SBS000137 [organism=Letharia lupina] [lineage=Fungi; Lecanorales; Parmeliaceae; Letharia] [location=JACCJB010000004.1:691484.0-727459.0] [assembly=GCF_014066315.1] [family=Prometheus]
>SBS000138 [organism=Trichophyton equinum] [lineage=Fungi; Onygenales; Arthrodermataceae; Trichophyton] [location=supercont110:277487.0-346510.0] [family=Enterprise]
>SBS000139 [organism=Fusarium equiseti] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=QOHM01000002.1:1312915.0-1440038.0] [family=Arwing]
>SBS000140 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JABULI020000015.1:278713.0-319597.0] [family=Prometheus]
>SBS000141 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MAQV01000009.1:498557.0-538617.0] [family=Phoenix]
>SBS000142 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=supercontig04:1867871.0-1976807.0] [family=Hephaestus]
>SBS000143 [organism=Fusarium vorosii] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGDUK010000090.1:33001.0-49557.0] [family=Arwing]
>SBS000144 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=SSNE01000014.1:494849.0-568240.0] [assembly=GCF_009771025.1] [family=Prometheus]
>SBS000145 [organism=Fusarium pilosicola] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGQDI010000005.1:2801355.0-2879257.0] [family=Phoenix]
>SBS000146 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024429.1:1679088.0-1921522.0] [family=Prometheus]
>SBS000147 [organism=Fusarium sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAHREO010000009.1:2710537.0-2775895.0] [family=Phoenix]
>SBS000148 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024421.1:1250626.0-1276649.0] [family=Prometheus]
>SBS000149 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADLZR010000318.1:425942.0-507688.0] [family=Enterprise]
>SBS000150 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=Chr8AfumigatusAf293:1455665.0-1544710.0] [family=Tardis]
>SBS000151 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024423.1:1067930.0-1096629.0] [family=Galactica]
>SBS000153 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP044617.1:626507.0-693730.0] [family=Prometheus]
>SBS000154 [organism=Penicillium nalgiovense] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000155 [organism=Fusarium circinatum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CM038584.1:3376625.0-3435998.0] [family=Galactica]
>SBS000156 [organism=Fusarium redolens] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAFFJM010000008.1:1504842.0-1579570.0] [family=Arwing]
>SBS000157 [organism=Penicillium oxalicum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000158 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=Aflavus1041045517026:1344544.0-1391478.0] [family=Enterprise]
>SBS000159 [organism=Aspergillus calidoustus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CDMC01000005.1:3169560.0-3298034.0] [family=Hephaestus]
>SBS000160 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MAQV01000005.1:140961.0-256624.0] [family=Prometheus]
>SBS000161 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=Aflavus1041045517014:622129.0-685972.0] [family=Prometheus]
>SBS000162 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499598.1:2268148.0-2283302.0] [family=Prometheus]
>SBS000163 [organism=Annulohypoxylon stygium] [lineage=Fungi; Xylariales; Hypoxylaceae; Annulohypoxylon] [location=scaffold29:238255.0-272411.0] [assembly=GCA_022695755.1] [family=Arwing]
>SBS000164 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig1:5667065.0-5717114.0] [family=Prometheus]
>SBS000165 [organism=Alternaria tenuissima] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=None:nan-nan] [family=Voyager]
>SBS000166 [organism=Macrophomina phaseolina] [lineage=Fungi; Botryosphaeriales; Botryosphaeriaceae; Macrophomina] [location=None:nan-nan] [family=Voyager]
>SBS000168 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGXKE010000001.1:668884.0-815202.0] [family=Enterprise]
